#Experiment_s	Run_s
SRX229784	SRR689233
SRX229785	SRR689234
SRX229786	SRR689235
SRX229787	SRR689236
SRX229788	SRR689237
SRX229789	SRR689238
SRX229790	SRR689239
SRX229791	SRR689240
SRX229792	SRR689241
SRX229793	SRR689242
SRX229794	SRR689243
SRX229795	SRR689244
SRX229796	SRR689245
SRX229797	SRR689246
SRX229798	SRR689247
SRX229799	SRR689248
SRX229800	SRR689249
SRX229801	SRR689250
SRX300873	SRR893046
SRX300874	SRR893047
SRX300875	SRR893048
SRX300876	SRR893049
SRX300877	SRR893050
SRX300878	SRR893051
SRX300879	SRR893052
SRX300880	SRR893053
SRX300881	SRR893054
SRX300882	SRR893055
SRX300883	SRR893056
SRX300884	SRR893057
SRX300885	SRR893058
SRX300886	SRR893059
SRX300887	SRR893060
SRX300888	SRR893061
SRX300889	SRR893062
SRX300890	SRR893063
SRX300891	SRR893064
SRX300892	SRR893065
SRX300893	SRR893066
SRX300894	SRR893067
SRX300895	SRR893068
SRX300896	SRR893069
SRX300897	SRR893070
SRX300898	SRR893071
SRX300899	SRR893072
SRX300900	SRR893073
SRX300901	SRR893074
