#@type_id@hcat_contributortype@short_name@id	?name
wrangler	"Mallory,Ann,Freeberg"
contributor	"Kerstin,B,Meyer"
contributor	"Sarah,A,Teichmann"
contributor	"Oliver,,Stegle"
wrangler	"Mallory,Ann,Freeberg"
wrangler	"Danielle,,Welter"
contributor	"Barbara,,Treutlein"
wrangler	"Mallory,Ann,Freeberg"
wrangler	"Mallory,Ann,Freeberg"
wrangler	"Danielle,,Welter"
contributor	"Menna,,Clatworthy"
contributor	"Sam,,Behjati"
contributor	"Muzlifah,,Haniffa"
contributor	"Sarah,,Teichmann"
wrangler	"Enrique,,Sapena-Ventura"
contributor	"Rahul,,Satija"
wrangler	"William,G,Sullivan"
contributor	"Barbara,,Treutlein"
wrangler	"Mallory,Ann,Freeberg"
contributor	"Spyros,,Darmanis"
wrangler	"Christopher,,Villarreal"
wrangler	"Mallory,Ann,Freeberg"
wrangler	"Laura,,Huerta"
wrangler	"Anja,,Fullgrabe"
wrangler	"Laura,,Huerta"
wrangler	"Matthew,,Green"
wrangler	"Laura,,Huerta"
wrangler	"Matthew,,Green"
contributor	"Benjamin,D,Humphreys"
wrangler	"Parisa,,Nejad"
wrangler	"Matthew,,Green"
contributor	"Dana,,Pe'er"
wrangler	"Parisa,,Nejad"
contributor	"Sonya,A,MacParland"
contributor	"Gary,D,Bader"
contributor	"Ian,D,McGilvray"
wrangler	"William,G,Sullivan"
contributor	"Jane,C,Sowden"
contributor	"Trevor,D,Lamb"
contributor	"Peng-Yuna,,Wang"
contributor	"Alex,W,Hewitt"
contributor	"Mark,C,Gillies"
contributor	"Joseph,E,Powell"
contributor	"Raymond,CB,Wong"
wrangler	"Marion,F,Shadbolt"
contributor	"Anindita,,Basu"
contributor	"Sebastian,,Pott"
wrangler	"Parisa,,Nejad"
wrangler	"Mallory,Ann,Freeberg"
wrangler	"Danielle,,Welter"
wrangler	"William,G,Sullivan"
contributor	"Sarah,A,Teichmann"
wrangler	"Mallory,Ann,Freeberg"
wrangler	"Zinaida,A,Perova"
wrangler	"Anja,,Fullgrabe"
wrangler	"Mallory,Ann,Freeberg"
wrangler	"Laura,,Huerta"
contributor	"Benjamin,D,Humphreys"
wrangler	"Parisa,,Nejad"
contributor	"Sten,,Linnarsson"
wrangler	"Zinaida,A,Perova"
contributor	"Donna,L,Farber"
contributor	"Peter,A,Sims"
wrangler	"Mallory,Ann,Freeberg"
