#file	format	output	meta	ucsc_db	paired_end
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995861-SRR1974543-/SRR1974543_1.fastq.gz	fastq	reads	GSM1657871	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995861-SRR1974543-/SRR1974543_2.fastq.gz	fastq	reads	GSM1657871	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995862-SRR1974544-/SRR1974544_1.fastq.gz	fastq	reads	GSM1657872	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995862-SRR1974544-/SRR1974544_2.fastq.gz	fastq	reads	GSM1657872	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995863-SRR1974545-/SRR1974545_1.fastq.gz	fastq	reads	GSM1657873	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995863-SRR1974545-/SRR1974545_2.fastq.gz	fastq	reads	GSM1657873	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995864-SRR1974546-/SRR1974546_1.fastq.gz	fastq	reads	GSM1657874	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995864-SRR1974546-/SRR1974546_2.fastq.gz	fastq	reads	GSM1657874	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995865-SRR1974547-/SRR1974547_1.fastq.gz	fastq	reads	GSM1657875	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995865-SRR1974547-/SRR1974547_2.fastq.gz	fastq	reads	GSM1657875	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995866-SRR1974548-/SRR1974548_1.fastq.gz	fastq	reads	GSM1657876	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995866-SRR1974548-/SRR1974548_2.fastq.gz	fastq	reads	GSM1657876	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995867-SRR1974549-/SRR1974549_1.fastq.gz	fastq	reads	GSM1657877	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995867-SRR1974549-/SRR1974549_2.fastq.gz	fastq	reads	GSM1657877	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995868-SRR1974550-/SRR1974550_1.fastq.gz	fastq	reads	GSM1657878	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995868-SRR1974550-/SRR1974550_2.fastq.gz	fastq	reads	GSM1657878	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995869-SRR1974551-/SRR1974551_1.fastq.gz	fastq	reads	GSM1657879	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995869-SRR1974551-/SRR1974551_2.fastq.gz	fastq	reads	GSM1657879	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995870-SRR1974552-/SRR1974552_1.fastq.gz	fastq	reads	GSM1657880	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995870-SRR1974552-/SRR1974552_2.fastq.gz	fastq	reads	GSM1657880	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995871-SRR1974553-/SRR1974553_1.fastq.gz	fastq	reads	GSM1657881	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995871-SRR1974553-/SRR1974553_2.fastq.gz	fastq	reads	GSM1657881	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995872-SRR1974554-/SRR1974554_1.fastq.gz	fastq	reads	GSM1657882	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995872-SRR1974554-/SRR1974554_2.fastq.gz	fastq	reads	GSM1657882	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995873-SRR1974555-/SRR1974555_1.fastq.gz	fastq	reads	GSM1657883	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995873-SRR1974555-/SRR1974555_2.fastq.gz	fastq	reads	GSM1657883	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995874-SRR1974556-/SRR1974556_1.fastq.gz	fastq	reads	GSM1657884	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995874-SRR1974556-/SRR1974556_2.fastq.gz	fastq	reads	GSM1657884	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995875-SRR1974557-/SRR1974557_1.fastq.gz	fastq	reads	GSM1657885	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995875-SRR1974557-/SRR1974557_2.fastq.gz	fastq	reads	GSM1657885	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995876-SRR1974558-/SRR1974558_1.fastq.gz	fastq	reads	GSM1657886	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995876-SRR1974558-/SRR1974558_2.fastq.gz	fastq	reads	GSM1657886	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995877-SRR1974559-/SRR1974559_1.fastq.gz	fastq	reads	GSM1657887	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995877-SRR1974559-/SRR1974559_2.fastq.gz	fastq	reads	GSM1657887	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995878-SRR1974560-/SRR1974560_1.fastq.gz	fastq	reads	GSM1657888	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995878-SRR1974560-/SRR1974560_2.fastq.gz	fastq	reads	GSM1657888	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995879-SRR1974561-/SRR1974561_1.fastq.gz	fastq	reads	GSM1657889	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995879-SRR1974561-/SRR1974561_2.fastq.gz	fastq	reads	GSM1657889	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995880-SRR1974562-/SRR1974562_1.fastq.gz	fastq	reads	GSM1657890	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995880-SRR1974562-/SRR1974562_2.fastq.gz	fastq	reads	GSM1657890	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995881-SRR1974563-/SRR1974563_1.fastq.gz	fastq	reads	GSM1657891	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995881-SRR1974563-/SRR1974563_2.fastq.gz	fastq	reads	GSM1657891	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995882-SRR1974564-/SRR1974564_1.fastq.gz	fastq	reads	GSM1657892	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995882-SRR1974564-/SRR1974564_2.fastq.gz	fastq	reads	GSM1657892	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995883-SRR1974565-/SRR1974565_1.fastq.gz	fastq	reads	GSM1657893	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995883-SRR1974565-/SRR1974565_2.fastq.gz	fastq	reads	GSM1657893	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995884-SRR1974566-/SRR1974566_1.fastq.gz	fastq	reads	GSM1657894	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995884-SRR1974566-/SRR1974566_2.fastq.gz	fastq	reads	GSM1657894	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995885-SRR1974567-/SRR1974567_1.fastq.gz	fastq	reads	GSM1657895	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995885-SRR1974567-/SRR1974567_2.fastq.gz	fastq	reads	GSM1657895	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995886-SRR1974568-/SRR1974568_1.fastq.gz	fastq	reads	GSM1657896	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995886-SRR1974568-/SRR1974568_2.fastq.gz	fastq	reads	GSM1657896	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995887-SRR1974569-/SRR1974569_1.fastq.gz	fastq	reads	GSM1657897	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995887-SRR1974569-/SRR1974569_2.fastq.gz	fastq	reads	GSM1657897	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995888-SRR1974570-/SRR1974570_1.fastq.gz	fastq	reads	GSM1657898	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995888-SRR1974570-/SRR1974570_2.fastq.gz	fastq	reads	GSM1657898	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995889-SRR1974571-/SRR1974571_1.fastq.gz	fastq	reads	GSM1657899	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995889-SRR1974571-/SRR1974571_2.fastq.gz	fastq	reads	GSM1657899	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995890-SRR1974572-/SRR1974572_1.fastq.gz	fastq	reads	GSM1657900	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995890-SRR1974572-/SRR1974572_2.fastq.gz	fastq	reads	GSM1657900	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995891-SRR1974573-/SRR1974573_1.fastq.gz	fastq	reads	GSM1657901	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995891-SRR1974573-/SRR1974573_2.fastq.gz	fastq	reads	GSM1657901	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995892-SRR1974574-/SRR1974574_1.fastq.gz	fastq	reads	GSM1657902	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995892-SRR1974574-/SRR1974574_2.fastq.gz	fastq	reads	GSM1657902	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995893-SRR1974575-/SRR1974575_1.fastq.gz	fastq	reads	GSM1657903	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995893-SRR1974575-/SRR1974575_2.fastq.gz	fastq	reads	GSM1657903	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995894-SRR1974576-/SRR1974576_1.fastq.gz	fastq	reads	GSM1657904	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995894-SRR1974576-/SRR1974576_2.fastq.gz	fastq	reads	GSM1657904	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995895-SRR1974577-/SRR1974577_1.fastq.gz	fastq	reads	GSM1657905	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995895-SRR1974577-/SRR1974577_2.fastq.gz	fastq	reads	GSM1657905	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995896-SRR1974578-/SRR1974578_1.fastq.gz	fastq	reads	GSM1657906	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995896-SRR1974578-/SRR1974578_2.fastq.gz	fastq	reads	GSM1657906	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995897-SRR1974579-/SRR1974579_1.fastq.gz	fastq	reads	GSM1657907	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995897-SRR1974579-/SRR1974579_2.fastq.gz	fastq	reads	GSM1657907	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995898-SRR1974580-/SRR1974580_1.fastq.gz	fastq	reads	GSM1657908	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995898-SRR1974580-/SRR1974580_2.fastq.gz	fastq	reads	GSM1657908	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995899-SRR1974581-/SRR1974581_1.fastq.gz	fastq	reads	GSM1657909	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995899-SRR1974581-/SRR1974581_2.fastq.gz	fastq	reads	GSM1657909	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995900-SRR1974582-/SRR1974582_1.fastq.gz	fastq	reads	GSM1657910	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995900-SRR1974582-/SRR1974582_2.fastq.gz	fastq	reads	GSM1657910	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995901-SRR1974583-/SRR1974583_1.fastq.gz	fastq	reads	GSM1657911	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995901-SRR1974583-/SRR1974583_2.fastq.gz	fastq	reads	GSM1657911	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995902-SRR1974584-/SRR1974584_1.fastq.gz	fastq	reads	GSM1657912	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995902-SRR1974584-/SRR1974584_2.fastq.gz	fastq	reads	GSM1657912	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995903-SRR1974585-/SRR1974585_1.fastq.gz	fastq	reads	GSM1657913	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995903-SRR1974585-/SRR1974585_2.fastq.gz	fastq	reads	GSM1657913	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995904-SRR1974586-/SRR1974586_1.fastq.gz	fastq	reads	GSM1657914	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995904-SRR1974586-/SRR1974586_2.fastq.gz	fastq	reads	GSM1657914	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995905-SRR1974587-/SRR1974587_1.fastq.gz	fastq	reads	GSM1657915	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995905-SRR1974587-/SRR1974587_2.fastq.gz	fastq	reads	GSM1657915	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995906-SRR1974588-/SRR1974588_1.fastq.gz	fastq	reads	GSM1657916	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995906-SRR1974588-/SRR1974588_2.fastq.gz	fastq	reads	GSM1657916	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995907-SRR1974589-/SRR1974589_1.fastq.gz	fastq	reads	GSM1657917	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995907-SRR1974589-/SRR1974589_2.fastq.gz	fastq	reads	GSM1657917	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995908-SRR1974590-/SRR1974590_1.fastq.gz	fastq	reads	GSM1657918	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995908-SRR1974590-/SRR1974590_2.fastq.gz	fastq	reads	GSM1657918	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995909-SRR1974591-/SRR1974591_1.fastq.gz	fastq	reads	GSM1657919	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995909-SRR1974591-/SRR1974591_2.fastq.gz	fastq	reads	GSM1657919	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995910-SRR1974592-/SRR1974592_1.fastq.gz	fastq	reads	GSM1657920	hg38	1
