Project	Project-PI	Lab	Lab-PI	Data_Type	Cell_Type	Experiment_Parameters	Experimental_Factors	Freeze	Submit_Date	Release_Date	Status	Submission_IDs	Treatment	Assembly
Broad	Bernstein	Broad	Bernstein	Mapability	Reference_genome	36bp	Sequence_size=36bp	Jul-2009	06/02/09	07/24/09	released	344	none	hg18
Duke	Crawford	Duke	Crawford	Mapability	Reference_genome	20bp	Sequence_size=20bp	Nov-2008	12/03/08	07/24/09	released	104	none	hg18
Duke	Crawford	Duke	Crawford	Mapability	Reference_genome	24bp	Sequence_size=24bp	Nov-2008	12/03/08	07/24/09	released	104	none	hg18
Duke	Crawford	Duke	Crawford	Mapability	Reference_genome	35bp	Sequence_size=35bp	Nov-2008	12/03/08	07/24/09	released	104	none	hg18
Duke	Crawford	Duke	Crawford	Mapability	Reference_genome	Excluded	Descr=Excluded	Nov-2008	12/03/08	07/24/09	released	104	none	hg18
UMass-Dekker	Dekker	UMass-Dekker	Dekker	Mapability	Reference_genome	15bp	Sequence_size=15bp	Jul-2009	2009-06-04	2009-07-24	released	345	none	hg18
Gencode	Hubbard	Gencode	Hubbard	Genes	Reference_genome	V1	Version=V1	Nov-2008	10/08/08	none	replaced	21	none	hg18
Gencode	Hubbard	Gencode	Hubbard	Genes	Reference_genome	V2	Version=V2	Feb-2009	03/05/09	2009-03-05	released	265	none	hg18
Gencode	Hubbard	Gencode	Hubbard	Genes	Reference_genome	V3c	Version=V3	Sep-2009	10/27/09	2010-02-26	released	453	none	hg18
Gencode	Hubbard	Gencode	Hubbard	Genes	Reference_genome	V4	Version=V4	May-2010	05/01/10	none	displayed	0	none	hg19
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	BIP	Reference_Genome	hg18	Genome=hg18	Feb-2009	01/26/09	07/30/09	released	294	none	hg18
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	BIP	Reference_Genome	bosTau4	Genome=bosTau4	Jul-2009	04/27/09	07/30/09	released	200	none	bosTau4
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	BIP	Reference_Genome	canFam2	Genome=canFam2	Jul-2009	04/27/09	07/30/09	released	200	none	canFam2
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	BIP	Reference_Genome	mm9	Genome=mm9	Jul-2009	04/27/09	07/30/09	released	200	none	mm9
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	BIP	Reference_Genome	panTro2	Genome=panTro2	Jul-2009	04/27/09	07/30/09	released	200	none	panTro2
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	BIP	Reference_Genome	rheMac2	Genome=rheMac2	Jul-2009	04/27/09	07/30/09	released	200	none	rheMac2
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	BIP	Reference_Genome	rn4	Genome=rn4	Jul-2009	04/27/09	07/30/09	released	200	none	rn4
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	NRE	K562	EB;G-gamma	Reg=EB Promoter=G-gamma	Nov-2008	11/25/08	09/24/09	released	100	none	hg18
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	NRE	K562	EB;SV40	Reg=EB Promoter=SV40	Nov-2008	11/25/08	09/24/09	released	100	none	hg18
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	NRE	K562	Si;G-gamma	Reg=Si Promoter=G-gamma	Nov-2008	11/25/08	09/24/09	released	100	none	hg18
NHGRI-Elnitski	Elnitski	NHGRI	Elnitski	NRE	K562	Si;SV40	Reg=Si Promoter=SV40	Nov-2008	11/25/08	09/24/09	released	100	none	hg18
