#IDX	INTEGRATED QUALITY FLAG	FILENAME		AUTO LOW S/N	UNDER SEQ	LOW LIBRARY COMPLEXITY	REPRODUCIBILITY FAIL		LAB	GRANT	CELLTYPE	HGNC ID	ANTIBODY	ENSEMBL GENE ID	TREATMENT	PROTOCOL	REP	NREPS		NREADS UNIQ MAP READS	NREADS DISTINCT UNIQ MAP	FRAG LEN		FCC	READ LEN	RCC	MINLEN	MINCC	NSC	RSC		NRF	PBC1	PBC2		RESCUE-RATIO (Np' / Nt) (DISTINCT READS)	SELF CONS. RATIO (Ns1/Ns2) (DISTINCT READS)	OPTIMAL PEAKS (DISTINCT READS) max(Np, Nt)		SELF CONS. 2% IDR PEAKS (Ns) (DISTINCT READS)	ORIG. REP. IDR PEAKS (DISTINCT READS)	MIN SELF CONS. 2% IDR PEAKS OVER ALL REPS	MAX SELF CONS. 2% IDR PEAKS OVER ALL REPS	MAX. ORIG. REP. 2% IDR PEAKS (Nt) (DISTINCT READS)	MAXIMAL RELAXED PEAK OVERLAP BETWEEN REPS. (DISTINCT READS)	POOLED CONS. 2% IDR PEAKS (Np) (DISTINCT READS)	POOLED CONS. 1% IDR PEAKS (Np') (DISTINCT READS)	MAXIMAL RELAXED PEAK OVERLAP BETWEEN POOLED PSEUDOREPS. (DISTINCT READS)	TOTAL RELAXED PEAKS PER REP. (DISTINCT READS)	NPEAKS ON POOLED DATA USING DEFAULT MACS P-VALUE 1e-5 (DISTINCT READS)	TOTAL RELAXED PEAKS ON POOLED DATA (DISTINCT READS)
1	1	wgEncodeBroadHistoneDnd41CtcfAlnRep1		0	0	0	0		Broad	Bernstein	Dnd41	CTCF	CTCF	ENSG00000102974	None	std	1	2		28674470	21288156	120		0.516746704048901	40	0.354312	1495	0.1669572	3.095085	1.86699		0.742408	0.836265	8.955853		1.43552355782375	48747	50108		48747	32919	1	48747	32919		50108	47256				
2	0	wgEncodeBroadHistoneDnd41CtcfAlnRep2		0	0	1	0		Broad	Bernstein	Dnd41	CTCF	CTCF	ENSG00000102974	None	std	2	2		25642236	3662070	145		0.225550450137314	40	0.1264344	1470	0.04439482	5.080558	2.208148		0.142814	0.176607	2.107619		1.43552355782375	48747	50108		1	32919	1	48747	32919		50108	47256				
3	0	wgEncodeBroadHistoneDnd41Ezh239875AlnRep1		0	0	1	0		Broad	Bernstein	Dnd41	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	3		22620460	11383091	135		0.154640384634569	35	0.1462092	1480	0.1377806	1.122367	2.000313		0.503221	0.462556	1.68011		1.16606498194946	3.375	1732		672	688;1615	295	2268	1615		1732	1385				
4	0	wgEncodeBroadHistoneDnd41Ezh239875AlnRep2		0	0	0	0		Broad	Bernstein	Dnd41	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	3		28141611	24139902	195		0.266883294699159	35	0.2652063	1495	0.2570568	1.038227	1.205781		0.857801	0.858145	6.936162		1.43226473629783	7.68813559322034	1732		295	688;967	295	2268	967		1732	1385				
5	1	wgEncodeBroadHistoneDnd41Ezh239875AlnRep3		0	0	0	0		Broad	Bernstein	Dnd41	EZH2	EZH2_(39875)	ENSG00000106462	None	std	3	3		19711240	14951094	190		0.190753643011161	35	0.1887319	1475	0.1768701	1.078496	1.170441		0.758506	0.752687	3.892907		1.16606498194946	7.68813559322034	1732		2268	1615;967	295	2268	1615		1732	1385				
6	1	wgEncodeBroadHistoneGm12878CtcfStdAlnRep1		0	0	0	0		Broad	Bernstein	GM12878	CTCF	CTCF	ENSG00000102974	None	std	1	2		10973081	9001295	170		0.216367900903159	40	0.143912	1475	0.1014748	2.132232	2.707367		0.820307	0.810919	4.881813		1.01198850225515	1.26230593531729	45018		30209	43304	30209	38133	43304		45018	42791				
7	1	wgEncodeBroadHistoneGm12878CtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	GM12878	CTCF	CTCF	ENSG00000102974	None	std	2	2		19258033	17752113	155		0.282763522541075	40	0.2226185	1495	0.1799142	1.571657	2.408411		0.921803	0.927637	14.4352		1.01198850225515	1.26230593531729	45018		38133	43304	30209	38133	43304		45018	42791				
8	1	wgEncodeBroadHistoneGm12878Ezh239875AlnRep1		0	0	0	0		Broad	Bernstein	GM12878	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		12178349	9962864	120		0.131267395014822	35	0.1284473	1500	0.1222327	1.073914	1.453779		0.81808	0.814634	5.244175		1.58921694480103	1.28831908831909	2476		2261	2476	1755	2261	2476		2229	1558				
9	1	wgEncodeBroadHistoneGm12878Ezh239875AlnRep2		0	0	0	0		Broad	Bernstein	GM12878	EZH2	EZH2_(39875)	ENSG00000106462	None	std	2	2		40283607	32900548	120		0.321514861846797	35	0.3189982	1475	0.3118557	1.030973	1.352343		0.816723	0.817425	5.40531		1.58921694480103	1.28831908831909	2476		1755	2476	1755	2261	2476		2229	1558				
10	1	wgEncodeBroadHistoneH1hescChd1a301218aStdAlnRep1		0	0	0	0		Broad	Bernstein	H1-hESC	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	1	2		29530806	20378707	90		0.255298052725023	35	0.2520576	1490	0.2264755	1.127266	1.12667		0.690083	0.694895	3.171673		1.2073124042879	1.94024826425416	7272		9222	6307	4753	9222	6307		7272	5224				
11	1	wgEncodeBroadHistoneH1hescChd1a301218aStdAlnRep2		0	0	0	0		Broad	Bernstein	H1-hESC	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	2	2		22721717	20629388	130		0.236829545674786	35	0.2400571	1500	0.2238247	1.058103	0.8011663		0.907915	0.915773	11.868444		1.2073124042879	1.94024826425416	7272		4753	6307	4753	9222	6307		7272	5224				
12	1	wgEncodeBroadHistoneH1hescCtcfStdAlnRep1		0	0	0	0		Broad	Bernstein	H1-hESC	CTCF	CTCF	ENSG00000102974	None	std	1	2		14572976	11628448	130		0.237513473265007	40	0.1687433	1430	0.1277458	1.859266	2.677423		0.797946	0.815027	5.812251		1.00832168514124	1.42378622506586	66584		37198	61526	37198	52962	61526		66584	62038				
13	1	wgEncodeBroadHistoneH1hescCtcfStdAlnRep2		0	0	0	0		Broad	Bernstein	H1-hESC	CTCF	CTCF	ENSG00000102974	None	std	2	2		14195041	12231285	145		0.393431866982382	40	0.2146451	1480	0.1145983	3.433138	2.78703		0.861659	0.875718	8.789575		1.00832168514124	1.42378622506586	66584		52962	61526	37198	52962	61526		66584	62038				
14	1	wgEncodeBroadHistoneH1hescEzh239875AlnRep1		0	0	1	0		Broad	Bernstein	H1-hESC	EZH2	EZH2_(39875)	ENSG00000106462	None	std	1	2		29809906	15440965	210		0.275101476093765	35	0.2689399	1500	0.2387688	1.152167	1.204222		0.517981	0.492249	1.858419		1.03636363636364	1.15689248399056	6390		6865	5335	5934	6865	5335		6390	5529				
