#Assay	Cell	Target	Treatment	Identifier	N_uniq map reads	MACS FDR 0.01	Self Cons IDR 0.02	Rep Cons IDR 0.01	SPOT	PBC	NSC	RSC	Under seq	Diff rep	Manual low S/N	Auto low S/N	Revoke flag
TF-ChIP-seq	A549	CTCF	DEX_100nM	wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep1	24281189	38537	45841	30324	0.2361	0.71	2.79	2.19	0	0	0	0	
TF-ChIP-seq	A549	CTCF	DEX_100nM	wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep2	15453361	96884	39091	30324	0.1249	0.41	1.84	2.31	0	1	0	0	
TF-ChIP-seq	A549	GR	DEX_100nM	wgEncodeHaibTfbsA549GrPcr2xDexaAlnRep1	16608102	9921	12613	8283	0.0754	0.91	1.38	1.21	0	1	0	0	
TF-ChIP-seq	A549	GR	DEX_100nM	wgEncodeHaibTfbsA549GrPcr2xDexaAlnRep2	28467922	8683	12880	8283	0.0723	0.44	1.42	1	0	0	0	0	
TF-ChIP-seq	A549	POL2	DEX_100nM	wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep1	19005470	12689	24395	21463	0.6166	0.86	2.99	1.32	0	0	0	0	
TF-ChIP-seq	A549	POL2	DEX_100nM	wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep2	23115884	14816	28503	21463	0.5388	0.86	2.81	1.12	0	0	0	0	
TF-ChIP-seq	A549	USF1	DEX_100nM	wgEncodeHaibTfbsA549Usf1Pcr1xDexaAlnRep1	22289881	2631	16330	8917	0.0791	0.87	1.28	1.86	0	0	0	0	
TF-ChIP-seq	A549	USF1	DEX_100nM	wgEncodeHaibTfbsA549Usf1Pcr1xDexaAlnRep2	12364820	3028	7659	8917	0.0517	0.82	1.44	1.9	0	0	0	0	
TF-ChIP-seq	A549	GR	DEX_500pM	wgEncodeHaibTfbsA549GrPcr1xDexdAlnRep1	19646503	25233	1312	1226	0.0105	0.96	1.05	0.56	0	0	1	1	
TF-ChIP-seq	A549	GR	DEX_500pM	wgEncodeHaibTfbsA549GrPcr1xDexdAlnRep2	15095316	123828	1218	1226	0.0109	0.94	1.06	0.5	0	0	1	1	
TF-ChIP-seq	A549	GR	DEX_50nM	wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep1	19291260	57488	23821	25096	0.1289	0.96	1.55	1.42	0	0	0	0	
TF-ChIP-seq	A549	GR	DEX_50nM	wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep2	16754796	71917	22601	25096	0.1426	0.95	1.64	1.61	0	0	0	0	
TF-ChIP-seq	A549	GR	DEX_5nM	wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep1	20120740	19331	8573	10348	0.0343	0.98	1.10	0.89	0	1	1	0	
TF-ChIP-seq	A549	GR	DEX_5nM	wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep2	20559786	31539	13796	10348	0.0641	0.96	1.23	1.17	0	0	0	0	
TF-ChIP-seq	A549	CTCF	EtOH_0.02pct	wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep1	22672467	31983	37735	33511	0.1601	0.75	1.78	2.67	0	0	0	0	
TF-ChIP-seq	A549	CTCF	EtOH_0.02pct	wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep2	14351615	236390	49814	33511	0.2040	0.42	3.21	2.55	0	0	0	0	
TF-ChIP-seq	A549	POL2	EtOH_0.02pct	wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep1	17136347	17929	29121	28130	0.5602	0.9	2.89	1.19	0	0	0	0	
TF-ChIP-seq	A549	POL2	EtOH_0.02pct	wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep2	19201309	16879	34156	28130	0.5687	0.82	3.09	1.12	0	0	0	0	
TF-ChIP-seq	A549	USF1	EtOH_0.02pct	wgEncodeHaibTfbsA549Usf1Pcr1xEtoh02AlnRep1	16241779	7936	11349	10368	0.0648	0.95	1.38	2.02	0	0	0	0	
TF-ChIP-seq	A549	USF1	EtOH_0.02pct	wgEncodeHaibTfbsA549Usf1Pcr1xEtoh02AlnRep2	13242129	11812	11204	10368	0.0793	0.85	1.72	1.99	0	0	0	0	
TF-ChIP-seq	AG04449	CTCF	None	wgEncodeUwTfbsAg04449CtcfStdAlnRep1	9952444	97323	62334	44965	0.5513	0.85	11.97	2.11	0	0	0	0	
TF-ChIP-seq	AG04449	CTCF	None	wgEncodeUwTfbsAg04449CtcfStdAlnRep2	23572200	42477	42096	44965	0.2187	0.94	2.68	1.61	0	0	0	0	
TF-ChIP-seq	AG04450	CTCF	None	wgEncodeUwTfbsAg04450CtcfStdAlnRep1	21170101	44837	43626		0.2450	0.9	2.62	1.73	0	0	0	0	
TF-ChIP-seq	AG09309	CTCF	None	wgEncodeUwTfbsAg09309CtcfStdAlnRep1	14311099	37977	35062	35451	0.3278	0.89	3.93	1.8	0	0	0	0	
TF-ChIP-seq	AG09309	CTCF	None	wgEncodeUwTfbsAg09309CtcfStdAlnRep2	10263622	34845	31992	35451	0.1768	0.95	2.31	1.52	0	0	0	0	
TF-ChIP-seq	AG09319	CTCF	None	wgEncodeUwTfbsAg09319CtcfStdAlnRep1	22451182	53232	42690	34945	0.3807	0.8	4.32	1.67	0	0	0	0	
TF-ChIP-seq	AG09319	CTCF	None	wgEncodeUwTfbsAg09319CtcfStdAlnRep2	25700109	45377	38947	34945	0.2775	0.87	2.97	1.73	0	0	0	0	
TF-ChIP-seq	AG10803	CTCF	None	wgEncodeUwTfbsAg10803CtcfStdAlnRep1	26964677	39701	38287	39892	0.2254	0.88	2.36	1.63	0	0	0	0	
TF-ChIP-seq	AG10803	CTCF	None	wgEncodeUwTfbsAg10803CtcfStdAlnRep2	29559218	42123	40180	39892	0.2755	0.89	2.72	1.73	0	0	0	0	
TF-ChIP-seq	AoAF	CTCF	None	wgEncodeUwTfbsAoafCtcfStdAlnRep1	9317234	89395	44260	38575	0.3318	0.92	5.26	1.47	0	0	0	0	
TF-ChIP-seq	AoAF	CTCF	None	wgEncodeUwTfbsAoafCtcfStdAlnRep2	29974058	41717	41889	38575	0.2059	0.87	2.14	1.62	0	0	0	0	
TF-ChIP-seq	BJ	CTCF	None	wgEncodeUwTfbsBjCtcfStdAlnRep1	18761711	50744	43971	35507	0.4594	0.6	5.39	2.51	0	0	0	0	
TF-ChIP-seq	BJ	CTCF	None	wgEncodeUwTfbsBjCtcfStdAlnRep2	9994443	49091	35468	35507	0.3675	0.88	4.64	2.37	0	0	0	0	
TF-ChIP-seq	Caco-2	CTCF	None	wgEncodeUwTfbsCaco2CtcfStdAlnRep1	17259823	57156	52613	39741	0.2670	0.49	3.01	2.4	0	0	0	0	
TF-ChIP-seq	Caco-2	CTCF	None	wgEncodeUwTfbsCaco2CtcfStdAlnRep2	17996513	41334	42807	39741	0.1617	0.75	1.89	2.03	0	0	0	0	
TF-ChIP-seq	ECC-1	GR	DEX_100nM	wgEncodeHaibTfbsEcc1GrV0416102DexaAlnRep1	9473962	2387	7842	7433	0.0536	0.95	1.36	1.14	0	0	0	0	
TF-ChIP-seq	ECC-1	GR	DEX_100nM	wgEncodeHaibTfbsEcc1GrV0416102DexaAlnRep2	19421305	52700	9531	7433	0.0507	0.75	1.32	1.4	0	0	0	0	
TF-ChIP-seq	ECC-1	FOXA1	DMSO_0.02pct	wgEncodeHaibTfbsEcc1Foxa1c20V0416102Dmso2AlnRep1	18289405	1	3970	4028	0.0143	0.91	1.08	1.3	0	0	0	0	
TF-ChIP-seq	ECC-1	FOXA1	DMSO_0.02pct	wgEncodeHaibTfbsEcc1Foxa1c20V0416102Dmso2AlnRep2	17381832	10	4857	4028	0.0189	0.96	1.11	1.29	0	0	0	0	
TF-ChIP-seq	ECC-1	POL2	DMSO_0.02pct	wgEncodeHaibTfbsEcc1Pol2V0416102Dmso2AlnRep1	13006386	20407	18599	19308	0.2268	0.97	1.48	1.39	0	0	0	0	
TF-ChIP-seq	ECC-1	POL2	DMSO_0.02pct	wgEncodeHaibTfbsEcc1Pol2V0416102Dmso2AlnRep2	18901664	22352	28879	19308	0.3899	0.93	1.94	1.4	0	0	0	0	
TF-ChIP-seq	ECC-1	ERALPHA_A	Estradiol_10nM	wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep1	11857041	8282	13418	12461	0.1215	0.95	2.00	1.51	0	0	0	0	
TF-ChIP-seq	ECC-1	ERALPHA_A	Estradiol_10nM	wgEncodeHaibTfbsEcc1EralphaaV0416102Estradia1hAlnRep2	11191858	5403	10250	12461	0.0941	0.94	1.84	1.56	0	0	0	0	
TF-ChIP-seq	ECC-1	ERALPHA_A	Genistein_100nM	wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep1	9199830	2956	7103	8092	0.0582	0.8	1.76	1.63	0	0	0	0	
TF-ChIP-seq	ECC-1	ERALPHA_A	Genistein_100nM	wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hAlnRep2	11067810	6626	10599	8092	0.0946	0.9	1.86	1.55	0	0	0	0	
TF-ChIP-seq	Fibrobl	CTCF	None	wgEncodeOpenChromChipFibroblCtcfAlnRep1	16393274	35500	46678	39551	0.3685	0.59	6.12	2.33	0	0	0	0	
TF-ChIP-seq	Fibrobl	CTCF	None	wgEncodeOpenChromChipFibroblCtcfAlnRep2	16764528	38173	49522	39551	0.4296	0.8	5.94	2.35	0	0	0	0	
