wgEncodeAffyRnaChip	n/a	n/a	n/a	n/a
wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal	Affy	2009-03-10	n/a	2009-12-10
wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya	Affy	2008-12-09	n/a	2009-09-09
wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya	Affy	2008-11-21	n/a	2009-08-21
wgEncodeAffyRnaChipFiltTransfragsGm12878NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27
wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongnonpolya	Affy	2008-11-21	n/a	2009-08-21
wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongpolya	Affy	2009-04-01	n/a	2010-01-01
wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongnonpolya	Affy	2009-05-27	n/a	2010-02-27
wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongpolya	Affy	2009-05-27	n/a	2010-02-27
wgEncodeAffyRnaChipFiltTransfragsHepg2NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27
wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongnonpolya	Affy	2009-07-17	n/a	2010-04-17
wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongpolya	Affy	2009-07-17	n/a	2010-04-17
wgEncodeAffyRnaChipFiltTransfragsK562CellTotal	Affy	2008-11-25	n/a	2009-08-25
wgEncodeAffyRnaChipFiltTransfragsK562ChromatinTotal	Affy	2009-01-09	n/a	2009-10-09
wgEncodeAffyRnaChipFiltTransfragsK562CytosolLongnonpolya	Affy	2008-11-22	n/a	2009-08-22
wgEncodeAffyRnaChipFiltTransfragsK562CytosolLongpolya	Affy	2008-11-22	n/a	2009-08-22
wgEncodeAffyRnaChipFiltTransfragsK562NucleolusTotal	Affy	2009-02-04	n/a	2009-11-04
wgEncodeAffyRnaChipFiltTransfragsK562NucleoplasmTotal	Affy	2009-03-10	n/a	2009-12-10
wgEncodeAffyRnaChipFiltTransfragsK562NucleusLongnonpolya	Affy	2008-11-22	n/a	2009-08-22
wgEncodeAffyRnaChipFiltTransfragsK562NucleusLongpolya	Affy	2008-11-22	n/a	2009-08-22
wgEncodeAffyRnaChipFiltTransfragsK562PolysomeLongnonpolya	Affy	2008-11-21	n/a	2009-08-21
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteCytosolLongnonpolya	Affy	2009-05-27	n/a	2010-02-27
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteCytosolLongpolya	Affy	2009-05-27	n/a	2010-02-27
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteNucleusLongnonpolya	Affy	2009-06-12	n/a	2010-03-12
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteNucleusLongpolya	Affy	2009-06-12	n/a	2010-03-12
wgEncodeAffyRnaChipFiltTransfragsProstateCellLongnonpolya	Affy	2008-11-24	n/a	2009-08-24
wgEncodeAffyRnaChipFiltTransfragsProstateCellLongpolya	Affy	2008-11-24	n/a	2009-08-24
wgEncodeAffyRnaChipTransfragsGm12878CellTotal	Affy	2009-03-10	n/a	2009-12-10
wgEncodeAffyRnaChipTransfragsGm12878CytosolLongnonpolya	Affy	2008-12-09	n/a	2009-09-09
wgEncodeAffyRnaChipTransfragsGm12878CytosolLongpolya	Affy	2008-11-21	n/a	2009-08-21
wgEncodeAffyRnaChipTransfragsGm12878NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27
wgEncodeAffyRnaChipTransfragsGm12878NucleusLongnonpolya	Affy	2008-11-21	n/a	2009-08-21
wgEncodeAffyRnaChipTransfragsGm12878NucleusLongpolya	Affy	2009-04-01	n/a	2010-01-01
wgEncodeAffyRnaChipTransfragsHepg2CytosolLongnonpolya	Affy	2009-05-27	n/a	2010-02-27
wgEncodeAffyRnaChipTransfragsHepg2CytosolLongpolya	Affy	2009-05-27	n/a	2010-02-27
wgEncodeAffyRnaChipTransfragsHepg2NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27
wgEncodeAffyRnaChipTransfragsHepg2NucleusLongnonpolya	Affy	2009-07-17	n/a	2010-04-17
wgEncodeAffyRnaChipTransfragsHepg2NucleusLongpolya	Affy	2009-07-17	n/a	2010-04-17
wgEncodeAffyRnaChipTransfragsK562CellTotal	Affy	2008-11-25	n/a	2009-08-25
wgEncodeAffyRnaChipTransfragsK562ChromatinTotal	Affy	2009-01-09	n/a	2009-10-09
