#metaObject	lab	dateSubmitted	dateResubmitted	dateUnrestricted	composite
wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal	Affy	2009-03-10	n/a	2009-12-10	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya	Affy	2008-12-09	n/a	2009-09-09	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya	Affy	2008-11-21	n/a	2009-08-21	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsGm12878NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongnonpolya	Affy	2008-11-21	n/a	2009-08-21	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongpolya	Affy	2009-04-01	n/a	2010-01-01	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongnonpolya	Affy	2009-05-27	n/a	2010-02-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsHepg2CytosolLongpolya	Affy	2009-05-27	n/a	2010-02-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsHepg2NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongnonpolya	Affy	2009-07-17	n/a	2010-04-17	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsHepg2NucleusLongpolya	Affy	2009-07-17	n/a	2010-04-17	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562CellTotal	Affy	2008-11-25	n/a	2009-08-25	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562ChromatinTotal	Affy	2009-01-09	n/a	2009-10-09	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562CytosolLongnonpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562CytosolLongpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562NucleolusTotal	Affy	2009-02-04	n/a	2009-11-04	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562NucleoplasmTotal	Affy	2009-03-10	n/a	2009-12-10	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562NucleusLongnonpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562NucleusLongpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsK562PolysomeLongnonpolya	Affy	2008-11-21	n/a	2009-08-21	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteCytosolLongnonpolya	Affy	2009-05-27	n/a	2010-02-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteCytosolLongpolya	Affy	2009-05-27	n/a	2010-02-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteNucleusLongnonpolya	Affy	2009-06-12	n/a	2010-03-12	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsKeratinocyteNucleusLongpolya	Affy	2009-06-12	n/a	2010-03-12	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsProstateCellLongnonpolya	Affy	2008-11-24	n/a	2009-08-24	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipFiltTransfragsProstateCellLongpolya	Affy	2008-11-24	n/a	2009-08-24	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsGm12878CellTotal	Affy	2009-03-10	n/a	2009-12-10	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsGm12878CytosolLongnonpolya	Affy	2008-12-09	n/a	2009-09-09	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsGm12878CytosolLongpolya	Affy	2008-11-21	n/a	2009-08-21	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsGm12878NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsGm12878NucleusLongnonpolya	Affy	2008-11-21	n/a	2009-08-21	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsGm12878NucleusLongpolya	Affy	2009-04-01	n/a	2010-01-01	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsHepg2CytosolLongnonpolya	Affy	2009-05-27	n/a	2010-02-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsHepg2CytosolLongpolya	Affy	2009-05-27	n/a	2010-02-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsHepg2NucleolusTotal	Affy	2009-08-27	n/a	2010-05-27	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsHepg2NucleusLongnonpolya	Affy	2009-07-17	n/a	2010-04-17	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsHepg2NucleusLongpolya	Affy	2009-07-17	n/a	2010-04-17	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562CellTotal	Affy	2008-11-25	n/a	2009-08-25	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562ChromatinTotal	Affy	2009-01-09	n/a	2009-10-09	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562CytosolLongnonpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562CytosolLongpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562NucleolusTotal	Affy	2009-02-04	n/a	2009-11-04	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562NucleoplasmTotal	Affy	2009-01-09	n/a	2009-10-09	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562NucleusLongnonpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562NucleusLongpolya	Affy	2008-11-22	n/a	2009-08-22	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsK562PolysomeLongnonpolya	Affy	2008-11-21	n/a	2009-08-21	wgEncodeAffyRnaChip
wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongnonpolya	Affy	2009-05-27	n/a	2010-02-27	wgEncodeAffyRnaChip
