wgEncodeAffyRnaChip	Affy
wgEncodeAwgDnaseUniform	AWG
wgEncodeAwgDnaseUniform	Duke
wgEncodeAwgDnaseUniform	UW
wgEncodeAwgTfbsUniform	Broad
wgEncodeAwgTfbsUniform	Harvard
wgEncodeAwgTfbsUniform	HudsonAlpha
wgEncodeAwgTfbsUniform	Stanford
wgEncodeAwgTfbsUniform	UChicago
wgEncodeAwgTfbsUniform	USC
wgEncodeAwgTfbsUniform	UT-A
wgEncodeAwgTfbsUniform	UW
wgEncodeAwgTfbsUniform	Yale
wgEncodeBroadHistone	Broad
wgEncodeBroadHmm	Broad
wgEncodeBuOrchid	BU
wgEncodeCaltechRnaSeq	Caltech
wgEncodeCshlLongRnaSeq	CSHL
wgEncodeCshlShortRnaSeq	CSHL
wgEncodeDukeAffyExon	Duke
wgEncodeFsuRepliChip	FSU
wgEncodeGencodeV10	Sanger
wgEncodeGencodeV11	Sanger
wgEncodeGencodeV12	Sanger
wgEncodeGencodeV7	Sanger
wgEncodeGisChiaPet	GIS-Ruan
wgEncodeGisDnaPet	GIS
wgEncodeGisRnaPet	GIS
wgEncodeGisRnaSeq	GIS
wgEncodeHaibGenotype	HudsonAlpha
wgEncodeHaibMethyl450	HudsonAlpha
wgEncodeHaibMethylRrbs	HudsonAlpha
wgEncodeHaibRnaSeq	HudsonAlpha
wgEncodeHaibTfbs	Caltech
wgEncodeHaibTfbs	HudsonAlpha
wgEncodeMapability	CRG-Guigo
wgEncodeMapability	DAC-Stanford
wgEncodeMapability	Duke
wgEncodeOpenChromChip	UT-A
wgEncodeOpenChromDnase	Duke
wgEncodeOpenChromFaire	UNC
wgEncodeOpenChromSynth	Duke
wgEncodeRegDnaseClustered	UCSC
wgEncodeRegDnaseClustered	n/a
wgEncodeRegTfbsClustered	UCSC
wgEncodeRegTfbsClustered	n/a
wgEncodeRegTxn	Caltech
wgEncodeRikenCage	RIKEN
wgEncodeSunyAlbanyGeneSt	SunyAlbany
wgEncodeSunyAlbanyTiling	SunyAlbany
wgEncodeSunyRipSeq	SunyAlbany
wgEncodeSunySwitchgear	SunyAlbany
wgEncodeSydhHistone	USC
wgEncodeSydhNsome	Stanford
wgEncodeSydhRnaSeq	Yale
wgEncodeSydhTfbs	Harvard
wgEncodeSydhTfbs	Stanford
wgEncodeSydhTfbs	USC
wgEncodeSydhTfbs	Yale
wgEncodeUchicagoTfbs	UChicago
wgEncodeUmassDekker5C	UMass-Dekker
wgEncodeUncBsuProt	UNC/BSU
wgEncodeUncBsuProtGenc	UNC/BSU
wgEncodeUw5C	UW
wgEncodeUwAffyExonArray	UW
wgEncodeUwDgf	UW
wgEncodeUwDnase	UW
wgEncodeUwHistone	UW
wgEncodeUwRepliSeq	UW
wgEncodeUwTfbs	UW
