wgEncodeCaltechHist	Caltech-m
wgEncodeCaltechRnaSeq	Caltech-m
wgEncodeCaltechTfbs	Caltech-m
wgEncodeCshlLongRnaSeq	CSHL-m
wgEncodeFsuRepliChip	FSU-m
wgEncodeLicrHistone	LICR-m
wgEncodeLicrRnaSeq	LICR-m
wgEncodeLicrTfbs	LICR-m
wgEncodeMapability	CRG-Guigo-m
wgEncodeNhgriBip	NHGRI-Elnitski
wgEncodePsuDnase	PSU-m
wgEncodePsuHistone	PSU-m
wgEncodePsuRnaSeq	PSU-m
wgEncodePsuTfbs	PSU-m
wgEncodeSydhHist	Stanford-m
wgEncodeSydhHist	Yale-m
wgEncodeSydhRnaSeq	Stanford-m
wgEncodeSydhTfbs	Stanford-m
wgEncodeSydhTfbs	Yale-m
wgEncodeUwDgf	UW-m
wgEncodeUwDnase	UW-m
wgEncodeUwRnaSeq	UW-m
