GCF_009729015.1_ASM972901v1	Acidianus ambivalens (LEI 10 2019)
GCF_003201835.2_ASM320183v2	Acidianus brierleyi (DSM 1651 2020)
GCF_000213215.1_ASM21321v1	Acidianus hospitalis (W1 2011)
GCF_009729545.1_ASM972954v1	Acidianus infernus (DSM 3191 2019)
GCF_002116695.1_ASM211669v1	Acidianus manzaensis (YN-25 2017)
GCF_003201765.2_ASM320176v2	Acidianus sulfidivorans (JP7 2020)
GCF_000144915.1_ASM14491v1	Acidilobus saccharovorans (345-15 2010)
GCF_001402945.1_ASM140294v1	Acidiplasma aeolicum (VT 2015)
GCF_001402935.1_ASM140293v1	Acidiplasma cupricumulans (BH2 2015)
GCF_027563145.1_ASM2756314v1	Actinarchaeum halophilum (YIM 93972 2023)
GCF_000591035.1_ASM59103v1	Aeropyrum camini JCM 12091 (SY1 2013)
GCF_000011125.1_ASM1112v1	Aeropyrum pernix (K1 2006)
GCF_000008665.1_ASM866v1	Archaeoglobus fulgidus (DSM 4304 2000)
GCF_016757965.1_ASM1675796v1	Archaeoglobus neptunius (SE56 2021)
GCF_000025285.1_ASM2528v1	Archaeoglobus profundus (DSM 5631 2010)
GCF_000385565.1_ASM38556v1	Archaeoglobus sulfaticallidus (PM70-1 2013)
GCF_000194625.1_ASM19462v1	Archaeoglobus veneficus (SNP6 2011)
GCF_000317795.1_ASM31779v1	Caldisphaera lagunensis (DSM 15908 2012)
GCF_000018305.1_ASM1830v1	Caldivirga maquilingensis (IC-167 2007)
GCF_000632495.1_AciCop1.0	Candidatus Acidianus copahuensis (ALE1 2014)
GCF_000495475.1_Htyrrel1.0	Candidatus Halobonum tyrrellensis (G22 2013)
GCF_000019605.1_ASM1960v1	Candidatus Korarchaeum cryptofilum (OPF8 2008)
GCF_002214165.1_ASM221416v1	Candidatus Mancarchaeum acidiphilum (Mia14 2017)
GCF_964305265.1_EST-A-0151_MX-02-sp006954405	Candidatus Methanarcanum hacksteinii (EST-A-0151 2024)
GCF_029167205.1_ASM2916720v1	Candidatus Methanocrinis alkalitolerans (M04Ac 2023)
GCF_029167045.1_ASM2916704v1	Candidatus Methanocrinis natronophilus (Mx 2023)
GCF_902383905.1_UHGG_MGYG-HGUT-02160	Candidatus Methanomassiliicoccus intestinalis (MGYG-HGUT-02160 2019)
