GCF_000002035.6_GRCz11	zebrafish
GCF_000233375.1_ICSASG_v2	Atlantic salmon
GCF_000238955.4_M_zebra_UMD2a	zebra mbuna
GCF_000239375.1_PunNye1.0	bony fishes
GCF_000239395.1_NeoBri1.0	lyretail cichlid
GCF_000239415.1_AstBur1.0	Burton's mouthbrooder
GCF_000372685.2_Astyanax_mexicanus-2.0	Mexican tetra
GCF_000485575.1_Poecilia_formosa-5.1.2	Amazon molly
GCF_000523025.1_Cse_v1.0	tongue sole
GCF_000633615.1_Guppy_female_1.0_MT	guppy
GCF_000690725.1_Stegastes_partitus-1.0.2	bicolor damselfish
GCF_000732505.1_C_variegatus-1.0	sheepshead minnow
GCF_000735185.1_NC01	black rockcod
GCF_000788275.1_BP.fa	great blue-spotted mudskipper
GCF_000826765.1_Fundulus_heteroclitus-3.0.2	mummichog
GCF_000951615.1_common_carp_genome	common carp
GCF_000972845.2_L_crocea_2.0	large yellow croaker
GCF_001266775.1_Austrofundulus_limnaeus-1.0	bony fishes
GCF_001443285.1_P_latipinna-1.0	sailfin molly
GCF_001443325.1_P_mexicana-1.0	shortfin molly
GCF_001444195.1_X_couchianus-1.0	Monterrey platyfish
GCF_001465895.1_Nfu_20140520	turquoise killifish
GCF_001515605.1_SAMN03320099.WGS_v1.1	bony fishes
GCF_001515625.1_SAMN03320098_v1.1	bony fishes
GCF_001515645.1_SAMN03320097.WGS_v1.1	bony fishes
GCF_001640805.1_ASM164080v1	barramundi perch
GCF_001649575.1_ASM164957v1	mangrove rivulus
GCF_001660625.1_IpCoco_1.2	channel catfish
GCF_001682695.1_Pygocentrus_nattereri-1.0.2	red-bellied piranha
GCF_001858045.2_O_niloticus_UMD_NMBU	Nile tilapia
GCF_001891065.1_H_comes_QL1_v1	tiger tail seahorse
GCF_001952655.1_M_albus_1.0	swamp eel
GCF_001970005.1_Flounder_ref_guided_V1.0	Japanese flounder
GCF_002021735.2_Okis_V2	coho salmon
GCF_002109545.1_ASM210954v1	spiny chromis
GCF_002163495.1_Omyk_1.0	rainbow trout
GCF_002234675.1_ASM223467v1	Japanese medaka
GCF_002260705.1_Sdu_1.0	greater amberjack
GCF_002775205.1_X_maculatus-5.0-male	southern platyfish
GCF_002776465.1_AmpOce1.0	clown anemonefish
GCF_002814215.1_Sedor1	yellowtail amberjack
GCF_002872115.1_PKINGS_0.1	bony fishes
GCF_002872995.1_Otsh_v1.0	Chinook salmon
GCF_002910315.2_ASM291031v2	Arctic char
GCF_002922805.1_Om_v0.7.RACA	Indian medaka
GCF_003368295.1_ASM336829v1	goldfish
GCF_003665695.1_Ee_SOAP_WITH_SSPACE	electric eel
GCF_003671635.1_VN_pangasius	striped catfish
GCF_003724035.1_ASM372403v1	yellow catfish
GCF_004354835.1_PFLA_1.0	yellow perch
GCF_004355925.1_GSC_Weel_1.0	wolf-eel
GCF_004634155.1_Eluc_v4	northern pike
GCF_005870065.1_ASM587006v1	blue tilapia
GCF_006149115.1_Oner_1.0	sockeye salmon
GCF_007364275.1_fArcCen1	flier cichlid
GCF_008315115.1_SLUC_FBN_1	pike-perch
GCF_900080235.1_BallGen_V1	ballan wrasse
GCF_900246225.1_fAstCal1.2	eastern happy
GCF_900324465.1_fAnaTes1.1	climbing perch
GCF_900324485.1_fMasArm1.1	zig-zag eel
GCF_900634415.1_fCotGob3.1	bony fishes
GCF_900634625.1_fParRan2.1	Indian glassy fish
GCF_900634775.1_fGouWil2.1	blunt-snouted clingfish
GCF_900634795.2_fBetSpl5.2	Siamese fighting fish
GCF_900700375.1_fDenClu1.1	denticle herring
GCF_900700415.1_Ch_v2.0.2	Atlantic herring
GCF_900880675.1_fSpaAur1.1	gilthead seabream
GCF_900963305.1_fEcheNa1.1	live sharksucker
GCF_900964775.1_fSclFor1.1	Asian bonytongue
GCF_901000725.2_fTakRub1.2	torafugu
GCF_901001165.1_fSalTru1.1	river trout
GCF_902148845.1_fSalaFa1.1	jewelled blenny
GCF_902148855.1_fSphaOr1.1	orbiculate cardinalfish
GCF_902150065.1_fMyrMur1.1	pinecone soldierfish
GCF_902167405.1_gadMor3.0	Atlantic cod
GCF_902362185.1_fChaCha1.1	milkfish
