zig-zag eel	GCF_900324485.1_fMasArm1.1
zebrafish	GCF_000002035.6_GRCz11
zebra mbuna	GCF_000238955.4_M_zebra_UMD2a
yellowtail amberjack	GCF_002814215.1_Sedor1
yellow perch	GCF_004354835.1_PFLA_1.0
yellow catfish	GCF_003724035.1_ASM372403v1
wolf-eel	GCF_004355925.1_GSC_Weel_1.0
turquoise killifish	GCF_001465895.1_Nfu_20140520
torafugu	GCF_901000725.2_fTakRub1.2
tongue sole	GCF_000523025.1_Cse_v1.0
tiger tail seahorse	GCF_001891065.1_H_comes_QL1_v1
swamp eel	GCF_001952655.1_M_albus_1.0
striped catfish	GCF_003671635.1_VN_pangasius
spiny chromis	GCF_002109545.1_ASM210954v1
southern platyfish	GCF_002775205.1_X_maculatus-5.0-male
sockeye salmon	GCF_006149115.1_Oner_1.0
Siamese fighting fish	GCF_900634795.2_fBetSpl5.2
shortfin molly	GCF_001443325.1_P_mexicana-1.0
sheepshead minnow	GCF_000732505.1_C_variegatus-1.0
sailfin molly	GCF_001443285.1_P_latipinna-1.0
river trout	GCF_901001165.1_fSalTru1.1
red-bellied piranha	GCF_001682695.1_Pygocentrus_nattereri-1.0.2
rainbow trout	GCF_002163495.1_Omyk_1.0
pinecone soldierfish	GCF_902150065.1_fMyrMur1.1
pike-perch	GCF_008315115.1_SLUC_FBN_1
orbiculate cardinalfish	GCF_902148855.1_fSphaOr1.1
northern pike	GCF_004634155.1_Eluc_v4
Nile tilapia	GCF_001858045.2_O_niloticus_UMD_NMBU
mummichog	GCF_000826765.1_Fundulus_heteroclitus-3.0.2
Monterrey platyfish	GCF_001444195.1_X_couchianus-1.0
milkfish	GCF_902362185.1_fChaCha1.1
Mexican tetra	GCF_000372685.2_Astyanax_mexicanus-2.0
mangrove rivulus	GCF_001649575.1_ASM164957v1
lyretail cichlid	GCF_000239395.1_NeoBri1.0
live sharksucker	GCF_900963305.1_fEcheNa1.1
large yellow croaker	GCF_000972845.2_L_crocea_2.0
jewelled blenny	GCF_902148845.1_fSalaFa1.1
Japanese medaka	GCF_002234675.1_ASM223467v1
Japanese flounder	GCF_001970005.1_Flounder_ref_guided_V1.0
Indian medaka	GCF_002922805.1_Om_v0.7.RACA
Indian glassy fish	GCF_900634625.1_fParRan2.1
guppy	GCF_000633615.1_Guppy_female_1.0_MT
greater amberjack	GCF_002260705.1_Sdu_1.0
great blue-spotted mudskipper	GCF_000788275.1_BP.fa
goldfish	GCF_003368295.1_ASM336829v1
gilthead seabream	GCF_900880675.1_fSpaAur1.1
flier cichlid	GCF_007364275.1_fArcCen1
electric eel	GCF_003665695.1_Ee_SOAP_WITH_SSPACE
eastern happy	GCF_900246225.1_fAstCal1.2
denticle herring	GCF_900700375.1_fDenClu1.1
common carp	GCF_000951615.1_common_carp_genome
coho salmon	GCF_002021735.2_Okis_V2
clown anemonefish	GCF_002776465.1_AmpOce1.0
climbing perch	GCF_900324465.1_fAnaTes1.1
Chinook salmon	GCF_002872995.1_Otsh_v1.0
channel catfish	GCF_001660625.1_IpCoco_1.2
Burton's mouthbrooder	GCF_000239415.1_AstBur1.0
bony fishes	GCF_900634415.1_fCotGob3.1
bony fishes	GCF_002872115.1_PKINGS_0.1
bony fishes	GCF_001515645.1_SAMN03320097.WGS_v1.1
bony fishes	GCF_001515625.1_SAMN03320098_v1.1
bony fishes	GCF_001515605.1_SAMN03320099.WGS_v1.1
bony fishes	GCF_001266775.1_Austrofundulus_limnaeus-1.0
bony fishes	GCF_000239375.1_PunNye1.0
blunt-snouted clingfish	GCF_900634775.1_fGouWil2.1
blue tilapia	GCF_005870065.1_ASM587006v1
black rockcod	GCF_000735185.1_NC01
bicolor damselfish	GCF_000690725.1_Stegastes_partitus-1.0.2
barramundi perch	GCF_001640805.1_ASM164080v1
ballan wrasse	GCF_900080235.1_BallGen_V1
Atlantic salmon	GCF_000233375.1_ICSASG_v2
Atlantic herring	GCF_900700415.1_Ch_v2.0.2
Atlantic cod	GCF_902167405.1_gadMor3.0
Asian bonytongue	GCF_900964775.1_fSclFor1.1
Arctic char	GCF_002910315.2_ASM291031v2
Amazon molly	GCF_000485575.1_Poecilia_formosa-5.1.2
