white-tufted-ear marmoset	GCF_000004665.1_Callithrix_jacchus-3.2
Ugandan red Colobus	GCF_002776525.2_ASM277652v2
Sumatran orangutan	GCF_002880775.1_Susie_PABv2
sooty mangabey	GCF_000955945.1_Caty_1.0
small-eared galago	GCF_000181295.1_OtoGar3
Rhesus monkey	GCF_003339765.1_Mmul_10
pygmy chimpanzee	GCF_000258655.2_panpan1.1
pig-tailed macaque	GCF_000956065.1_Mnem_1.0
Philippine tarsier	GCF_000164805.1_Tarsius_syrichta-2.0.1
olive baboon	GCF_008728515.1_Panubis1.0
olive baboon	GCF_000264685.3_Panu_3.0
northern white-cheeked gibbon	GCF_006542625.1_Asia_NLE_v1
Ma's night monkey	GCF_000952055.2_Anan_2.0
human	GCF_000001405.39_GRCh38.p13
green monkey	GCF_000409795.2_Chlorocebus_sabeus_1.1
gray mouse lemur	GCF_000165445.2_Mmur_3.0
golden snub-nosed monkey	GCF_007565055.1_ASM756505v1
gelada	GCF_003255815.1_Tgel_1.0
drill	GCF_000951045.1_Mleu.le_1.0
crab-eating macaque	GCF_000364345.1_Macaca_fascicularis_5.0
Coquerel's sifaka	GCF_000956105.1_Pcoq_1.0
chimpanzee	GCF_002880755.1_Clint_PTRv2
black snub-nosed monkey	GCF_001698545.1_ASM169854v1
