whale shark	GCF_001642345.1_ASM164234v2
two-lined caecilian	GCF_901001135.1_aRhiBiv1.1
tropical clawed frog	GCF_000004195.4_UCB_Xtro_10.0
spotted gar	GCF_000242695.1_LepOcu1
snakes	GCF_001527695.2_P.Mucros_1.0
snakes	GCF_001077635.1_Thamnophis_sirtalis-6.0
reedfish	GCF_900747795.1_fErpCal1.1
mainland tiger snake	GCF_900518725.1_TS10Xv2-PRI
lizards	GCF_001447785.1_Gekko_japonicus_V1.1
Green sea turtle	GCF_000344595.1_CheMyd_1.0
green anole	GCF_000090745.1_AnoCar2.0
Goodes thornscrub tortoise	GCF_007399415.2_rGopEvg1_v1.p
frogs & toads	GCF_000935625.1_ASM93562v1
elephant shark	GCF_000165045.1_Callorhinchus_milii-6.1.3
eastern brown snake	GCF_900518735.1_EBS10Xv2-PRI
common wall lizard	GCF_004329235.1_PodMur_1.0
coelacanth	GCF_000225785.1_LatCha1
Chinese soft-shelled turtle	GCF_000230535.1_PelSin_1.0
Chinese alligator	GCF_000455745.1_ASM45574v1
central bearded dragon	GCF_900067755.1_pvi1.1
caecilians	GCF_901765095.1_aMicUni1.1
Burmese python	GCF_000186305.1_Python_molurus_bivittatus-5.0.2
Australian saltwater crocodile	GCF_001723895.1_CroPor_comp1
American alligator	GCF_000281125.3_ASM28112v4
African clawed frog	GCF_001663975.1_Xenopus_laevis_v2
