zig-zag eel	GCF_900324485.2_fMasArm1.2
zig-zag eel	GCA_900700395.1_fMasArm1.2_alternate_haplotype
zebra finch	GCF_008822105.2_bTaeGut2.pat.W.v2
zebra finch	GCF_003957565.1_bTaeGut1_v1.p
zebra finch	GCA_009859065.2_bTaeGut2.pri.v2
zebra finch	GCA_009859025.1_bTaeGut2.p.v1.alt
zebra finch	GCA_008822125.1_bTaeGut2pat
zebra finch	GCA_008822115.3_bTaeGut2.mat.v3
zebra finch	GCA_003957525.1_bTaeGut1_v1.h
yellow-throated sandgrouse	GCA_009769525.1_bPteGut1.pri
yellow-throated sandgrouse	GCA_009769505.1_bPteGut1.alt
white-tufted-ear marmoset	GCA_011100555.1_mCalJac1.pat.X
white-tufted-ear marmoset	GCA_011100535.1_mCalJac1.pat
white-tufted-ear marmoset	GCA_011078405.1_mCalJac1.mat
Western terrestrial garter snake	GCF_009769535.1_rThaEle1.pri
Western terrestrial garter snake	GCA_009769695.1_rThaEle1.alt
vaquita	GCF_008692025.1_mPhoSin1.pri
vaquita	GCA_008692045.1_mPhoSin1.alt
two-lined caecilian	GCF_901001135.1_aRhiBiv1.1
two-lined caecilian	GCA_901001175.1_aRhiBiv1.1_alternate_haplotype
tufted duck	GCF_009819795.1_bAytFul2.pri
tufted duck	GCA_009819845.1_bAytFul2.alt
torafugu	GCF_901000725.2_fTakRub1.2
torafugu	GCA_901000745.3_fTakRub1.2_alternate_haplotype
thorny skate	GCF_010909765.1_sAmbRad1.pri
thorny skate	GCA_010909745.1_sAmbRad1.alt
Swainson's thrush	GCF_009819885.1_bCatUst1.pri
Swainson's thrush	GCA_009819505.1_bCatUst1.alt
sterlet	GCA_902713435.1_fAciRut3.1_paternal_haplotype
sterlet	GCA_902713425.1_fAciRut3.1_maternal_haplotype
smalltooth sawfish	GCA_009764485.1_sPriPec2.alt
smalltooth sawfish	GCA_009764475.1_sPriPec2.pri
Siamese fighting fish	GCF_900634795.2_fBetSpl5.2
Siamese fighting fish	GCA_900651605.1_fBetSpl5.1_alternate_haplotype
sea lamprey	GCF_010993605.1_kPetMar1.pri
sea lamprey	GCA_010993595.1_kPetMar1.alt
sand lizard	GCF_009819535.1_rLacAgi1.pri
sand lizard	GCA_009819545.1_rLacAgi1.alt
river trout	GCF_901001165.1_fSalTru1.1
reedfish	GCF_900747795.1_fErpCal1.1
reedfish	GCA_900700845.2_fErpCal1.1_alternate_haplotype
Red-legged seriema	GCA_009819825.1_bCarCri1.pri
Red-legged seriema	GCA_009819485.1_bCarCri1.alt
red-crested turaco	GCA_009769465.1_bTauEry1.pri
red-crested turaco	GCA_009764505.1_bTauEry1.alt
razorbill	GCA_008658365.1_bAlcTor1_primary
razorbill	GCA_008658355.1_bAlcTor1_alternate
platypus	GCA_004115215.3_mOrnAna1.pri.v3
platypus	GCA_004115175.2_mOrnAna1.alt.v3
pinecone soldierfish	GCF_902150065.1_fMyrMur1.1
pinecone soldierfish	GCA_902148815.1_fMyrMur1.1_alternate_haplotype
pale spear-nosed bat	GCF_004126475.1_mPhyDis1_v1.p
pale spear-nosed bat	GCA_004115245.1_mPhyDis1_v1.h
orbiculate cardinalfish	GCF_902148855.1_fSphaOr1.1
orbiculate cardinalfish	GCA_902148825.1_fSphaOr1.1_alternate_haplotype
northern pike	GCA_011004845.1_fEsoLuc1.pri
northern pike	GCA_011004835.1_fEsoLuc1.alt
New Zealand spotty	GCA_009762545.1_fNotCel1.alt
New Zealand spotty	GCA_009762535.1_fNotCel1.pri
New Caledonian crow	GCF_009650955.1_bCorMon1.pri
New Caledonian crow	GCA_009651025.1_bCorMon1.alt
mute swan	GCA_009769625.1_bCygOlo1.pri
mute swan	GCA_009769485.1_bCygOlo1.alt
milkfish	GCF_902362185.1_fChaCha1.1
milkfish	GCA_902362175.1_fChaCha1.1_alternate_haplotype
lumpfish	GCA_009769545.1_fCycLum1.pri
lumpfish	GCA_009769515.1_fCycLum1.alt
live sharksucker	GCF_900963305.1_fEcheNa1.1
live sharksucker	GCA_900963505.1_fEcheNa1.1_alternate_haplotype
leatherback sea turtle	GCA_009764565.1_rDerCor1.pri
leatherback sea turtle	GCA_009762595.1_rDerCor1.alt
lance-tailed manakin	GCF_009829145.1_bChiLan1.pri
lance-tailed manakin	GCA_009829205.1_bChiLan1.alt
Kakapo	GCF_004027225.2_bStrHab1.2.pri
Kakapo	GCA_004011185.1_bStrHab1_v1.h
jewelled blenny	GCF_902148845.1_fSalaFa1.1
jewelled blenny	GCA_902148835.1_fSalaFa1.1_alternate_haplotype
Indian glassy fish	GCF_900634625.1_fParRan2.1
Indian glassy fish	GCA_900651595.1_fParRan2.1_alternate_haplotype
hybrid cattle	GCF_003369695.1_UOA_Brahman_1
hybrid cattle	GCA_003369685.2_UOA_Angus_1
greater pipefish	GCA_901709685.1_fSynAcu1.1_alternate_haplotype
greater pipefish	GCA_901709675.1_fSynAcu1.1
greater horseshoe bat	GCF_004115265.1_mRhiFer1_v1.p
greater horseshoe bat	GCA_004115295.1_mRhiFer1_v1.h
Goodes thornscrub tortoise	GCF_007399415.2_rGopEvg1_v1.p
Goodes thornscrub tortoise	GCA_007399395.1_rGopEvg1_v1.alt
golden eagle	GCF_900496995.1_bAquChr1.2
golden eagle	GCA_902153765.1_bAquChr1.2_alternate_haplotype
gilthead seabream	GCF_900880675.1_fSpaAur1.1
gilthead seabream	GCA_900880695.1_fSpaAur1.1_alternate_haplotype
flier cichlid	GCF_007364275.1_fArcCen1
flier cichlid	GCA_007364235.1_fArcCen1_v1.h
European starfish	GCF_902459465.1_eAstRub1.3
European starfish	GCA_902459445.1_eAstRub1.2_alternate_haplotype
Eurasian red squirrel	GCA_902686455.1_mSciVul1.1
Eurasian red squirrel	GCA_902685485.1_mSciVul1.1_alternate_haplotype
ermine	GCF_009829155.1_mMusErm1.Pri
ermine	GCA_009829165.1_mMusErm1.alt
eastern happy	GCF_900246225.1_fAstCal1.2
East African grey crowned-crane	GCA_011004875.1_bBalReg1.pri
East African grey crowned-crane	GCA_011004865.1_bBalReg1.alt
denticle herring	GCF_900700375.1_fDenClu1.1
denticle herring	GCA_900700345.2_fDenClu1.1_alternate_haplotype
common yellowthroat	GCA_009764595.1_bGeoTri1.pri
common yellowthroat	GCA_009764545.1_bGeoTri1.alt
common brushtail	GCA_011100645.1_mTriVul1.alt
common brushtail	GCA_011100635.1_mTriVul1.pri
common bottlenose dolphin	GCA_011762595.1_mTurTru1.mat.Y
common bottlenose dolphin	GCA_011762535.1_mTurTru1.mat
common bottlenose dolphin	GCA_011762515.1_mTurTru1.pat
Common tern	GCA_009819645.1_bSteHir1.alt
Common tern	GCA_009819605.1_bSteHir1.pri
climbing perch	GCF_900324465.2_fAnaTes1.2
climbing perch	GCA_900650485.1_fAnaTes1.2_alternate_haplotype
carmine bee-eater	GCA_009819595.1_bMerNub1.pri
carmine bee-eater	GCA_009819585.1_bMerNub1.alt
Canada lynx	GCF_007474595.1_mLynCan4_v1.p
Canada lynx	GCA_007474575.1_mLynCan4_v1.alt
California sea lion	GCA_009762305.1_mZalCal1.pri
California sea lion	GCA_009762295.1_mZalCal1.alt
caecilians	GCF_901765095.1_aMicUni1.1
caecilians	GCA_902459505.1_aGeoSer1.1
caecilians	GCA_902459495.1_aGeoSer1.1_alternate_haplotype
caecilians	GCA_901765105.1_aMicUni1.1_alternate_haplotype
budgerigar	GCA_012275295.1_bMelUnd1.mat.Z
budgerigar	GCA_012275275.1_bMelUnd1.pat
budgerigar	GCA_012275265.1_bMelUnd1.mat
bony fishes	GCF_900634415.1_fCotGob3.1
bony fishes	GCA_902500255.1_fThaAma1.1
bony fishes	GCA_902500245.1_fThaAma1.1_alternate_haplotype
bony fishes	GCA_900634435.1_fCotGob3.1_alternate_haplotype
bony fishes	GCA_009829135.1_fPerMag1.alt
bony fishes	GCA_009829125.1_fPerMag1.pri
blunt-snouted clingfish	GCF_900634775.1_fGouWil2.1
blunt-snouted clingfish	GCA_900650505.1_fGouWil2.1_alternate_haplotype
Blue whale	GCA_009873245.2_mBalMus1.v2
Blue whale	GCA_008658375.1_mBalMus1_alternate
blackcap	GCA_009819715.1_bSylAtr1.alt
blackcap	GCA_009819655.1_bSylAtr1.pri
birds	GCA_901699165.1_bStrTur1.1_alternate_haplotype
birds	GCA_901699155.1_bStrTur1.1
Atlantic halibut	GCA_009819745.1_fHipHip1.alt
Atlantic halibut	GCA_009819705.1_fHipHip1.pri
Atlantic cod	GCF_902167405.1_gadMor3.0
Atlantic cod	GCA_902167395.1_gadMor3.0_alternate_haplotype
Asian bonytongue	GCF_900964775.1_fSclFor1.1
Asian bonytongue	GCA_900964985.2_fSclFor1.1_alternate_haplotype
Anna's hummingbird	GCF_003957555.1_bCalAnn1_v1.p
Anna's hummingbird	GCA_003957575.1_bCalAnn1_v1.h
American flamingo	GCA_009819805.1_bPhoRub2.alt
American flamingo	GCA_009819775.1_bPhoRub2.pri
African grass rat	GCA_011762545.1_mArvNil1.pat
African grass rat	GCA_011762505.1_mArvNil1.pat.X
African grass rat	GCA_011750645.1_mArvNil1.mat
Abyssinian ground-hornbill	GCA_009769605.1_bBucAby1.pri
Abyssinian ground-hornbill	GCA_009769595.1_bBucAby1.alt
