GCA_009769605.1_bBucAby1.pri	Abyssinian ground-hornbill (2019)
GCA_009769595.1_bBucAby1.alt	Abyssinian ground-hornbill (alternate hap 2019)
GCA_026170555.1_bMelFor1.0.a	acorn woodpecker (bairdi alternate hap 2022)
GCA_026170545.1_bMelFor1.0.p	acorn woodpecker (bairdi primary hap 2022)
GCF_000699105.1_ASM69910v1	Adelie penguin
GCF_000698965.1_ASM69896v1	African ostrich
GCF_000691975.1_ASM69197v1	American crow
GCA_009819775.1_bPhoRub2.pri	American flamingo (2019)
GCA_009819805.1_bPhoRub2.alt	American flamingo (alternate hap 2019)
GCA_003957575.1_bCalAnn1_v1.h	Anna's hummingbird (alternate hap BGI_N300 2018)
GCF_003957555.1_bCalAnn1_v1.p	Anna's hummingbird (BGI_N300 2019 refseq)
GCF_000737465.1_Haliaeetus_leucocephalus-4.0	bald eagle
GCF_000703405.1_ASM70340v1	bar-tailed trogon
GCF_018691265.1_T.alba_DEE_v4.0	barn owl (U. Lausanne 2021)
GCA_015227815.3_bHirRus1.alt.v3	Barn swallow (bHirRus1 v3 alternate hap 2021)
GCF_015227805.2_bHirRus1.pri.v3	Barn swallow (bHirRus1 v3 primary hap 2021 refseq)
GCF_005870125.1_lonStrDom2	Bengalese finch
GCF_030490865.1_bPoeAtr1.hap1	black-capped chickadee (hap1 2023)
GCA_030490855.1_bPoeAtr1.hap2	black-capped chickadee (hap2 2023)
GCF_028500815.1_bRisTri1.patW.cur.20221130	black-legged kittiwake (bRisTri1 2023 refseq)
GCA_028501385.1_bRisTri1.mat.cur.20221130	black-legged kittiwake (bRisTri1.mat 2023)
GCA_009819655.1_bSylAtr1.pri	blackcap (2019)
GCA_009819715.1_bSylAtr1.alt	blackcap (alternate hap 2019)
GCF_013377495.2_CAtr_DNAZoo_HiC_assembly	black swan (v2 Queensland, Australia AKBS03 2022)
GCA_019023105.1_LSU_DiBr_2.0	black-throated flowerpiercer
GCF_002901205.1_cyaCae2	blue tit
GCA_028858755.1_bAraAra1.hap1	blue-and-yellow macaw (hap1 2023)
GCA_028858555.1_bAraAra1.hap2	blue-and-yellow macaw (hap2 2023)
GCF_001604755.1_Lepidothrix_coronata-1.0	blue-crowned manakin
GCA_017639355.1_Aaes_hic	blue-fronted amazon (AMXYW 2021)
GCA_001420675.1_ASM142067v1	blue-fronted amazon (FVVF132 2015)
GCA_019593555.1_cma1	brown eared-pheasant
GCF_012460135.2_BPBGC_Mater_1.1	brown headed cowbird (v1.1 BHLD 08-10-18 2022)
GCF_001039765.1_AptMant0	brown kiwi
GCF_000695765.1_ASM69576v1	brown roatelo
GCF_000238935.1_Melopsittacus_undulatus_6.3	budgerigar (v6.3 2021 WashU)
GCA_012275265.1_bMelUnd1.mat	budgerigar (maternal 2020)
GCF_012275295.1_bMelUnd1.mat.Z	budgerigar (maternal Z 2020 refseq)
GCA_012275275.1_bMelUnd1.pat	budgerigar (paternal 2020)
GCF_003259725.1_athCun1	burrowing owl
GCA_022605925.1_bLatJam1.0.a	California black rail (168171201 alternate hap 2022)
GCA_022605575.1_bLatJam1.0.p	California black rail (168171201 primary hap 2022)
GCF_018139145.2_ASM1813914v2	California condor (v2 813 2022 refseq)
GCA_023055725.1_bCalCai1.0.a	California quail (MVZ:Bird:193975 alternate hap 2022)
GCA_023055505.1_bCalCai1.0.p	California quail (MVZ:Bird:193975 primary hap 2022)
GCF_028551555.1_PUWL_Pcris_2	California towhee (CALT 2023)
GCA_006130075.1_GSC_cangoose_1.0	Canada goose (SJ_97 2019)
GCA_009819585.1_bMerNub1.alt	carmine bee-eater alternate hap pseudohaplotype 2019)
GCA_009819595.1_bMerNub1.pri	carmine bee-eater (2019)
GCF_000002315.6_GRCg6a	chicken (GRCg6a 2018)
GCA_027408205.1_bGalGal5.alt	chicken (Cobb bGalGal5 alternate hap 2022)
GCA_027408225.1_bGalGal5.pri	chicken (Cobb bGalGal5 primary hap 2022)
GCA_024206055.2_ASM2420605v2	chicken (Huxu 2023)
GCA_027408255.1_bGalGal4.alt	chicken (Ross bGalGal4 alternate hap 2022)
GCA_027557775.1_bGalGal4.pri	chicken (Ross bGalGal4 primary hap 2023)
GCF_016700215.2_bGalGal1.pat.whiteleghornlayer.GRCg7w	chicken white leghorn layer X broiler (leghorn haplotype v2 2021)
GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b	chicken white leghorn layer X broiler (broiler haplotype 2021 v2 2021)
GCF_003342845.1_notPer1	Chilean tinamou
GCF_000747805.2_ChaPel_1.1	chimney swift (M959 v1.1 2014)
GCF_000700745.2_ASM70074v2	chuck-will's-widow (BGI_N321 v2 2014)
GCF_000247815.1_FicAlb1.5	collared flycatcher
GCF_007115625.1_cibio_Scana_2019	common canary (domestic yellow sc_yellow_7_cibi 2019)
GCF_022539315.1_serCan2020	common canary (serCan28SL12 2022)
GCA_017976305.1_bCucCan1.alt	common cuckoo (bCucCan1 alternate hap 2021)
GCF_017976375.1_bCucCan1.pri	common cuckoo (bCucCan1 primary hap 2021 refseq)
GCA_027559525.1_bAcrTri1.alt	common myna (bArcTri1 alternate hap 2023)
GCA_027559615.1_bAcrTri1.pri	common myna (bArcTri1 primary hap 2023)
GCF_001447265.1_Sturnus_vulgaris-1.0	common starling
GCA_020740585.1_bApuApu2.alt.cur	common swift (bApuApu2 alternate hap 2021)
GCF_020740795.1_bApuApu2.pri.cur	common swift (bApuApu2 primary hap 2021 refseq)
GCA_009819645.1_bSteHir1.alt	common tern (alternate hap 2019)
GCA_009819605.1_bSteHir1.pri	common tern (2019)
GCA_009764545.1_bGeoTri1.alt	common yellowthroat (alternate hap 2019)
GCA_009764595.1_bGeoTri1.pri	common yellowthroat (2019)
GCF_000708225.1_ASM70822v1	crested ibis
GCF_000691785.1_ASM69178v1	cuckoo roller
GCF_000687375.1_ASM68737v1	Dalmatian pelican
GCA_030449815.1_bPelCri1.alt	Dalmatian pelican (alternate hap 2023)
GCA_030463565.1_bPelCri1.pri	Dalmatian pelican (primary hap 2023)
GCA_014839825.1_bDryPub1.alt	Downy woodpecker (alternate hap 2020)
GCF_014839835.1_bDryPub1.pri	Downy woodpecker (primary hap 2020)
GCF_000709895.1_ASM70989v1	East African grey crowned-crane
