GCA_026170555.1_bMelFor1.0.a	acorn woodpecker (bairdi alternate hap 2022)
GCA_026170545.1_bMelFor1.0.p	acorn woodpecker (bairdi primary hap 2022)
GCA_024610745.1_mUrsAme1.0.a	American black bear (L20-20 alternate hap 2022)
GCA_024610735.1_mUrsAme1.0.p	American black bear (L20-20 primary hap 2022)
GCA_022747625.1_ioHetAmer1.0.a	American ruby spot damselfly (1083.01 alternate hap 2022)
GCA_022747635.1_ioHetAmer1.0.p	American ruby spot damselfly (1083.01 primary hap 2022)
GCA_025532165.1_iyCamVici1.0	ant C.vicinus (PSW18456_S1 2022)
GCA_026230005.1_fGilOrc1.0.hap1	arroyo chub (AC-1 alternate hap 2022)
GCA_026230025.1_fGilOrc1.0.hap2	arroyo chub (AC-1 primary hap 2022)
GCA_028538565.1_dmUmbCali1.0.hap2	bay (USA: Berkeley CA var. californica CCGP_DODD_UMBCAL_S1 alternate hap 2023)
GCA_028534965.1_dmUmbCali1.0.hap1	bay (USA: Berkeley CA var. californica CCGP_DODD_UMBCAL_S1 primary hap 2023)
GCA_019985065.2_ddArcGlau1.1p	bigberry manzanita (GLNDR_RDG_Rd-6 2022)
GCA_019985075.1_ddArcGlau1.0.a	bigberry manzanita (GLNDR_RDG_Rd-6 alternate hap 2021)
GCA_022045225.1_xgHalCrac1.a	black abalone (W230 alternate hap 2022)
GCA_022045235.1_xgHalCrac1.p	black abalone (W230 primary hap 2022)
GCA_028534865.1_ddPopTric1.0.hap2	black cottonwood (Ptri.A.LA.226.w1 alternate hap 2023)
GCA_028534895.1_ddPopTric1.0.hap1	black cottonwood (Ptri.A.LA.226.w1 primary hap 2023)
GCA_022578405.1_fEmbJac1.0.a	black perch (LCO1_2020_lvr alternate hap 2022)
GCA_022577435.1_fEmbJac1.0.p	black perch (LCO1_2020_lvr primary hap 2022)
GCA_026167975.1_rPhrBla1.0.hap2	Blainville's horned lizard (alternate hap 2022)
GCA_026167985.1_rPhrBla1.0.hap1	Blainville's horned lizard (primary hap 2022)
GCA_022079275.1_mLynRuf1.a	bobcat (Redwood Valley CCGP_SWC_20201006 alternate hap 2022)
GCF_022079265.1_mLynRuf1.p	bobcat (Redwood Valley CCGP_SWC_20201006 primary hap 2022)
GCA_024803775.1_mThoBot1.0.a	Botta's pocket gopher (bottae MVZ:Mamm:240275 alternate hap 2022)
GCA_024803745.1_mThoBot1.0.p	Botta's pocket gopher (bottae MVZ:Mamm:240275 primary hap 2022)
GCA_022605925.1_bLatJam1.0.a	California black rail (168171201 alternate hap 2022)
GCA_022605575.1_bLatJam1.0.p	California black rail (168171201 primary hap 2022)
GCA_023349545.1_dhJugClai1.0.a	California black walnut (Jcal.S.LA.6 alternate hap 2022)
GCA_023349395.1_dhJugCali1.0.p	California black walnut (Jcal.S.LA.6 primary hap 2022)
GCA_022578425.1_rAriEle1.0.a	California glossy snake (A.elegans occidentalis HBS 135684 alternate hap 2022)
GCA_022577455.1_rAriEle1.0.p	California glossy snake (A.elegans occidentalis HBS 135684 primary hap 2022)
GCF_021869535.1_xbMytCali1.0.p	California mussel (2022)
GCA_021869935.1_xbMytCali1.0.a	California mussel (M0D057914Y alternate hap 2022)
GCA_023055725.1_bCalCai1.0.a	California quail (MVZ:Bird:193975 alternate hap 2022)
GCA_023055505.1_bCalCai1.0.p	California quail (MVZ:Bird:193975 primary hap 2022)
GCA_028535905.1_dhQueBerb1.0.hap2	California scrub oak (Qber.S.LA.60 alternate hap 2023)
GCA_028535815.1_dhQueBerb1.0.hap1	California scrub oak (Qber.S.LA.60 primary hap 2023)
GCA_022749735.1_fSemPul1.0.a	California sheephead (SPU_LCO1_2020_fin alternate hap 2022)
GCA_022749685.1_fSemPul1.0.p	California sheephead (SPU_LCO1_2020_fin primary hap 2022)
GCA_028537955.1_mMicCal1.0.hap1	California vole (kernensis MVZ Mamm 240107 primary hap 2023)
GCA_028537755.1_mMicCal1.0.hap2	California vole (kernensis MVZ Mamm 240107 alternate hap 2023)
GCA_029215685.1_rPitCat1.0.hap2	gopher snake (HBS135680 alternate hap 2023)
GCA_029215655.1_rPitCat1.0.hap1	gopher snake (HBS135680 primary hap 2023)
GCA_023055485.1_dhQueWisl1.0.a	interior live oak (QUWIS_CCGP_1 alternate hap 2022)
GCA_023055345.1_dhQueWisl1.0.p	interior live oak (QUWIS_CCGP_1 primary hap 2022)
GCA_028535165.1_dhQueTome1.0.hap2	island oak (RSA801373 alternate hap 2023)
GCA_028535515.1_dhQueTome1.0.hap1	island oak (RSA801373 primary hap 2023)
GCA_024363435.1_mPerLon1.0.a	little pocket mouse (longimembris alternate hap 2022)
GCA_024363575.1_mPerLon1.0.p	little pocket mouse (longimembris primary hap 2022)
GCA_024610695.1_qqTetVers1.0.a	longjawed orb weaver (CCGP_RG_IND1 alternate hap 2022)
GCA_024610705.1_qqTetVers1.0.p	longjawed orb weaver (CCGP_RG_IND1 primary hap 2022)
GCA_024711535.1_mDipMer1.0.p	Merriam's kangaroo rat (MVZ:Mamm:240054 2022)
GCA_024711525.1_mDipMer1.0.a	Merriam's kangaroo rat (MVZ:Mamm:240054 alternate hap 2022)
GCA_023349535.1_fCebVio1.0.a	monkeyface prickleback (CVI_PGR_0920_01 alternate hap 2022)
GCA_023349555.1_fCebVio1.0.p	monkeyface prickleback (CVI_PGR_0920_01 primary hap 2022)
GCA_026229955.1_mPerMan1.0.p	North American deer mouse (MVZ:Mamm:240117 2022)
GCA_026167925.1_mPerMan1.0.a	North American deer mouse (MVZ:Mamm:240117 alternate hap 2022)
GCA_029215635.1_mMirAng1.0.hap2	Northern elephant seal (CCGP_5_RB_7025 alternate hap 2023)
GCA_029215605.1_mMirAng1.0.hap1	Northern elephant seal (CCGP_5_RB_7025 primary hap 2023)
GCA_023362785.1_rChaBot1.0.a	Northern rubber boa (HBS 135849 alternate hap 2022)
GCA_023362775.1_rChaBot1.0.p	Northern rubber boa (HBS 135849 primary hap 2022)
GCA_022086895.1_rActMar1.a	Northwestern pond turtle (WTP2003 alternate hap 2022)
GCA_022086475.1_rActMar1.p	Northwestern pond turtle (WTP2003 primary hap 2022)
GCA_028749965.1_mPumCon1.0.hap2	puma (L17-30 alternate hap 2023)
GCA_028749985.1_mPumCon1.0.hap1	puma (L17-30 primary hap 2023)
GCA_023055495.1_xgHalRufe1.0.a	red abalone (VD_foot alternate hap 2022)
GCF_023055435.1_xgHalRufe1.0.p	red abalone (VD_foot primary hap 2022)
