# track name in trackDb.txt <tab> name that 'hubtools import igv' gives it
# the second column comes from the file names in the IGV session; when the
# authors change the session, this is the file that has to be updated
gcPercent	bTaeGut7v04_MT_rDNATeloscopegcbw_1
seqEntropy	bTaeGut7v04_MT_rDNATeloscopeentropybw_2
nonBdna	bTaeGut7v04_MT_rDNAgfa2BQuadronsortedv01bed_15
covHifi	dip_hifi_Cov_5
covOnt	dip_ont_Cov_6
covClr	bTaeGut14_CLRcovbw_4
egapx	bTaeGut7v04_MT_rDNAEGAPxv01gtfgz_7
retrocopies	bTaeGut7v04_MT_rDNARCPediav01gff_8
transposons	bTaeGut7v04_MT_rDNAEDTA2v02gtfgz_9
tandemRepeats	bTaeGut7v04_MT_rDNAtrfsortedv01bed_13
satellome	bTaeGut7v04_MT_rDNAsatellomev01bed_14
centroSat	bTaeGut7v04_MT_rDNARMTakki2022v01coloredmergedgff_10
centroCores	bTaeGut7v04_MT_rDNAcentromere_detectorv01gff_12
centroMarkers	bTaeGut7v04_MT_rDNABLASTKnief2016v02bed_11
telomeres	bTaeGut7v04_MT_rDNATeloscopeterminalbed_16
itsRepeats	bTaeGut7v04_MT_rDNAteloscopev03itsmerged200bed_17
newRegions	bTaeGut7v04_MT_rDNAPURfastgav01bed_3
largeSv	bTaeGut7v04_MT_rDNAlarge_SVsv01bed_19
methyl5mC	bTaeGut7v04_MT_rDNAPBmethylationv01bw_18
compartE1	bTaeGut7v04_MT_rDNACooltoolsE1200kbpflippeddipcollatedv01bw_20
compartAB	bTaeGut7v04_MT_rDNACooltoolsE1200kbpflippeddipcollatedv01bed_21
