HLacaChl2	NCBI	GCA_016904835.1	Acanthisitta chloris
HLaccGen2	NCBI	GCA_929443795.1	Accipiter gentilis
HLaccGenAtr1	NCBI	GCA_017309825.1	Accipiter gentilis atricapillus
HLacrAru1	NCBI	GCA_013398685.1	Acrocephalus arundinaceus
HLacrFamKin1	NCBI	GCA_022441285.1	Acrocephalus familiaris kingi
HLacrJav1	NCBI	GCA_002849675.1	Acridotheres javanicus
HLacrSciSci1	NCBI	GCA_910950805.1	Acrocephalus scirpaceus scirpaceus
HLaegBen1	NCBI	GCA_013398125.1	Aegotheles bennettii
HLaegCau1	NCBI	GCA_013389925.1	Aegithalos caudatus
HLagaRos1	NCBI	GCA_002631895.1	Agapornis roseicollis
HLagePho1	NCBI	GCA_013398535.1	Agelaius phoeniceus
HLagePho2	NCBI	GCA_020745825.1	Agelaius phoeniceus
HLageTri1	NCBI	GCA_017165875.1	Agelaius tricolor
HLalaArv1	NCBI	GCA_902810485.1	Alauda arvensis
HLalaChe1	NCBI	GCA_013398995.1	Alaudala cheleensis
HLalcRuf1	NCBI	GCA_019345075.1	Alectoris rufa
HLalcTor1	NCBI	GCA_008658365.1	Alca torda
HLaleRuf1	NCBI	GCA_013397815.1	Aleadryas rufinucha
HLaloBec1	NCBI	GCA_013399365.1	Alopecoenas beccarii
HLamaAes1	NCBI	GCA_001420675.1	Amazona aestiva
HLamaCol1	NCBI	GCA_003947215.1	Amazona collaria
HLamaGui1	NCBI	GCA_013399615.1	Amazona guildingii
HLambSub1	NCBI	GCA_018881555.1	Amblyornis subalaris
HLammSavPra1	NCBI	GCA_020466415.1	Ammodramus savannarum pratensis
HLanaPla1	NCBI	GCA_008746955.1	Anas platyrhynchos
HLanaPla2	NCBI	GCA_002743455.1	Anas platyrhynchos platyrhynchos
HLanaZon1	NCBI	GCA_002224875.1	Anas zonorhyncha
HLanhAnh1	NCBI	GCA_013396435.1	Anhinga anhinga
HLanoHya1	NCBI	GCA_009936445.1	Anodorhynchus hyacinthinus
HLansBra1	NCBI	GCA_002592135.1	Anser brachyrhynchus
HLansCyg2	NCBI	GCA_013030995.1	Anser cygnoides
HLansInd1	NCBI	GCA_006229135.1	Anser indicus
HLansSem1	NCBI	GCA_013399115.1	Anseranas semipalmata
HLantMin1	NCBI	GCA_013399455.1	Anthoscopus minutus
HLaphCoe1	NCBI	GCA_013398375.1	Aphelocoma coerulescens
HLaptHaa1	NCBI	GCA_003342985.1	Apteryx haastii
HLaptOwe1	NCBI	GCA_003342965.1	Apteryx owenii
HLaptPat1	NCBI	GCA_010087175.1	Aptenodytes patagonicus
HLaptRow1	NCBI	GCA_003343035.1	Apteryx rowi
HLaquChrChr3	NCBI	GCA_900496995.3	Aquila chrysaetos chrysaetos
HLaraAra1	NCBI	GCA_010014805.1	Ara ararauna
HLaraChl1	NCBI	GCA_010014725.1	Ara chloropterus
HLaraGla2	NCBI	GCA_013433245.1	Ara glaucogularis
HLaraGua1	NCBI	GCA_013400195.1	Aramus guarauna
HLaraMil1	NCBI	GCA_010015965.1	Ara militaris
HLaraRub1	NCBI	GCA_917880015.2	Ara rubrogenys
HLaraWed1	NCBI	GCA_009867205.1	Aratinga weddellii
HLardKor1	NCBI	GCA_013396375.1	Ardeotis kori
HLareInt1	NCBI	GCA_013399435.1	Arenaria interpres
HLartBel1	NCBI	GCA_021963965.1	Artemisiospiza belli
HLasaScu1	NCBI	GCA_013398475.1	Asarcornis scutulata
