HLaciJub2	NCBI	GCF_003709585.1	Acinonyx jubatus
HLacoCah1	NCBI	GCA_004027535.1	Acomys cahirinus
HLacoRus1	NCBI	GCA_903995435.1	Acomys russatus
HLaeoCin1	NCBI	GCA_011751065.1	Aeorestes cinereus
HLaepMel1	NCBI	GCA_006408695.1	Aepyceros melampus
HLailFul2	DNA Zoo Consortium	none	Ailurus fulgens
HLailMel2	NCBI	GCA_002007445.2	Ailuropoda melanoleuca
HLalcAlc1	NCBI	GCA_007570765.1	Alces alces
HLallBul1	NCBI	GCA_004027895.1	Allactaga bullata
HLallNig1	DNA Zoo Consortium	none	Allenopithecus nigroviridis
HLaloPal1	NCBI	GCA_004027835.1	Alouatta palliata
HLammLer1	NCBI	GCA_002201775.1	Ammotragus lervia
HLanoCau1	NCBI	GCA_004027475.1	Anoura caudifer
HLantAme1	NCBI	GCA_007570785.1	Antilocapra americana
HLantFla1	NCBI	GCA_016432865.1	Antechinus flavipes
HLantMar1	NCBI	GCA_006408585.1	Antidorcas marsupialis
HLantPal1	NCBI	GCA_007922775.1	Antrozous pallidus
HLaonCin1	DNA Zoo Consortium	none	Aonyx cinereus
HLaplRuf1	NCBI	GCA_004027875.1	Aplodontia rufa
HLapoSyl1	NCBI	GCA_001305905.1	Apodemus sylvaticus
HLarcGaz2	NCBI	GCA_900642305.1	Arctocephalus gazella
HLartJam1	NCBI	GCA_004027435.1	Artibeus jamaicensis
HLartJam2	NCBI	GCA_014825515.1	Artibeus jamaicensis
HLarvAmp1	NCBI	GCA_903992535.1	Arvicola amphibius
HLarvNil1	NCBI	GCA_011762505.1	Arvicanthis niloticus
HLateGeo1	NCBI	GCA_004024785.1	Ateles geoffroyi
HLaxiPor1	NCBI	GCA_003798545.1	Axis porcinus
HLbabCel1	DNA Zoo Consortium	none	Babyrousa celebensis
HLbalBon1	NCBI	GCA_000978805.1	Balaenoptera bonaerensis
HLbalEde1	DNA Zoo Consortium	none	Balaenoptera edeni
HLbalMus1	NCBI	GCA_009873245.1	Balaenoptera musculus
HLbalMus2	NCBI	GCF_009873245.2	Balaenoptera musculus
HLbalMys1	http://alfred.liv.ac.uk/downloads/bowhead_whale/bowhead_whale_scaffolds.zip	none	Balaena mysticetus
HLbalPhy1	NCBI	GCA_008795845.1	Balaenoptera physalus
HLbasAst1	DNA Zoo Consortium	none	Bassariscus astutus
HLbasSum1	DNA Zoo Consortium	none	Bassariscus sumichrasti
HLbeaHun1	NCBI	GCA_004027495.1	Beatragus hunteri
HLbisBisBis2	DNA Zoo Consortium	none	Bison bison bison
HLbosFro1	NCBI	GCA_007844835.1	Bos frontalis
HLbosGau1	NCBI	GCA_014182915.1	Bos gaurus
HLbosGru1	NCBI	GCA_005887515.2	Bos grunniens
HLbosInd2	NCBI	GCA_002933975.1	Bos indicus
HLbosMut2	NCBI	GCA_007646595.3	Bos mutus
HLbubBub2	NCBI	GCA_003121395.1	Bubalus bubalis
HLcalJac4	NCBI	GCA_011100555.1	Callithrix jacchus
HLcalPym1	DNA Zoo Consortium	none	Callithrix pygmaea
HLcalUrs1	NCBI	GCA_003265705.1	Callorhinus ursinus
HLcamBac1	NCBI	GCA_000767855.1	Camelus bactrianus
HLcamDro2	NCBI	GCA_000803125.3	Camelus dromedarius
HLcamFer3	NCBI	GCA_009834535.1	Camelus ferus
HLcanLupDin1	NCBI	GCA_003254725.1	Canis lupus dingo
HLcapAeg1	NCBI	GCA_000765075.1	Capra aegagrus
HLcapHir2	NCBI	GCA_001704415.1	Capra hircus
HLcapIbe1	NCBI	GCA_006410555.1	Capra ibex
HLcapPyg1	NCBI	GCA_012922965.1	Capreolus pygargus
HLcapSib1	NCBI	GCA_003182615.2	Capra sibirica
HLcarPer3	NCBI	GCA_004027735.1	Carollia perspicillata
HLcasCan3	DNA Zoo Consortium	none	Castor canadensis
HLcatWag1	NCBI	GCA_004024745.2	Catagonus wagneri
HLcavTsc1	NCBI	GCA_004027695.1	Cavia tschudii
HLcebAlb1	NCBI	GCA_004027755.1	Cebus albifrons
HLcepCom1	DNA Zoo Consortium	none	Cephalorhynchus commersonii
HLcepHar1	NCBI	GCA_006410635.1	Cephalophus harveyi
HLcerEla1	NCBI	GCA_002197005.1	Cervus elaphus hippelaphus
HLcerHanYar1	NCBI	GCA_010411085.1	Cervus hanglu yarkandensis
HLcerMon1	NCBI	GCA_014849445.1	Cercopithecus mona
HLcerNeg1	NCBI	GCA_004027615.1	Cercopithecus neglectus
HLcerSimCot1	NCBI	GCA_004027795.1	Ceratotherium simum cottoni
HLcheMed1	NCBI	GCA_008086735.1	Cheirogaleus medius
HLchoDid1	NCBI	GCA_004027855.1	Choloepus didactylus
HLchoDid2	NCBI	GCF_015220235.1	Choloepus didactylus
HLchoHof3	DNA Zoo Consortium	none	Choloepus hoffmanni
HLchrBra1	DNA Zoo Consortium	none	Chrysocyon brachyurus
HLcoePre1	DNA Zoo Consortium	none	Coendou prehensilis
HLconTau2	DNA Zoo Consortium	none	Connochaetes taurinus
HLcraTho1	NCBI	GCA_004027555.1	Craseonycteris thonglongyai
HLcriGam1	NCBI	GCA_004027575.1	Cricetomys gambianus
HLcriGri3	NCBI	GCA_003668045.1	Cricetulus griseus
HLcroCro1	NCBI	GCA_008692635.1	Crocuta crocuta
HLcroCro2	DNA Zoo Consortium	none	Crocuta crocuta
HLcryFer2	DNA Zoo Consortium	none	Cryptoprocta ferox
HLcteGun1	NCBI	GCA_004027205.1	Ctenodactylus gundi
HLcteSoc1	NCBI	GCA_004027165.1	Ctenomys sociabilis
HLcynBra1	NCBI	GCA_009793145.1	Cynopterus brachyotis
HLcynGun1	NCBI	GCA_011316645.1	Cynomys gunnisoni
HLdamLun1	NCBI	GCA_006408505.1	Damaliscus lunatus
HLdasPun1	NCBI	GCA_004363535.1	Dasyprocta punctata
HLdauMad1	NCBI	GCA_004027145.1	Daubentonia madagascariensis
HLdelLeu2	NCBI	GCA_002288925.3	Delphinapterus leucas
HLdelLeu3	DNA Zoo Consortium	none	Delphinapterus leucas
HLdicBic1	NCBI	GCA_004027315.2	Diceros bicornis
HLdicSum1	NCBI	GCA_002844835.1	Dicerorhinus sumatrensis sumatrensis
HLdidVir1	DNA Zoo Consortium	none	Didelphis virginiana
HLdinBra1	NCBI	GCA_004027595.1	Dinomys branickii
HLdipSte1	NCBI	GCA_004024685.1	Dipodomys stephensi
HLdolPat1	NCBI	GCA_004027295.1	Dolichotis patagonum
HLdugDug1	NCBI	GCA_015147995.1	Dugong dugon
HLeidDup1	DNA Zoo Consortium	none	Eidolon dupreanum
HLeidHel2	DNAZoo	none	Eidolon helvum
HLelaDav1	NCBI	GCA_002443075.1	Elaphurus davidianus
HLeleMax1	DNA Zoo Consortium	none	Elephas maximus
HLellLut1	NCBI	GCA_001685075.1	Ellobius lutescens
HLellTal1	NCBI	GCA_001685095.1	Ellobius talpinus
HLeonSpe1	NCBI	GCA_003508835.1	Eonycteris spelaea
HLeptFus2	DNA Zoo Consortium	none	Eptesicus fuscus
HLequAsi1	NCBI	GCA_001305755.1	Equus asinus
HLequAsiAsi2	NCBI	GCA_003033725.1	Equus asinus asinus
HLequQua1	DNA Zoo Consortium	none	Equus burchellii quagga
HLequQuaBoe1	DNA Zoo Consortium	none	Equus burchellii boehmi
HLequZeb1	DNA Zoo Consortium	none	Equus zebra
HLereDor1	NCBI	GCA_006547115.1	Erethizon dorsatum
HLereDor2	DNA Zoo Consortium	none	Erethizon dorsatum
HLeriBar1	DNA Zoo Consortium	none	Erignathus barbatus
HLeryPat1	NCBI	GCA_004027335.1	Erythrocebus patas
HLescRob1	NCBI	GCA_004363415.1	Eschrichtius robustus
HLescRob2	DNA Zoo Consortium	none	Eschrichtius robustus
HLeubAus1	DNA Zoo Consortium	none	Eubalaena australis
HLeubGla1	DNA Zoo Consortium	none	Eubalaena glacialis
HLeubJap1	NCBI	GCA_004363455.1	Eubalaena japonica
HLeudTho1	NCBI	GCA_006408755.1	Eudorcas thomsonii
HLeulFla1	DNA Zoo Consortium	none	Eulemur flavifrons
HLeulFul1	NCBI	GCA_004027275.1	Eulemur fulvus
HLeulMon1	DNA Zoo Consortium	none	Eulemur mongoz
HLeumJub1	NCBI	GCA_004028035.1	Eumetopias jubatus
HLfelNig1	NCBI	GCA_004023925.1	Felis nigripes
HLfelNig2	DNA Zoo Consortium	none	Felis nigripes
HLfukDam2	NCBI	GCA_012274545.1	Fukomys damarensis
HLgalVar2	NCBI	GCA_004027255.2	Galeopterus variegatus
HLgirCam1	NCBI	GCA_006408565.1	Giraffa camelopardalis
