# obtained from: https://github.com/human-pangenomics/HPP_Year1_Assemblies/blob/main/sample_metadata/hprc_year1_assemblies_v2_sample_metadata.txt
# and: https://github.com/human-pangenomics/HPP_Year1_Assemblies/blob/main/genbank_changes/y1_genbank_assembly_accession_ids.txt
#
# Sample	Cohort	Sex	FamilyID	Subpopulation	Superpopulation	maternal	paternal	Superpopulation Notes
#
HG002	HPRC_PLUS	male	3140	PGP	-	GCA_018852615.1	GCA_018852605.1	Ashkenazim Jewish
HG00438	HPRC	female	SH012	CHS	EAS	GCA_018471515.1	GCA_018472595.1
HG005	HPRC_PLUS	male	3150	PGP	-	GCA_018506965.1	GCA_018506945.1	Chinese
HG00621	HPRC	male	SH066	CHS	EAS	GCA_018472605.1	GCA_018472575.1
HG00673	HPRC	male	SH079	CHS	EAS	GCA_018472565.1	GCA_018472585.1
HG00733	HPRC_PLUS	female	PR05	PUR	AMR	GCA_018506975.1	GCA_018506955.1
HG00735	HPRC	female	PR06	PUR	AMR	GCA_018472765.1	GCA_018472715.1
HG00741	HPRC	female	PR09	PUR	AMR	GCA_018471095.1	GCA_018471105.1
HG01071	HPRC	female	PR17	PUR	AMR	GCA_018472685.1	GCA_018472725.1
HG01106	HPRC	male	PR25	PUR	AMR	GCA_018471345.1	GCA_018471075.1
HG01109	HPRC_PLUS	male	PR33	PUR	AMR	GCA_018504365.1	GCA_018504645.1
HG01123	HPRC	female	CLM02	CLM	AMR	GCA_018469665.1	GCA_018469695.1
HG01175	HPRC	female	PR36	PUR	AMR	GCA_018471085.1	GCA_018471065.1
HG01243	HPRC_PLUS	male	PR22	PUR	AMR	GCA_018504375.1	GCA_018504045.1
HG01258	HPRC	male	CLM16	CLM	AMR	GCA_018469405.1	GCA_018469675.1
HG01358	HPRC	male	CLM31	CLM	AMR	GCA_018469865.1	GCA_018469965.1
HG01361	HPRC	female	CLM32	CLM	AMR	GCA_018469685.1	GCA_018469705.1
HG01891	HPRC	female	BB05	ACB	AFR	GCA_018467155.1	GCA_018467165.1
HG01928	HPRC	male	PEL011	PEL	AMR	GCA_018472695.1	GCA_018472705.1
HG01952	HPRC	male	PEL019	PEL	AMR	GCA_018471545.1	GCA_018471555.1
HG01978	HPRC	female	PEL26	PEL	AMR	GCA_018472865.1	GCA_018472845.1
HG02055	HPRC_PLUS	male	BB15	ACB	AFR	GCA_018506125.1	GCA_018505855.1
HG02080	HPRC_PLUS	female	VN068	KHV	EAS	GCA_018504085.1	GCA_018504055.1
HG02109	HPRC_PLUS	female	BB18	ACB	AFR	GCA_018505825.1	GCA_018505865.1
HG02145	HPRC_PLUS	male	BB20	ACB	AFR	GCA_018852585.1	GCA_018852595.1
HG02148	HPRC	female	PEL39	PEL	AMR	GCA_018471535.1	GCA_018471525.1
HG02257	HPRC	female	BB21	ACB	AFR	GCA_018466845.1	GCA_018466835.1
HG02486	HPRC	male	BB55	ACB	AFR	GCA_018467015.1	GCA_018467005.1
HG02559	HPRC	female	BB68	ACB	AFR	GCA_018466985.1	GCA_018466855.1
HG02572	HPRC	male	GB21	GWD	AFR	GCA_018470445.1	GCA_018470435.1
HG02622	HPRC	female	GB31	GWD	AFR	GCA_018469875.1	GCA_018469925.1
HG02630	HPRC	female	GB33	GWD	AFR	GCA_018469955.1	GCA_018469945.1
HG02717	HPRC	male	GB50	GWD	AFR	GCA_018469935.1	GCA_018470425.1
HG02723	HPRC_PLUS	female	GB52	GWD	AFR	GCA_018504065.1	GCA_018504075.1
HG02818	HPRC_PLUS	female	GB66	GWD	AFR	GCA_018503585.1	GCA_018503575.1
HG02886	HPRC	female	GB89	GWD	AFR	GCA_018470455.1	GCA_018470465.1
HG03098	HPRC_PLUS	male	SL16	MSL	AFR	GCA_018506165.1	GCA_018506155.1
HG03453	HPRC	female	SL50	MSL	AFR	GCA_018472855.1	GCA_018473305.1
HG03486	HPRC_PLUS	female	SL61	MSL	AFR	GCA_018503525.1	GCA_018503245.1
HG03492	HPRC_PLUS	male	PK43	PJL	SAS	GCA_018505845.1	GCA_018505835.1
HG03516	HPRC	female	NG107	ESN	AFR	GCA_018469425.1	GCA_018469415.1
HG03540	HPRC	female	GB125	GWD	AFR	GCA_018473295.1	GCA_018473315.1
HG03579	HPRC	male	SL72	MSL	AFR	GCA_018472825.1	GCA_018472835.1
NA18906	HPRC_PLUS	female	Y020	YRI	AFR	GCA_018503255.1	GCA_018503285.1
NA19240	HPRC_PLUS	female	Y117	YRI	AFR	GCA_018503275.1	GCA_018503265.1
NA20129	HPRC_PLUS	female	2433	ASW	AFR	GCA_018504635.1	GCA_018504625.1
NA21309	HPRC_PLUS	female	2565	HAPMAP	-	GCA_018504655.1	GCA_018504665.1	MAASAI IN KINYAWA, KENYA
