GCA_018466835.1	HG02257.1	GCA_018466835.1_HG02257.alt.pat.f1_v2
GCA_018466845.1	HG02257.2	GCA_018466845.1_HG02257.pri.mat.f1_v2
GCA_018466855.1	HG02559.1	GCA_018466855.1_HG02559.alt.pat.f1_v2
GCA_018466985.1	HG02559.2	GCA_018466985.1_HG02559.pri.mat.f1_v2
GCA_018467005.1	HG02486.1	GCA_018467005.1_HG02486.alt.pat.f1_v2
GCA_018467015.1	HG02486.2	GCA_018467015.1_HG02486.pri.mat.f1_v2
GCA_018467155.1	HG01891.2	GCA_018467155.1_HG01891.pri.mat.f1_v2
GCA_018467165.1	HG01891.1	GCA_018467165.1_HG01891.alt.pat.f1_v2
GCA_018469405.1	HG01258.2	GCA_018469405.1_HG01258.pri.mat.f1_v2
GCA_018469415.1	HG03516.1	GCA_018469415.1_HG03516.alt.pat.f1_v2
GCA_018469425.1	HG03516.2	GCA_018469425.1_HG03516.pri.mat.f1_v2
GCA_018469665.1	HG01123.2	GCA_018469665.1_HG01123.pri.mat.f1_v2.1
GCA_018469675.1	HG01258.1	GCA_018469675.1_HG01258.alt.pat.f1_v2
GCA_018469685.1	HG01361.2	GCA_018469685.1_HG01361.pri.mat.f1_v2
GCA_018469695.1	HG01123.1	GCA_018469695.1_HG01123.alt.pat.f1_v2.1
GCA_018469705.1	HG01361.1	GCA_018469705.1_HG01361.alt.pat.f1_v2
GCA_018469865.1	HG01358.2	GCA_018469865.1_HG01358.pri.mat.f1_v2.1
GCA_018469875.1	HG02622.2	GCA_018469875.1_HG02622.pri.mat.f1_v2
GCA_018469925.1	HG02622.1	GCA_018469925.1_HG02622.alt.pat.f1_v2
GCA_018469935.1	HG02717.2	GCA_018469935.1_HG02717.pri.mat.f1_v2
GCA_018469945.1	HG02630.1	GCA_018469945.1_HG02630.alt.pat.f1_v2
GCA_018469955.1	HG02630.2	GCA_018469955.1_HG02630.pri.mat.f1_v2
GCA_018469965.1	HG01358.1	GCA_018469965.1_HG01358.alt.pat.f1_v2.1
GCA_018470425.1	HG02717.1	GCA_018470425.1_HG02717.alt.pat.f1_v2
GCA_018470435.1	HG02572.1	GCA_018470435.1_HG02572.alt.pat.f1_v2
GCA_018470445.1	HG02572.2	GCA_018470445.1_HG02572.pri.mat.f1_v2
GCA_018470455.1	HG02886.2	GCA_018470455.1_HG02886.pri.mat.f1_v2
GCA_018470465.1	HG02886.1	GCA_018470465.1_HG02886.alt.pat.f1_v2
GCA_018471065.1	HG01175.1	GCA_018471065.1_HG01175.alt.pat.f1_v2
GCA_018471075.1	HG01106.1	GCA_018471075.1_HG01106.alt.pat.f1_v2
GCA_018471085.1	HG01175.2	GCA_018471085.1_HG01175.pri.mat.f1_v2
GCA_018471095.1	HG00741.2	GCA_018471095.1_HG00741.pri.mat.f1_v2
GCA_018471105.1	HG00741.1	GCA_018471105.1_HG00741.alt.pat.f1_v2
GCA_018471345.1	HG01106.2	GCA_018471345.1_HG01106.pri.mat.f1_v2
GCA_018471515.1	HG00438.2	GCA_018471515.1_HG00438.pri.mat.f1_v2
GCA_018471525.1	HG02148.1	GCA_018471525.1_HG02148.alt.pat.f1_v2
GCA_018471535.1	HG02148.2	GCA_018471535.1_HG02148.pri.mat.f1_v2
GCA_018471545.1	HG01952.2	GCA_018471545.1_HG01952.pri.mat.f1_v2
GCA_018471555.1	HG01952.1	GCA_018471555.1_HG01952.alt.pat.f1_v2
GCA_018472565.1	HG00673.2	GCA_018472565.1_HG00673.pri.mat.f1_v2
GCA_018472575.1	HG00621.1	GCA_018472575.1_HG00621.alt.pat.f1_v2
GCA_018472585.1	HG00673.1	GCA_018472585.1_HG00673.alt.pat.f1_v2
GCA_018472595.1	HG00438.1	GCA_018472595.1_HG00438.alt.pat.f1_v2
GCA_018472605.1	HG00621.2	GCA_018472605.1_HG00621.pri.mat.f1_v2
GCA_018472685.1	HG01071.2	GCA_018472685.1_HG01071.pri.mat.f1_v2
GCA_018472695.1	HG01928.2	GCA_018472695.1_HG01928.pri.mat.f1_v2
GCA_018472705.1	HG01928.1	GCA_018472705.1_HG01928.alt.pat.f1_v2
GCA_018472715.1	HG00735.1	GCA_018472715.1_HG00735.alt.pat.f1_v2
GCA_018472725.1	HG01071.1	GCA_018472725.1_HG01071.alt.pat.f1_v2
GCA_018472765.1	HG00735.2	GCA_018472765.1_HG00735.pri.mat.f1_v2
GCA_018472825.1	HG03579.2	GCA_018472825.1_HG03579.pri.mat.f1_v2
GCA_018472835.1	HG03579.1	GCA_018472835.1_HG03579.alt.pat.f1_v2
GCA_018472845.1	HG01978.1	GCA_018472845.1_HG01978.alt.pat.f1_v2
GCA_018472855.1	HG03453.2	GCA_018472855.1_HG03453.pri.mat.f1_v2
GCA_018472865.1	HG01978.2	GCA_018472865.1_HG01978.pri.mat.f1_v2
GCA_018473295.1	HG03540.2	GCA_018473295.1_HG03540.pri.mat.f1_v2
GCA_018473305.1	HG03453.1	GCA_018473305.1_HG03453.alt.pat.f1_v2
GCA_018473315.1	HG03540.1	GCA_018473315.1_HG03540.alt.pat.f1_v2
GCA_018503245.1	HG03486.1	GCA_018503245.1_HG03486.alt.pat.f1_v2
GCA_018503255.1	NA18906.2	GCA_018503255.1_NA18906.pri.mat.f1_v2
GCA_018503265.1	NA19240.1	GCA_018503265.1_NA19240.alt.pat.f1_v2
GCA_018503275.1	NA19240.2	GCA_018503275.1_NA19240.pri.mat.f1_v2
GCA_018503285.1	NA18906.1	GCA_018503285.1_NA18906.alt.pat.f1_v2
GCA_018503525.1	HG03486.2	GCA_018503525.1_HG03486.pri.mat.f1_v2
GCA_018503575.1	HG02818.1	GCA_018503575.1_HG02818.alt.pat.f1_v2
GCA_018503585.1	HG02818.2	GCA_018503585.1_HG02818.pri.mat.f1_v2
GCA_018504045.1	HG01243.1	GCA_018504045.1_HG01243.alt.pat.f1_v2
GCA_018504055.1	HG02080.1	GCA_018504055.1_HG02080.alt.pat.f1_v2
GCA_018504065.1	HG02723.2	GCA_018504065.1_HG02723.pri.mat.f1_v2
GCA_018504075.1	HG02723.1	GCA_018504075.1_HG02723.alt.pat.f1_v2
GCA_018504085.1	HG02080.2	GCA_018504085.1_HG02080.pri.mat.f1_v2
GCA_018504365.1	HG01109.2	GCA_018504365.1_HG01109.pri.mat.f1_v2
GCA_018504375.1	HG01243.2	GCA_018504375.1_HG01243.pri.mat.f1_v2
GCA_018504625.1	NA20129.1	GCA_018504625.1_NA20129.alt.pat.f1_v2
GCA_018504635.1	NA20129.2	GCA_018504635.1_NA20129.pri.mat.f1_v2
GCA_018504645.1	HG01109.1	GCA_018504645.1_HG01109.alt.pat.f1_v2
GCA_018504655.1	NA21309.2	GCA_018504655.1_NA21309.pri.mat.f1_v2
GCA_018504665.1	NA21309.1	GCA_018504665.1_NA21309.alt.pat.f1_v2
GCA_018505825.1	HG02109.2	GCA_018505825.1_HG02109.pri.mat.f1_v2
GCA_018505835.1	HG03492.1	GCA_018505835.1_HG03492.alt.pat.f1_v2
GCA_018505845.1	HG03492.2	GCA_018505845.1_HG03492.pri.mat.f1_v2
GCA_018505855.1	HG02055.1	GCA_018505855.1_HG02055.alt.pat.f1_v2
GCA_018505865.1	HG02109.1	GCA_018505865.1_HG02109.alt.pat.f1_v2
GCA_018506125.1	HG02055.2	GCA_018506125.1_HG02055.pri.mat.f1_v2
GCA_018506155.1	HG03098.1	GCA_018506155.1_HG03098.alt.pat.f1_v2
