GCA_044165215.1_HG00097_hap1_hprc_f2	human (HG00097 hap1 2024)
GCA_044164745.1_HG00097_hap2_hprc_f2	human (HG00097 hap2 2024)
GCA_042032525.1_HG00099_hap1_hprc_f2	human (HG00099 hap1 2024)
GCA_042031945.1_HG00099_hap2_hprc_f2	human (HG00099 hap2 2024)
GCA_042078065.1_HG00126_hap1_hprc_f2	human (HG00126 hap1 2024)
GCA_042077875.1_HG00126_hap2_hprc_f2	human (HG00126 hap2 2024)
GCA_042078025.1_HG00128_hap1_hprc_f2	human (HG00128 hap1 2024)
GCA_042077885.1_HG00128_hap2_hprc_f2	human (HG00128 hap2 2024)
GCA_042078005.1_HG00133_hap1_hprc_f2	human (HG00133 hap1 2024)
GCA_042077855.1_HG00133_hap2_hprc_f2	human (HG00133 hap2 2024)
GCA_042031265.1_HG00140_hap1_hprc_f2	human (HG00140 hap1 2024)
GCA_042030705.1_HG00140_hap2_hprc_f2	human (HG00140 hap2 2024)
GCA_042077995.1_HG00146_hap1_hprc_f2	human (HG00146 hap1 2024)
GCA_042078085.1_HG00146_hap2_hprc_f2	human (HG00146 hap2 2024)
GCA_042077985.1_HG00232_hap1_hprc_f2	human (HG00232 hap1 2024)
GCA_042077745.1_HG00232_hap2_hprc_f2	human (HG00232 hap2 2024)
GCA_044165645.1_HG00235_hap1_hprc_f2	human (HG00235 hap1 2024)
GCA_044165735.1_HG00235_hap2_hprc_f2	human (HG00235 hap2 2024)
GCA_044166805.1_HG00253_hap1_hprc_f2	human (HG00253 hap1 2024)
GCA_044166835.1_HG00253_hap2_hprc_f2	human (HG00253 hap2 2024)
GCA_044166515.1_HG00272_hap1_hprc_f2	human (HG00272 hap1 2024)
GCA_044166665.1_HG00272_hap2_hprc_f2	human (HG00272 hap2 2024)
GCA_042031275.1_HG00280_hap1_hprc_f2	human (HG00280 hap1 2024)
GCA_042030605.1_HG00280_hap2_hprc_f2	human (HG00280 hap2 2024)
GCA_042077965.1_HG00290_hap1_hprc_f2	human (HG00290 hap1 2024)
GCA_042077735.1_HG00290_hap2_hprc_f2	human (HG00290 hap2 2024)
GCA_042077865.1_HG00320_hap1_hprc_f2	human (HG00320 hap1 2024)
GCA_042077765.1_HG00320_hap2_hprc_f2	human (HG00320 hap2 2024)
GCA_042077015.1_HG00321_hap1_hprc_f2	human (HG00321 hap1 2024)
GCA_042076825.1_HG00321_hap2_hprc_f2	human (HG00321 hap2 2024)
GCA_042032465.1_HG00323_hap1_hprc_f2	human (HG00323 hap1 2024)
GCA_042031775.1_HG00323_hap2_hprc_f2	human (HG00323 hap2 2024)
GCA_044166575.1_HG00329_hap1_hprc_f2	human (HG00329 hap1 2024)
GCA_044166465.1_HG00329_hap2_hprc_f2	human (HG00329 hap2 2024)
GCA_044166765.1_HG00344_hap1_hprc_f2	human (HG00344 hap1 2024)
GCA_044166845.1_HG00344_hap2_hprc_f2	human (HG00344 hap2 2024)
GCA_044167235.1_HG00350_hap1_hprc_f2	human (HG00350 hap1 2024)
