GCF_000951035.1_Cang.pa_1.0	Angolan colobus
GCF_001698545.1_ASM169854v1	black snub-nosed monkey
GCF_000235385.1_SaiBol1.0	Bolivian squirrel monkey
GCF_002880755.1_Clint_PTRv2	chimpanzee
GCF_000956105.1_Pcoq_1.0	Coquerel's sifaka
GCF_000364345.1_Macaca_fascicularis_5.0	crab-eating macaque
GCF_000951045.1_Mleu.le_1.0	drill
GCF_009764315.1_Tfra_2.0	Francois's langur
GCF_003255815.1_Tgel_1.0	gelada
GCF_007565055.1_ASM756505v1	golden snub-nosed monkey
GCF_000165445.2_Mmur_3.0	gray mouse lemur
GCF_000409795.2_Chlorocebus_sabeus_1.1	green monkey 1994-021
GCF_015252025.1_Vero_WHO_p1.0	green monkey WHO RCB 10-87
GCF_000001405.39_GRCh38.p13	human
GCF_000952055.2_Anan_2.0	Ma's night monkey
GCF_006542625.1_Asia_NLE_v1	northern white-cheeked gibbon
GCF_008728515.1_Panubis1.0	olive baboon
GCF_001604975.1_Cebus_imitator-1.0	Panamanian white-faced capuchin
GCF_000164805.1_Tarsius_syrichta-2.0.1	Philippine tarsier
GCF_000956065.1_Mnem_1.0	pig-tailed macaque
GCF_000258655.2_panpan1.1	pygmy chimpanzee
GCF_003339765.1_Mmul_10	Rhesus monkey
GCF_009828535.2_HMol_V2	silvery gibbon
GCF_000181295.1_OtoGar3	small-eared galago
GCF_000955945.1_Caty_1.0	sooty mangabey
GCF_002880775.1_Susie_PABv2	Sumatran orangutan
GCF_009761245.1_GSC_monkey_1.0	tufted capuchin
GCF_002776525.3_ASM277652v3	Ugandan red Colobus
GCF_008122165.1_Kamilah_GGO_v0	western lowland gorilla
GCF_009663435.1_Callithrix_jacchus_cj1700_1.1	white-tufted-ear marmoset
