GCF_003597395.1_ASM359739v1	Abingdon island giant tortoise (Lonesome George 2018)
GCF_003597395.2_CheloAbing_2.0	Abingdon island giant tortoise (Lonesome George 2025)
GCA_964194415.1_rVipBer3.hap1.1	adder (hap1 2024)
GCA_964194405.1_rVipBer3.hap2.1	adder (hap2 2024)
GCA_027172095.1_rPodRaf1.alt	Aeolian wall lizard (La Canna islet alternate hap 2022)
GCF_027172205.1_rPodRaf1.pri	Aeolian wall lizard (La Canna islet primary hap 2022 refseq)
GCA_004786255.1_Pads_1.0	African bullfrog (1538 2019)
GCF_032062135.1_UCB_Pads_2.0	African bullfrog (2023)
GCF_017654675.1_Xenopus_laevis_v10.1	African clawed frog (2021)
GCF_030867095.1_rAllMis1	American alligator (2023 refseq)
GCF_000281125.3_ASM28112v4	American alligator (KSC_2009_1 2016)
GCA_037953035.1_aLitCat1_p1.0	American bullfrog (primary hap 2024)
GCF_018555375.3_ASM1855537v3	American eel (EN2019 2024)
GCF_028640845.1_ASM2864084v1	Asian vine snake (Xishuangbanna 2023)
GCF_014858855.1_ASM1485885v1	Asiatic toad (SCDJY-AF-19 2020)
GCF_040869285.1_UKY_Mglu_1.0	Atlantic hagfish (MG_SS 2024)
GCA_964187855.1_kmMyxGlut1.1	Atlantic hagfish (primary hap 2024)
GCA_965140285.1_rLepKem1.hap1	Atlantic ridley (rLepKem1 hap1 2025)
GCF_965140265.1_rLepKem1.hap2	Atlantic ridley (rLepKem1 hap2 2025 refseq)
GCF_030144855.1_sHypSab1.hap1	Atlantic stingray (hap1 2023 refseq)
GCA_030144785.1_sHypSab1.hap2	Atlantic stingray (hap2 2023)
GCF_001723895.1_CroPor_comp1	Australian saltwater crocodile
GCA_002915635.3_AmbMex60DD	axolotl (DD151 2021)
GCF_040938575.1_UKY_AmexF1_1	axolotl (Mex_15411 2024)
GCA_964194155.1_sCetMax3.hap1.1	basking shark (sCetMax3.hap1.1 2024)
GCA_964194165.1_sCetMax3.hap2.1	basking shark (sCetMax3.hap2.1 2024)
GCA_040894355.2_rMyuGeo1.pri	Bellinger river turtle (v2 BRST_UC0152H_USYD 2025)
GCA_036884735.1_HHUS_1.1	beluga (Lower Danube River Hh-F2 2024)
GCA_026167975.1_rPhrBla1.0.hap2	Blainville's horned lizard (alternate hap 2022)
GCA_026167985.1_rPhrBla1.0.hap1	Blainville's horned lizard (primary hap 2022)
GCA_963514005.1_sRajBra1.1	blonde ray (primary hap 2023)
GCF_025583915.1_AnoSag2.1	brown anole (Geneva1000 2022 refseq)
GCA_037176765.1_rAnoSag1.mat	brown anole (maternal hap 2024 genbank)
GCF_037176765.1_rAnoSag1.mat	Brown anole (maternal hap 2024 refseq)
GCA_037176775.1_rAnoSag1.pat	Brown anole (rAnoSag1 2024)
GCA_027560395.1_ASM2756039v1	brown house snake (FMNH 251328 2023)
GCF_001527695.2_P.Mucros_1.0	brown spotted pit viper
GCF_047496795.1_sChiPun1.3	brownbanded bambooshark (Juve2018m 2025)
GCF_000186305.1_Python_molurus_bivittatus-5.0.2	Burmese python
GCA_022578425.1_rAriEle1.0.a	California glossy snake (A.elegans occidentalis HBS 135684 alternate hap 2022)
GCA_022577455.1_rAriEle1.0.p	California glossy snake (A.elegans occidentalis HBS 135684 primary hap 2022)
GCF_036971445.1_sNarBan1.hap1	Caribbean electric ray (hap1 2024 refseq)
GCA_036971175.1_sNarBan1.hap2	Caribbean electric ray (hap2 2024)
GCF_900067755.1_pvi1.1	central bearded dragon (2017)
GCF_047335585.1_Pvi2.1	central bearded dragon (2025)
GCF_000455745.1_ASM45574v1	Chinese alligator
GCA_021292165.1_IOZ_Scro_1.0	Chinese crocodile lizard (Guangxi GXDGS128 2021)
GCF_000230535.1_PelSin_1.0	Chinese soft-shelled turtle (Daiwa-1 2012)
GCF_049634645.1_ASM4963464v1	Chinese soft-shelled turtle (JC-2024 2025)
GCF_047496885.1_sScyTor2.1	cloudy catshark (Kashiwa2021f 2025)
GCF_000225785.1_LatCha1	coelacanth
GCF_037176945.1_fLatCha1.pri	coelacanth (fLatCha1 primary hap 2024)
GCA_965112155.1_rPodLio1.hap1.1	Columbretes wall lizard (hap1.1 2025)
GCA_965178375.1_rPodLio1.hap2.1	Columbretes wall lizard (hap2.1 2025)
GCA_035046495.1_rTilSci1.hap1	common blue-tongued skink (hap1 2024)
GCA_035046505.1_rTilSci1.hap2	common blue-tongued skink (hap2 2024)
GCA_905171725.1_aRanTem1.1_alternate_haplotype	common frog (alternate hap 2021)
GCF_001077635.1_Thamnophis_sirtalis-6.0	common garter snake
GCF_963506605.1_rZooViv1.1	common lizard Z.vivipara (primary hap 2023)
GCA_965207765.1_rZooViv2.hap1.1	common lizard Z.vivipara (hap1.1 2025)
GCA_965208345.1_rZooViv2.hap2.1	common lizard Z.vivipara (hap2.1 2025)
GCA_964263255.1_aLisVul1.1	common newt (primary hap 2024)
GCA_036172605.1_aPelFus1.pri	common spadefoot toad (primary hap 2024 genbank)
GCF_036172605.1_aPelFus1.pri	common spadefoot toad (primary hap 2024 refseq)
GCA_905171715.1_aBufBuf1.1_alternate_haplotype	common toad (alternate hap 2021)
GCF_905171765.1_aBufBuf1.1	common toad (primary hap 2021)
GCA_964188315.1_rPodMur119.hap1.1	common wall lizard (hap1 2024)
GCA_964188365.1_rPodMur119.hap2.1	common wall lizard (hap2 2024)
