GCA_000001405.15	Homo sapiens	human/GRCh38/hg38	mammals-euarchontoglires
GCA_000001635.9	Mus musculus	mouse/GRCm38/mm39	mammals-euarchontoglires
GCA_003287225.2	Phascolarctos cinereus	koala	mammals-other
GCA_005190385.3	Monodon monoceros	narwhal	mammals-laurasiatheria
GCA_008658365.1	Alca Torda	razorbill	birds-waterbirds
GCA_009764595.1	Geothlypis trichas	common yellowthroat	birds-landbirds
GCA_009769465.1	Tauraco erythrolophus	red-crested turaco	birds-other
GCA_009769525.1	Pterocles gutturalis	yellow-throated sandgrouse	birds-other
GCA_009769605.1	Bucorvus abyssinicus	Abyssinian ground hornbill	birds-landbirds
GCA_009819595.1	Merops nubicus	carmine bee-eater	birds-landbirds
GCA_009819605.1	Sterna hirundo	common tern	birds-waterbirds
GCA_009819775.1	Phoenicopterus ruber	American flamingo	birds-other
GCA_009819825.1	Cariama cristata	red-legged seriema	birds-landbirds
GCA_009914755.4	Homo sapiens	human/CHM13-T2T/hs1	mammals-euarchontoglires
GCA_011004875.1	Balearica regulorum gibbericeps	grey crowned-crane	birds-waterbirds
GCA_011762505.3	Arvicanthis niloticus	Nile rat	mammals-euarchontoglires
GCA_013358685.1	Antennarius maculatus	warty frogfish	fishes-ray-finned
GCA_014706295.1	Lycocorax pyrrhopterus obiensis	Obi paradise-crow	birds-landbirds
GCA_014839685.1	Anableps anableps	largescale four-eyes	fishes-ray-finned
GCA_014839755.1	Sylvia borin	garden warbler	birds-landbirds
GCA_014839995.1	Xenentodon cancila	needlefish	fishes-ray-finned
GCA_015852565.1	Branchiostoma floridae	Florida amphioxus	invertebrates
GCA_016904835.1	Acanthisitta chloris	rifleman	birds-other
GCA_017639485.1	Pluvialis apricaria	European golden plover	birds-waterbirds
GCA_017639555.1	Ciconia maguari	Maguari stork	birds-waterbirds
GCA_017639675.1	Aplochiton taeniatus	peladilla	fishes-ray-finned
GCA_019207075.1	Branchiostoma belcheri	belcher's lancelet	invertebrates
GCA_019677235.1	Micropterus salmoides	large-mouth bass	fishes-ray-finned
GCA_020510985.1	Pholidichthys leucotaenia	convict blenny	fishes-ray-finned
