GCA_009769605.1_bBucAby1.pri	Abyssinian ground-hornbill (primary hap 2019)
GCA_043250625.1_fSebFas1.pri	Acadian redfish (fSebFas1 primary hap 2024)
GCA_964194415.1_rVipBer3.hap1.1	adder (hap1 2024)
GCF_027172205.1_rPodRaf1.pri	Aeolian wall lizard (La Canna islet primary hap 2022 refseq)
GCA_011762505.3_mArvNil1.pat.X	African grass rat (v3 paternal hap 2024)
GCA_040955705.1_LycPic1.final.hap2	African hunting dog (LycPic1hap2 2024)
GCF_040807025.1_bStrCam1.hap1	African ostrich (bStrCam1hap1 2024)
GCF_030014295.1_mLoxAfr1.hap2	African savanna elephant (hap2 2023 refseq)
GCA_031001765.1_BBF_mMolAlv_v1	Alvarez's mastiff bat (A012 2023)
GCA_037157525.1_mMolAlv2.hap1	Alvarez's mastiff bat (hap1 2024)
GCA_046562895.1_mTriInu1_haplotype_2	Amazon manatee (hap2 2025)
GCF_030867095.1_rAllMis1	American alligator (2023 refseq)
GCA_047511655.1_mCasCan1.hap1	American beaver (hap1 2025)
GCA_009819775.1_bPhoRub2.pri	American flamingo (primary hap 2019)
GCA_964106545.1_mNeoVis2.hap1.1	American mink (hap1 2024)
GCF_030435755.1_mOchPri1.hap1	American pika (hap1 2023)
GCF_018492685.1_fAloSap1.pri	American shad (primary hap 2021)
GCA_035083965.1_klBraLanc5.hap2	amphioxus (hap2 2024 genbank)
GCF_030014385.1_fTriRos1.hap1	Andian cavefish (hap1 2023 refseq)
GCA_043748645.1_ASM4374864v1	Angolan free-tailed bat (Cote d'Ivoire 20210831_DDa 2024)
GCF_003957555.1_bCalAnn1_v1.p	Anna's hummingbird (BGI_N300 2019 refseq)
GCA_963971535.1_fNotCoa1.1	Antarctic jonasfish (primary hap 2024)
GCA_951216825.1_fEleAnt2.1	Antarctic lanternfish (primary hap 2023)
GCF_036321535.1_mCamDro1.pat	Arabian camel (paternal hap 2024 refseq)
GCA_036784965.1_fSalAlp2_p1.0	Arctic char (CBP00131 primary hap 2024)
GCA_045843805.1_mUroPar1.hap1	Arctic ground squirrel (hap1 2024)
GCA_946808225.1_fSilAri3.1	Aristotle's catfish (primary hap 2022)
GCF_900964775.1_fSclFor1.1	Asian bonytongue (2019)
GCF_024166365.1_mEleMax1_primary_haplotype	Asiatic elephant (mEleMax1 primary hap 2022)
GCA_031878705.1_mTapInd1.hap2	Asiatic tapir (hap2 2023)
GCF_963924715.1_fThuThy2.1	Atlantic bluefin tuna (primary hap 2024 refseq)
GCF_902167405.1_gadMor3.0	Atlantic cod (2019)
GCA_964187855.1_kmMyxGlut1.1	Atlantic hagfish (primary hap 2024)
GCF_009819705.1_fHipHip1.pri	Atlantic halibut (2019 refseq)
GCA_905171665.2_fTraTra1.2	Atlantic horse mackerel (primary hap 2021)
GCF_963691925.1_fScoSco1.1	Atlantic mackerel (primary hap 2023 refseq)
GCA_965140285.1_rLepKem1.hap1	Atlantic ridley (rLepKem1 hap1 2025)
GCA_048628825.1_ASM4862882v1	Atlantic silverside (fMenMen1 hap1 2025)
GCF_030144855.1_sHypSab1.hap1	Atlantic stingray (hap1 2023 refseq)
GCA_964270905.1_mLagAcu1.hap1.1	Atlantic white-sided dolphin (mLagAcu1.hap1.1 2024)
GCF_015852505.1_mTacAcu1.pri	Australian echidna (mTacAcu1 primary hap 2020)
GCA_042242135.1_fArrGeo1.hap2	Australian ruff (RE-2024a hap2 2024)
GCF_040938575.1_UKY_AmexF1_1	axolotl (Mex_15411 2024)
GCF_963930695.1_fLabBer1.1	ballan wrasse (primary hap 2024 refseq)
GCF_037038585.1_bPatFas1.hap1	band-tailed pigeon (hap1 2025)
GCF_036971685.1_bPatFas1.hap2	band-tailed pigeon (v1 hap2 2024 refseq)
GCF_017976425.1_fToxJac2.pri	banded archerfish (primary hap 2021 refseq)
GCA_037039145.1_fFunDia1.hap1	banded killifish (hap1 2024)
GCA_936440315.1_fBarBab1.1	barbel (primary hap 2022)
GCF_015227805.2_bHirRus1.pri.v3	barn swallow (v3 primary hap 2021 refseq)
GCA_964194155.1_sCetMax3.hap1.1	basking shark (sCetMax3.hap1.1 2024)
GCA_047511565.1_fPolLow2.hap1	beardfish (hap1 2025)
GCA_040894355.2_rMyuGeo1.pri	Bellinger river turtle (v2 BRST_UC0152H_USYD 2025)
GCA_048537225.1_ASM4853722v1	Bermuda beardfish (OG660 hap1 2025)
GCF_027574615.1_DD_ASM_mEF_20220401	big brown bat (TK198812 2023)
GCF_042477335.2_ARS-UI_OviCan_v2	bighorn sheep (v2 Bighorn MfBH-ARS-UI-01 2024)
GCA_048128805.1_fCenGer3.hap1.cur.20231027	bight redfish (hap1 2025)
GCA_037893015.1_bilby.v1.9.chrom.fasta	bilby (mMagLag1 2024)
GCA_039906565.1_bAegAlb1.hap1	bird A.albertisi (hap1 2024)
GCA_039878825.1_bCotChi1.hap2	bird E.chinensis (hap2 2024)
GCA_043290085.1_mRhyPet1.hap1	black and rufous elephant shrew (mRhyPet1hap1 2024)
GCA_951799975.1_fGobNig1.1	black goby (primary hap 2023)
GCA_041753875.1_ASM4175387v1	black porgy (SG-2024 2024)
GCF_020826845.1_mDicBic1.mat.cur	black rhinoceros (primary hap 2021 refseq)
GCF_030490865.1_bPoeAtr1.hap1	black-capped chickadee (hap1 2023)
GCF_963924245.1_bChrRid1.1	black-headed gull (primary hap 2024 refseq)
GCF_028500815.1_bRisTri1.patW.cur.20221130	black-legged kittiwake (bRisTri1 2023 refseq)
GCA_028022725.1_fLycPai1.hap2	blackbelly eelpout (fLycPai1 haplotype 2 2023)
