GCA_011750645.1_mArvNil1.mat	African grass rat (maternal 2020)
GCF_011762505.1_mArvNil1.pat.X	African grass rat (paternal X 2020)
GCA_011762545.1_mArvNil1.pat	African grass rat (paternal 2020)
GCA_012275265.1_bMelUnd1.mat	budgerigar (maternal)
GCA_012275275.1_bMelUnd1.pat	budgerigar (paternal)
GCF_012275295.1_bMelUnd1.mat.Z	budgerigar (paternal Z)
GCA_011762515.1_mTurTru1.pat	common bottlenose dolphin (paternal 2020)
GCA_011762535.1_mTurTru1.mat	common bottlenose dolphin (maternal 2020)
GCF_011762595.1_mTurTru1.mat.Y	common bottlenose dolphin (maternal Y refseq 2020)
GCA_902713425.1_fAciRut3.1_maternal_haplotype	sterlet (maternal 2020)
GCA_902713435.2_fAciRut3.2_paternal_haplotype	sterlet (paternal 2022)
GCA_011078405.1_mCalJac1.mat	white-tufted-ear marmoset (maternal 2020)
GCA_011100535.2_mCalJac1.2.pat	white-tufted-ear marmoset (v2 paternal 2021)
GCA_011100555.1_mCalJac1.pat.X	white-tufted-ear marmoset (paternal X 2020)
GCA_008822115.3_bTaeGut2.mat.v3	zebra finch (maternal)
GCA_008822125.1_bTaeGut2pat	zebra finch (paternal)
GCF_008822105.2_bTaeGut2.pat.W.v2	zebra finch (paternal W)
