GCA_003957555.2_bCalAnn1_v1.p	Anna's hummingbird
GCA_003957565.2_bTaeGut1_v1.p	zebra finch
GCA_004027225.2_bStrHab1.2.pri	Kakapo
GCF_004027225.2_bStrHab1.2.pri	Kakapo
GCA_004115215.3_mOrnAna1.pri.v3	platypus (Pmale09 v3 2020)
GCA_004115265.2_mRhiFer1_v1.p	greater horseshoe bat
GCA_007364275.2_fArcCen1	flier cichlid
GCA_008822115.3_bTaeGut2.mat.v3	zebra finch
GCA_009859065.2_bTaeGut2.pri.v2	zebra finch
GCA_010909765.1_sAmbRad1.pri	thorny skate
GCF_010909765.1_sAmbRad1.pri	thorny skate
GCA_900324465.2_fAnaTes1.2	climbing perch
GCF_900324465.2_fAnaTes1.2	climbing perch
GCA_900634415.1_fCotGob3.1	channel bull blenny
GCF_900634415.1_fCotGob3.1	channel bull blenny
GCA_900634775.1_fGouWil2.1	blunt-snouted clingfish
GCF_900634775.1_fGouWil2.1	blunt-snouted clingfish
