GCA_004365145.1_OryAfe_v1_BIUU	aardvark
GCA_000001905.1_Loxafr3.0	African savanna elephant
GCA_001887905.1_LycPicSAfr1.0	African hunting dog
GCA_000767525.1_Vi_pacos_V1.0	alpaca
GCF_001458135.1_marMar2.1	Alpine marmot (2015)
GCA_000292845.1_OchPri3.0	American pika
GCA_000754665.1_Bison_UMD1.0	American bison
GCA_004027675.1_CasCan_v1_BIUU	American beaver
GCA_000464555.1_PanTig1.0	Amur tiger
GCF_000951035.1_Cang.pa_1.0	Angolan colobus
GCA_000978805.1_ASM97880v1	Antarctic minke whale
GCA_004026545.1_MorMeg_v1_BIUU	Antillean ghost-faced bat
GCA_002201775.1_ALER1.0	aoudad
GCA_000767585.1_PRJNA234474_Ca_dromedarius_V1.0	Arabian camel
GCA_004023825.1_VulLag_v1_BIUU	Arctic fox
GCA_004024585.1_ParHer_v1_BIUU	Asian palm civet
GCA_004024905.1_TapInd_v1_BIUU	Asiatic tapir
GCA_001305755.1_ASM130575v1	ass
GCA_004027145.1_DauMad_v1_BIUU	aye-aye
GCA_000767855.1_Ca_bactrianus_MBC_1.0	Bactrian camel
GCA_004023785.1_MunMun_v1_BIUU	banded mongoose
GCA_002288925.2_ASM228892v2	beluga whale
GCF_000308155.1_EptFus1.0	big brown bat
GCA_004026945.1_OviCan_v1_BIUU	bighorn sheep
GCA_001698545.1_ASM169854v1	black snub-nosed monkey
GCA_004027315.1_DicBicMic_v1_BIUU	black rhinoceros
GCF_000325575.1_ASM32557v1	black flying-fox
GCA_004023925.1_FelNig_v1_BIUU	black-footed cat
GCA_004024785.1_AteGeo_v1_BIUU	black-handed spider monkey
GCA_004027715.1_CalDon_v1_BIUU	Bolivian titi
GCA_004363515.1_IniGeo_v1_BIUU	boutu
GCF_000412655.1_ASM41265v1	Brandt's bat
GCA_004025005.1_TadBra_v1_BIUU	Brazilian free-tailed bat
GCA_004025025.1_TapTer_v1_BIUU	Brazilian tapir
GCA_000688575.1_CavAp1.0	Brazilian guinea pig
GCA_004027275.1_EulFul_v1_BIUU	brown lemur
GCA_004024565.1_ZalCal_v1_BIUU	California sea lion
GCA_004027415.1_HipGal_v1_BIUU	Cantor's roundleaf bat
GCA_004026925.1_ProCapCap_v1_BIUU	cape rock hyrax
GCA_004027935.1_ChrAsi_v1_BIUU	cape golden mole
GCF_000299155.1_EleEdw1.0	cape elephant shrew
GCA_004027455.1_HydHyd_v1_BIUU	capybara
felCat8	cat
GCA_000003205.6_Btau_5.0.1	cattle
GCA_004024745.1_CatWag_v1_BIUU	Chacoan peccary
GCA_001443585.1_aciJub1	cheetah
GCA_002880755.3_Clint_PTRv2	chimpanzee
GCF_000276665.1_ChiLan1.0	chinchilla
GCA_000738955.1_M_pentadactyla-1.1.1	Chinese pangolin
GCA_001888835.1_ASM188883v1	Chinese rufous horseshoe bat
GCA_900186095.1_CHOK1S_HZDv1	Chinese hamster
GCF_000334495.1_TupChi_1.0	Chinese tree shrew
GCA_000400835.1_PHO1.0	chiru
GCA_001922835.1_NIST_Tur_tru_v1	common bottlenose dolphin
GCA_002940915.2_ASM294091v2	common vampire bat
GCA_004026625.1_PipPip_v1_BIUU	common pipistrelle
GCA_000956105.1_Pcoq_1.0	Coquerel's sifaka
GCA_004024645.1_MizCoq_v1_BIUU	Coquerel's mouse lemur
GCA_000364345.1_Macaca_fascicularis_5.0	crab-eating macaque
