0	Whole Blood	N7MS	GTEX-N7MS-0007-SM-2D7W1
1	Cells - Transformed fibroblasts	N7MS	GTEX-N7MS-0008-SM-4E3JI
2	Brain - Frontal Cortex (BA9)	N7MS	GTEX-N7MS-0011-R10A-SM-2HMJK
3	Brain - Cerebellar Hemisphere	N7MS	GTEX-N7MS-0011-R11A-SM-2HMJS
4	Brain - Hippocampus	N7MS	GTEX-N7MS-0011-R1a-SM-2HMJG
5	Brain - Substantia nigra	N7MS	GTEX-N7MS-0011-R2a-SM-2HML6
6	Brain - Anterior cingulate cortex (BA24)	N7MS	GTEX-N7MS-0011-R3a-SM-33HC6
7	Brain - Amygdala	N7MS	GTEX-N7MS-0011-R4a-SM-2HMKW
8	Brain - Caudate (basal ganglia)	N7MS	GTEX-N7MS-0011-R5a-SM-2HMK8
9	Brain - Nucleus accumbens (basal ganglia)	N7MS	GTEX-N7MS-0011-R6a-SM-2HMJ4
10	Brain - Putamen (basal ganglia)	N7MS	GTEX-N7MS-0011-R7a-SM-2HMKN
11	Brain - Hypothalamus	N7MS	GTEX-N7MS-0011-R8a-SM-2YUMK
12	Testis	N7MS	GTEX-N7MS-0126-SM-3TW8O
13	Skin - Sun Exposed (Lower leg)	N7MS	GTEX-N7MS-0225-SM-4E3HO
14	Adipose - Subcutaneous	N7MS	GTEX-N7MS-0326-SM-4E3K2
15	Muscle - Skeletal	N7MS	GTEX-N7MS-0426-SM-2YUN6
16	Nerve - Tibial	N7MS	GTEX-N7MS-0526-SM-4E3JP
17	Artery - Tibial	N7MS	GTEX-N7MS-0626-SM-2YUN7
18	Heart - Left Ventricle	N7MS	GTEX-N7MS-0826-SM-2HML4
19	Lung	N7MS	GTEX-N7MS-0926-SM-2HMIZ
20	Kidney - Cortex	N7MS	GTEX-N7MS-1626-SM-3LK5F
21	Thyroid	N7MS	GTEX-N7MS-2326-SM-2HMLD
22	Brain - Cerebellum	N7MS	GTEX-N7MS-2526-SM-2D7W3
23	Pituitary	N7MS	GTEX-N7MS-2625-SM-3LK77
24	Whole Blood	N7MT	GTEX-N7MT-0007-SM-3GACQ
25	Brain - Frontal Cortex (BA9)	N7MT	GTEX-N7MT-0011-R10A-SM-2I3E1
26	Brain - Substantia nigra	N7MT	GTEX-N7MT-0011-R2a-SM-2I3GI
27	Brain - Anterior cingulate cortex (BA24)	N7MT	GTEX-N7MT-0011-R3a-SM-2I3GC
28	Brain - Amygdala	N7MT	GTEX-N7MT-0011-R4a-SM-2I3G9
29	Brain - Caudate (basal ganglia)	N7MT	GTEX-N7MT-0011-R5a-SM-2I3G6
30	Brain - Nucleus accumbens (basal ganglia)	N7MT	GTEX-N7MT-0011-R6a-SM-2I3G3
31	Brain - Putamen (basal ganglia)	N7MT	GTEX-N7MT-0011-R7a-SM-2I3FZ
32	Brain - Hypothalamus	N7MT	GTEX-N7MT-0011-R8a-SM-2I5GU
33	Lung	N7MT	GTEX-N7MT-0126-SM-2D7VT
34	Esophagus - Mucosa	N7MT	GTEX-N7MT-0326-SM-48TDP
35	Uterus	N7MT	GTEX-N7MT-0726-SM-3TW8S
36	Pituitary	N7MT	GTEX-N7MT-1026-SM-3TW8T
37	Brain - Cerebellum	N7MT	GTEX-N7MT-1226-SM-2D7W4
38	Artery - Aorta	N7MT	GTEX-N7MT-1426-SM-3LK5M
39	Vagina	N7MT	GTEX-N7MT-1926-SM-3LK5N
40	Whole Blood	NFK9	GTEX-NFK9-0006-SM-3GACS
41	Cells - Transformed fibroblasts	NFK9	GTEX-NFK9-0008-SM-4E3JE
42	Testis	NFK9	GTEX-NFK9-0126-SM-3LK5H
43	Skin - Sun Exposed (Lower leg)	NFK9	GTEX-NFK9-0226-SM-2HMKQ
44	Adipose - Subcutaneous	NFK9	GTEX-NFK9-0326-SM-3MJGV
45	Nerve - Tibial	NFK9	GTEX-NFK9-0426-SM-2YUNK
46	Artery - Tibial	NFK9	GTEX-NFK9-0526-SM-2YUNL
47	Muscle - Skeletal	NFK9	GTEX-NFK9-0626-SM-2HMIV
48	Thyroid	NFK9	GTEX-NFK9-0726-SM-2HMJW
49	Heart - Left Ventricle	NFK9	GTEX-NFK9-0926-SM-2HMJU
50	Lung	NFK9	GTEX-NFK9-1026-SM-2HMK1
51	Esophagus - Mucosa	NFK9	GTEX-NFK9-1126-SM-3LK78
52	Esophagus - Muscularis	NFK9	GTEX-NFK9-1226-SM-3LK79
53	Artery - Aorta	NFK9	GTEX-NFK9-1326-SM-3LK5I
54	Stomach	NFK9	GTEX-NFK9-1526-SM-3LK7B
55	Pancreas	NFK9	GTEX-NFK9-1626-SM-3LK5J
56	Adrenal Gland	NFK9	GTEX-NFK9-1726-SM-3TW8P
57	Colon - Transverse	NFK9	GTEX-NFK9-2026-SM-3LK5K
58	Prostate	NFK9	GTEX-NFK9-2226-SM-3MJGP
59	Cells - Transformed fibroblasts	NL3G	GTEX-NL3G-0008-SM-4E3JX
60	Whole Blood	NL3H	GTEX-NL3H-0006-SM-2I3FW
61	Cells - Transformed fibroblasts	NL3H	GTEX-NL3H-0008-SM-4E3HU
62	Brain - Frontal Cortex (BA9)	NL3H	GTEX-NL3H-0011-R10A-SM-2I3E9
63	Brain - Cerebellar Hemisphere	NL3H	GTEX-NL3H-0011-R11A-SM-2I3E6
64	Brain - Hippocampus	NL3H	GTEX-NL3H-0011-R1a-SM-48TDJ
65	Brain - Substantia nigra	NL3H	GTEX-NL3H-0011-R2a-SM-2I3GG
66	Brain - Anterior cingulate cortex (BA24)	NL3H	GTEX-NL3H-0011-R3a-SM-2I3GL
67	Brain - Amygdala	NL3H	GTEX-NL3H-0011-R4a-SM-2I3GK
68	Brain - Caudate (basal ganglia)	NL3H	GTEX-NL3H-0011-R5a-SM-2I3GB
69	Brain - Nucleus accumbens (basal ganglia)	NL3H	GTEX-NL3H-0011-R6a-SM-2I3G8
70	Brain - Putamen (basal ganglia)	NL3H	GTEX-NL3H-0011-R7a-SM-2I3G5
71	Whole Blood	NL4W	GTEX-NL4W-0006-SM-2I3GH
72	Cells - Transformed fibroblasts	NL4W	GTEX-NL4W-0008-SM-4E3I2
73	Brain - Frontal Cortex (BA9)	NL4W	GTEX-NL4W-0011-R10A-SM-2I3DY
74	Brain - Cerebellar Hemisphere	NL4W	GTEX-NL4W-0011-R11A-SM-2I3DW
75	Brain - Substantia nigra	NL4W	GTEX-NL4W-0011-R2a-SM-2I5GV
