SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMTSISCH	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-N7MS-0007-SM-26GME		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011			Tech Dev																																													
GTEX-N7MS-0007-SM-26GMV		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011			Tech Dev																																													
GTEX-N7MS-0007-SM-2D43E		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011	GTEx_96Affy3_Oct2011	11/24/2011	Affymetrix Expression																																													
GTEX-N7MS-0007-SM-2D7W1		C1		8.2	Blood	Whole Blood	16-19 hours	BP-16653	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2011	LCSET-1010_1	10/30/2011	TrueSeq.v1	0.8102064	18627	0.9571045	723	0.8227025	0.86101073	0.27185673	19685	0.43649665	0.71126056	101	51.878662	0.0021608602	153	14823141	59438164	0.042724434	3000147	72247454	7291268	0.59769934	120338	28579659	56688	0.03524091	0	0.09609382	0.3591069	0.70835567	25944560	0.0027595344	12815469	17723089	13532841	198	13705136	18432744	0.0024556506	13447728	49.526005	0.04152599	0.83519864	840	0.5635033	51.361324
GTEX-N7MS-0008-SM-4E3JI		C1		10	Skin	Cells - Transformed fibroblasts		BP-37581	RNA isolation_Trizol Manual (Cell Pellet)	04/04/2013	LCSET-3416	07/12/2013	TrueSeq.v1	0.92720455	171247	0.9701972	796	0.9377668	0.91156435	0.31185204	22434	0.77316505	0.6424574	76	84.763245	0.0056022294	236	81688981	83155215	0.029528322	2517888	88673662	9792618	0.59760135	133822	40334738	55602	0.032740936	0	0.05863287	0.7250485	0.85483474	64292709	0.0025371618	17499614	4971876	17690200	200	17962165	20910366	0.0040869573	18012435	50.069874	0.028394992	0.94832903	879	0.22683491	50.270794
GTEX-N7MS-0009-SM-2BWY4		C1			Blood	Whole Blood	16-19 hours	BP-16657	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	05/17/2011	GTExHapMap_5M_Sept2011	10/18/2011	Illumina OMNI SNP Array																																													
GTEX-N7MS-0009-SM-2XK1D		C1			Blood	Whole Blood	16-19 hours	BP-16657	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	05/17/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-N7MS-0011-R10A-SM-2HMJK		C1, A1		7.1	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.80672675	82140	0.96689236	829	0.8412034	0.8984917	0.2825455	26003	0.6692906	0.7616858	76	63.405556	0.0033258721	296	56113943	91665877	0.0326464	5583292	108969936	14598024	0.63850594	147545	42891820	80835	0.044974796	0	0.068400666	0.5630095	0.75581425	61351114	0.005344731	17142040	3173273	17572174	303	18948398	12221905	0.00429393	18747238	49.73318	0.051236995	0.87568	859	0.33070937	50.619534
GTEX-N7MS-0011-R10A-SM-2IZJW		C1, A1		7.1	Brain	Brain - Frontal Cortex (BA9)		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MS-0011-R11A-SM-2HMJS		C1, A1		6.6	Brain	Brain - Cerebellar Hemisphere		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	LCSET-1156_1	02/15/2012	TrueSeq.v1	0.8248873	124085	0.9548627	679	0.859139	0.82570505	0.25556064	25201	0.80688816	0.7850435	76	74.35617	0.0026439375	300	118433761	89564930	0.044818692	1742115	104249628	14094130	0.66650575	141152	41821997	60700	0.031194193	0	0.12915765	0.69322914	0.70939547	72268876	0.0047249245	17399964	4851397	17671436	263	19024292	12200496	0.003642949	18954711	49.908398	0.016710995	0.8933909	851	0.19311191	50.387028
GTEX-N7MS-0011-R11A-SM-2IZJZ		C1, A1		6.6	Brain	Brain - Cerebellar Hemisphere		BP-19253	RNA isolation_QIAGEN miRNeasy	10/05/2011	GTEx_Batch3Affy_Dec2011	01/13/2012	Affymetrix Expression																																													
GTEX-N7MS-0011-R1a-SM-2AXVJ		C1, A1		7.3	Brain	Brain - Hippocampus		BP-17395	RNA isolation_QIAGEN miRNeasy	07/05/2011	GTExDonor1-20_Sept2011	10/11/2011	Affymetrix Expression																																													
