15A	Unknown	187,187,187
15B	Unknown	187,187,187
26	Unknown	187,187,187
3T3	Stromal	153,79,0
90	Unknown	187,187,187
97	Unknown	187,187,187
98	Unknown	187,187,187
ABC	Unknown	187,187,187
Acinar	Epithelial	17,119,51
Adipocyte	Stromal	153,79,0
Adrenal chromaffin	Other neuron	86,180,233
Adrenal cortical	Epithelial	17,119,51
Adrenal neuron	Other neuron	86,180,233
Adrenal sympathoblasts	Other neuron	86,180,233
Adrenocortical	Epithelial	17,119,51
Airway goblet	Epithelial	17,119,51
All cell types	Other	153,153,153
All cells	Other	153,153,153
All immune cells	Immune	238,102,119
All mesenchymal cells	Stromal	153,79,0
All tissue.merged.peaks	Unknown	187,187,187
Alveolar type 1	Epithelial	17,119,51
Alveolar type 2	Epithelial	17,119,51
Alveolar type 2;Immune	Epithelial	17,119,51
Amacrine	Inhibitory neuron	213,94,0
Antigen presenting	Immune	238,102,119
Arterial endothelial cell	Endothelial	136,204,238
Astrocyte	Astrocyte	0,158,115
Astrocyte (fibrous; white matter)	Astrocyte	0,158,115
Astrocyte (Myoc+)	Astrocyte	0,158,115
Astrocyte (Nnat+)	Astrocyte	0,158,115
Astrocyte (OLIG2-lineage; pallidal/septal)	Astrocyte	0,158,115
Astrocyte (protoplasmic; grey matter)	Astrocyte	0,158,115
Astrocytes and oligodendrocytes	Astrocyte	0,158,115
Astrocytes-oligodendrocytes	Astrocyte	0,158,115
Atrial cardiomyocyte	Cardiomyocyte	170,68,0
B cell	Immune	238,102,119
B lymphocyte	Immune	238,102,119
Basal epidermal	Epithelial	17,119,51
Basal epithelial mammary	Epithelial	17,119,51
Basophil	Immune	238,102,119
Bergmann glia	Astrocyte	0,158,115
Bipolar cell	Excitatory neuron	0,114,178
BM	Unknown	187,187,187
C2	Unknown	187,187,187
C3	Unknown	187,187,187
CA1 pyramidal neuron	Excitatory neuron	0,114,178
CA2/CA3 pyramidal neuron	Excitatory neuron	0,114,178
Cajal-Retzius cell	Other neuron	86,180,233
Capillary	Endothelial	136,204,238
Capillary endothelial cell	Endothelial	136,204,238
Cardiac fibroblast	Stromal	153,79,0
Cardiac fibroblast progenitors	Stromal	153,79,0
Cardiac pericyte	Mural	221,204,119
Cardiomyocyte	Cardiomyocyte	170,68,0
Cardiomyocytes-vascular endothelial	Cardiomyocyte	170,68,0
CBDevelopingneuron1	Other neuron	86,180,233
Cerebral nuclei GABAergic neuron	Inhibitory neuron	213,94,0
CGE-derived interneuron	Inhibitory neuron	213,94,0
Chandelier	Inhibitory neuron	213,94,0
Chiasmglia	Other	153,153,153
Chief	Epithelial	17,119,51
Cholangiocytes	Epithelial	17,119,51
Choroid plexus	Choroid plexus	136,34,85
Choroid plexus / ependymal	Ependymal	68,170,153
Choroid plexus epithelial cell	Choroid plexus	136,34,85
Chromaffin	Other	153,153,153
Chst9 GABAergic neuron (MSN-like)	Inhibitory neuron	213,94,0
Ciliated cell	Epithelial	17,119,51
Ciliated epithelial cell	Epithelial	17,119,51
Claustrum excitatory neuron	Excitatory neuron	0,114,178
Claustrum neuron	Excitatory neuron	0,114,178
Club	Epithelial	17,119,51
CNS;Enteric neuron	Other neuron	86,180,233
Collecting duct intercalated cell	Epithelial	17,119,51
Collecting duct principal cell	Epithelial	17,119,51
Colonic goblet	Epithelial	17,119,51
