cell_type	broad_class	note
Adipocyte	Stromal	fat cell, mesenchymal
Adrenal chromaffin	Other neuron	adrenal medulla chromaffin (sympathoadrenal)
Adrenal cortical	Epithelial	adrenal cortex steroidogenic cells
Adrenal neuron	Other neuron	peripheral/sympathetic neuron
Adrenal sympathoblasts	Other neuron	sympathoblast (sympathetic neuron progenitor)
Airway goblet	Epithelial	goblet cell
All cell types	Other	aggregate label spanning all classes
Alveolar type 1	Epithelial	AT1 pneumocyte
Alveolar type 2	Epithelial	AT2 pneumocyte
Amacrine	Inhibitory neuron	retinal amacrine (GABA/glycinergic)
Astrocyte	Astrocyte
Astrocytes and oligodendrocytes	Astrocyte	combined glial label; also includes oligodendrocytes
Atrial cardiomyocyte	Cardiomyocyte
B lymphocyte	Immune
Basal epidermal	Epithelial	basal keratinocyte
Bipolar cell	Excitatory neuron	retinal bipolar (glutamatergic)
CNS;Enteric neuron	Other neuron	enteric neuron
Capillary	Endothelial	capillary endothelium
Cardiac fibroblast	Stromal
Cardiac fibroblast progenitors	Stromal	fibroblast progenitor
Cardiac pericyte	Mural	pericyte
Cardiomyocyte	Cardiomyocyte
Chandelier	Inhibitory neuron	chandelier GABAergic interneuron (Pvalb-related)
Chief	Epithelial	gastric chief cell
Cholangiocytes	Epithelial	biliary epithelium
Ciliated cell	Epithelial	ciliated epithelium
Club	Epithelial	airway club cell
Colonic goblet	Epithelial	goblet cell
Cone photoreceptor	Other neuron	photoreceptor
Cortical epithelial-like	Epithelial	epithelial-like (likely thymic cortical epithelium)
Ductal cell	Epithelial
Early cardiomyocytes	Cardiomyocyte
Eccrine epidermal	Epithelial	eccrine gland epithelium
Endocardial	Endothelial	endocardium is specialized endothelium
Endocardium	Endothelial	specialized endothelium
Endothelial	Endothelial
Endothelial and mural	Endothelial	combined vascular label; also includes mural cells
Endothelial cell	Endothelial
Enteric glia	Other	enteric nervous system glia, neural-crest derived; PNS not CNS
Enteric neuron	Other neuron
Enterochromaffin	Epithelial	gut enteroendocrine (EC) cell
Enterocyte	Epithelial
Enteroendocrine	Epithelial	gut endocrine epithelial cell
Epicardial	Epithelial	epicardial mesothelium
Epicardium	Epithelial	mesothelium
Epithelial cell	Epithelial
Erythroblast	Erythroid
Excitatory neuron	Excitatory neuron
Extravillous trophoblast	Epithelial	trophoblast
Fibroblast	Stromal
Fibroblast like cells	Stromal
Flat midget bipolar	Excitatory neuron	retinal midget bipolar (glutamatergic)
Foveolar	Epithelial	gastric foveolar/pit epithelium
GABAergic	Inhibitory neuron
GABAergic neuron	Inhibitory neuron
Gastric goblet	Epithelial
Gastric neuroendocrine	Epithelial	gut neuroendocrine epithelial cell
Glial	Other	unspecified glia (ambiguous astro/oligo/other)
Glutamatergic neuron	Excitatory neuron	glutamatergic
Glycinergic	Inhibitory neuron	glycinergic (retinal amacrine)
Goblet	Epithelial
Granular epidermal	Epithelial	granular-layer keratinocyte
