code	canonical_cell_type	broad_class	brain_region	note
Dorsal	Dorsal striatum medium spiny neuron	Medium spiny neuron	Striatum	Anatomical merge (dorsal striatum MSNs); D1/D2 identity not resolved
MSN d1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Merged group; Allen STR D1 Gaba (direct pathway)
MSN d1 dorsal	D1 medium spiny neuron (dorsal)	Medium spiny neuron	Striatum	Dorsal-striatum D1 MSN merge; Allen STR D1 Gaba
MSN d1 ventral	D1 medium spiny neuron (ventral)	Medium spiny neuron	Striatum	Ventral-striatum D1 MSN merge; Allen STR D1 Gaba
MSN d2	D2 medium spiny neuron	Medium spiny neuron	Striatum	Merged group; Allen STR D2 Gaba (indirect pathway)
MSN d2 dorsal	D2 medium spiny neuron (dorsal)	Medium spiny neuron	Striatum	Dorsal-striatum D2 MSN merge; Allen STR D2 Gaba
MSN d2 ventral	D2 medium spiny neuron (ventral)	Medium spiny neuron	Striatum	Ventral-striatum D2 MSN merge; Allen STR D2 Gaba
Ventral	Ventral striatum medium spiny neuron	Medium spiny neuron	Striatum	Anatomical merge (ventral striatum MSNs); D1/D2 identity not resolved
X1039 sAMY PAL chst9	Chst9 GABAergic neuron (MSN-like)	Inhibitory neuron	sAMY/Pallidum	Allen STR-PAL Chst9 Gaba (subclass 064); MSN-like GABAergic, ventral pallidum/striatum
X1040 sAMY PAL chst9	Chst9 GABAergic neuron (MSN-like)	Inhibitory neuron	sAMY/Pallidum	Allen STR-PAL Chst9 Gaba (subclass 064); MSN-like GABAergic, ventral pallidum/striatum
X1061 MSN d1 outer	D1 medium spiny neuron	Medium spiny neuron	Striatum	D1 MSN, outer/matrix compartment; Allen STR D1 Gaba
X1066 MSN d2	D2 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D2 Gaba (indirect pathway)
X1067 MSN d2	D2 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D2 Gaba (indirect pathway)
X1080 MSN d2	D2 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D2 Gaba (indirect pathway)
X1081 MSN d2	D2 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D2 Gaba (indirect pathway)
X1091 MSN d1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D1 Gaba (direct pathway)
X1099 MSN d1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D1 Gaba (direct pathway)
X1106 MSN d1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D1 Gaba (direct pathway)
X1116 MSN d1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D1 Gaba (direct pathway)
X1117 MSN d1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D1 Gaba (direct pathway)
X1122 MSN d1	D1 medium spiny neuron	Medium spiny neuron	Striatum	Allen STR D1 Gaba (direct pathway)
