code	canonical_cell_type	broad_class	tissue	age_months	note
BM.Basophil.03	Basophil	Immune	Bone marrow	3	
BM.Basophil.10	Basophil	Immune	Bone marrow	10	
BM.Basophil.18	Basophil	Immune	Bone marrow	18	
BM.Dendritic.03	Dendritic cell	Immune	Bone marrow	3	
BM.Dendritic.10	Dendritic cell	Immune	Bone marrow	10	
BM.Dendritic.18	Dendritic cell	Immune	Bone marrow	18	
BM.Endo.03	Endothelial cell	Endothelial	Bone marrow	3	
BM.Endo.10	Endothelial cell	Endothelial	Bone marrow	10	
BM.Endo.18	Endothelial cell	Endothelial	Bone marrow	18	
BM.Eryth.03	Erythroid cell	Erythroid	Bone marrow	3	
BM.Eryth.10	Erythroid cell	Erythroid	Bone marrow	10	
BM.Eryth.18	Erythroid cell	Erythroid	Bone marrow	18	
BM.HSC.03	Hematopoietic stem cell	Hematopoietic stem/progenitor	Bone marrow	3	
BM.HSC.10	Hematopoietic stem cell	Hematopoietic stem/progenitor	Bone marrow	10	
BM.HSC.18	Hematopoietic stem cell	Hematopoietic stem/progenitor	Bone marrow	18	
BM.Late pro b.03	Late pro-B cell	Immune	Bone marrow	3	B-lineage progenitor
BM.Late pro b.10	Late pro-B cell	Immune	Bone marrow	10	B-lineage progenitor
BM.Late pro b.18	Late pro-B cell	Immune	Bone marrow	18	B-lineage progenitor
BM.Macg.03	Macrophage	Immune	Bone marrow	3	
BM.Macg.10	Macrophage	Immune	Bone marrow	10	
BM.Macg.18	Macrophage	Immune	Bone marrow	18	
BM.MeSC.03	Mesenchymal stem cell	Stromal	Bone marrow	3	Bone marrow mesenchymal stromal cell
BM.MeSC.10	Mesenchymal stem cell	Stromal	Bone marrow	10	Bone marrow mesenchymal stromal cell
BM.MeSC.18	Mesenchymal stem cell	Stromal	Bone marrow	18	Bone marrow mesenchymal stromal cell
BM.Monocyte.03	Monocyte	Immune	Bone marrow	3	
BM.Monocyte.10	Monocyte	Immune	Bone marrow	10	
BM.Monocyte.18	Monocyte	Immune	Bone marrow	18	
BM.Naive B cell.03	Naive B cell	Immune	Bone marrow	3	
BM.Naive B cell.10	Naive B cell	Immune	Bone marrow	10	
BM.Naive B cell.18	Naive B cell	Immune	Bone marrow	18	
BM.Neutrophil.Gpr27.03	Neutrophil (Gpr27+)	Immune	Bone marrow	3	marker-defined neutrophil subset
BM.Neutrophil.Gpr27.10	Neutrophil (Gpr27+)	Immune	Bone marrow	10	marker-defined neutrophil subset
BM.Neutrophil.Gpr27.18	Neutrophil (Gpr27+)	Immune	Bone marrow	18	marker-defined neutrophil subset
BM.Neutrophil.Il1b.03	Neutrophil (Il1b+)	Immune	Bone marrow	3	marker-defined neutrophil subset
BM.Neutrophil.Il1b.10	Neutrophil (Il1b+)	Immune	Bone marrow	10	marker-defined neutrophil subset
BM.Neutrophil.Il1b.18	Neutrophil (Il1b+)	Immune	Bone marrow	18	marker-defined neutrophil subset
BM.Neutrophil.Ms4a3.03	Neutrophil (Ms4a3+)	Immune	Bone marrow	3	marker-defined neutrophil subset
BM.Neutrophil.Ms4a3.10	Neutrophil (Ms4a3+)	Immune	Bone marrow	10	marker-defined neutrophil subset
BM.Neutrophil.Ms4a3.18	Neutrophil (Ms4a3+)	Immune	Bone marrow	18	marker-defined neutrophil subset
BM.Plasma.03	Plasma cell	Immune	Bone marrow	3	
BM.Plasma.10	Plasma cell	Immune	Bone marrow	10	
BM.Plasma.18	Plasma cell	Immune	Bone marrow	18	
BM.Pre B cell.03	Pre-B cell	Immune	Bone marrow	3	B-lineage progenitor
BM.Pre B cell.10	Pre-B cell	Immune	Bone marrow	10	B-lineage progenitor
BM.Pre B cell.18	Pre-B cell	Immune	Bone marrow	18	B-lineage progenitor
BM.Pro eryth.03	Proerythroblast	Erythroid	Bone marrow	3	erythroid progenitor
