code	canonical_cell_type	broad_class	brain_region	note
ASCG	Astrocyte (protoplasmic, grey matter)	Astrocyte	Cortex/Hippocampus	Li 2021 main text: ASCG = protoplasmic grey-matter astrocyte
ASCN	Astrocyte (OLIG2-lineage, pallidal/septal)	Astrocyte	Pallidum/Lateral septum	Li 2021 main text: ASCN found mostly in pallidum and lateral septum complex
ASCW	Astrocyte (fibrous, white matter)	Astrocyte	White matter	Li 2021 main text: ASCW = fibrous white-matter astrocyte
CA1GL1	Hippocampal CA1 excitatory neuron	Excitatory neuron	Hippocampus CA1	Li 2021 Fig1 legend: CA1GL = hippocampal CA1 glutamatergic
CA1GL2	Hippocampal CA1 excitatory neuron	Excitatory neuron	Hippocampus CA1	Li 2021 Fig1 legend: CA1GL = hippocampal CA1 glutamatergic
CA1GL3	Hippocampal CA1 excitatory neuron	Excitatory neuron	Hippocampus CA1	Li 2021 Fig1 legend: CA1GL = hippocampal CA1 glutamatergic
CA3GL1	Hippocampal CA3 excitatory neuron	Excitatory neuron	Hippocampus CA3	Li 2021 Fig1 legend: CA3GL = hippocampal CA3 glutamatergic
CA3GL2	Hippocampal CA3 excitatory neuron	Excitatory neuron	Hippocampus CA3	Li 2021 Fig1 legend: CA3GL = hippocampal CA3 glutamatergic
CA3GL3	Hippocampal CA3 excitatory neuron	Excitatory neuron	Hippocampus CA3	Li 2021 Fig1 legend: CA3GL = hippocampal CA3 glutamatergic
CA3GL4	Hippocampal CA3 excitatory neuron	Excitatory neuron	Hippocampus CA3	Li 2021 Fig1 legend: CA3GL = hippocampal CA3 glutamatergic
CA3GL5	Hippocampal CA3 excitatory neuron	Excitatory neuron	Hippocampus CA3	Li 2021 Fig1 legend: CA3GL = hippocampal CA3 glutamatergic
CA3GL6	Hippocampal CA3 excitatory neuron	Excitatory neuron	Hippocampus CA3	Li 2021 Fig1 legend: CA3GL = hippocampal CA3 glutamatergic
CLAGL1	Claustrum excitatory neuron	Excitatory neuron	Claustrum	Li 2021 Fig1 legend: CLAGL = claustrum glutamatergic
CLAGL2	Claustrum excitatory neuron	Excitatory neuron	Claustrum	Li 2021 Fig1 legend: CLAGL = claustrum glutamatergic
CLAGL3	Claustrum excitatory neuron	Excitatory neuron	Claustrum	Li 2021 Fig1 legend: CLAGL = claustrum glutamatergic
CNUGA	Cerebral nuclei GABAergic neuron	Inhibitory neuron	Cerebral nuclei	Li 2021 Fig1 legend: CNUGA = cerebral nuclei GABAergic
COP	Committed oligodendrocyte precursor (COP)	Oligodendrocyte precursor		Li 2021 Fig1 legend: COP = committed oligodendrocyte precursor (OPC->oligo transitional)
CRC	Cajal-Retzius cell	Other neuron	Cortex/Hippocampus	Reelin+ glutamatergic Cajal-Retzius cell; verified independently (Fig1-fetch mislabel as choroid plexus rejected)
CTGL1	Cortical corticothalamic excitatory neuron (L6 CT)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: CTGL = corticothalamic glutamatergic
CTGL2	Cortical corticothalamic excitatory neuron (L6 CT)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: CTGL = corticothalamic glutamatergic
CTGL3	Cortical corticothalamic excitatory neuron (L6 CT)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: CTGL = corticothalamic glutamatergic
CTGL4	Cortical corticothalamic excitatory neuron (L6 CT)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: CTGL = corticothalamic glutamatergic
CTGL5	Cortical corticothalamic excitatory neuron (L6 CT)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: CTGL = corticothalamic glutamatergic
CTGL6	Cortical corticothalamic excitatory neuron (L6 CT)	Excitatory neuron	Cortex (L6)	Li 2021 Fig1 legend: CTGL = corticothalamic glutamatergic
