Astro	Astrocyte	102,92,71
Astrocyte	Astrocyte	102,92,71
Chandelier	Chandelier	246,65,168
Endo	Endothelial	141,108,98
Endothelial cell	Endothelial	141,108,98
L2-3IT	L2/3 IT	177,236,48
L23-IT	L2/3 IT	177,236,48
L4-IT	L4 IT	0,229,229
L4IT	L4 IT	0,229,229
L5-6NP	L5/6 NP	62,158,100
L5-ET	L5 ET	13,91,120
L5-IT	L5 IT	80,178,173
L56-NP	L5/6 NP	62,158,100
L5ET	L5 ET	13,91,120
L5IT	L5 IT	80,178,173
L6-CT	L6 CT	45,140,184
L6-IT	L6 IT	161,153,34
L6-IT-Car3	L6 IT Car3	81,0,255
L6CT	L6 CT	45,140,184
L6IT	L6 IT	161,153,34
L6ITCar3	L6 IT Car3	81,0,255
L6b	L6b	112,68,170
Lamp5	Lamp5	218,128,140
Lamp5 lhx6	Lamp5 Lhx6	147,95,80
Lamp5-Lhx6	Lamp5 Lhx6	147,95,80
Micro-PVM	Microglia-PVM	148,175,151
Microglia-PVM	Microglia-PVM	148,175,151
Oligo	Oligodendrocyte	83,119,108
Oligodendrocyte precursor	OPC	55,74,69
Oligodendrocytes	Oligodendrocyte	83,119,108
Pax6	Pax6	113,35,140
Pvalb	Pvalb	217,49,55
Sncg	Sncg	223,112,255
Sst	Sst	255,153,0
Sst-Chodl	Sst Chodl	177,177,12
VLMC	VLMC	105,114,85
Vip	Vip	164,95,191
