accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
DRX013097	DRS012896	NA	NA	NA	DRP001296	DRS012896	0.915	0.066	18.304	0.383	0.748	0.945	152136.59	75	307795.07	292
DRX013098	DRS012897	NA	NA	NA	DRP001296	DRS012897	0.954	0.036	19.949	0.395	0.733	0.945	52222.85	1748	239957.38	433
SRX019113	Brain	NA	brain	NA	SRP002296	SRS059158	0.996	0.005	18.454	0.740	0.912	0.971	91031.08	1571	61711.53	98
SRX019114	Brain	NA	brain	NA	SRP002296	SRS059159	0.997	0.005	18.535	0.734	0.920	0.959	88325.63	1621	51411.31	72
SRX020137	Whole Adult Workers	NA	NA	Whole adult workers	SRP002417	SRS072439	0.999	0.005	2.359	0.492	0.952	0.831	199173.64	303	117937.28	67
SRX020138	Whole Adult Workers	NA	NA	Whole adult workers	SRP002417	SRS072439	0.999	0.005	12.097	0.594	0.896	0.965	90619.89	1592	20440.56	291
SRX101300	SRS267152	NA	NA	NA	SRP002296	SRS267152	0.967	0.016	32.220	0.835	0.511	0.963	31685.09	2061	156289.83	579
SRX101302	SRS267153	NA	NA	NA	SRP002296	SRS267153	0.977	0.013	28.234	0.859	0.611	0.964	27797.01	4005	27128.14	84
SRX10356136	Brain	NA	Brain	NA	SRP310910	SRS8474098	0.996	0.010	40.875	0.693	0.583	0.984	72546.84	2167	21376.0	9
SRX10356137	Brain	NA	Brain	NA	SRP310910	SRS8474100	0.996	0.009	40.706	0.680	0.571	0.984	74230.53	2108	13003.84	118
SRX10356138	Ovary	NA	Ovary	NA	SRP310910	SRS8474097	0.994	0.010	39.308	0.677	0.616	0.984	75278.66	2072	36896.5	22
SRX10356139	Ovary	NA	Ovary	NA	SRP310910	SRS8474099	0.995	0.009	44.661	0.695	0.608	0.985	74438.38	2101	25110.75	16
SRX10356140	Brain	NA	Brain	NA	SRP310910	SRS8474101	0.996	0.008	44.640	0.670	0.573	0.983	74298.97	2100	18154.41	83
SRX10356141	Brain	NA	Brain	NA	SRP310910	SRS8474102	0.996	0.012	37.076	0.694	0.568	0.983	72796.82	2153	15410.21	33
SRX10356142	Brain	NA	Brain	NA	SRP310910	SRS8474105	0.996	0.010	48.403	0.680	0.563	0.985	72091.53	2184	16301.26	77
SRX10356143	Brain	NA	Brain	NA	SRP310910	SRS8474104	0.995	0.010	46.558	0.680	0.600	0.985	72506.94	2173	14585.62	8
SRX10356144	Ovary	NA	Ovary	NA	SRP310910	SRS8474103	0.996	0.009	47.711	0.703	0.560	0.984	72826.86	2143	17521.28	36
SRX10356145	Ovary	NA	Ovary	NA	SRP310910	SRS8474107	0.995	0.010	46.660	0.703	0.564	0.984	72486.71	2170	15005.57	23
SRX10356146	Ovary	NA	Ovary	NA	SRP310910	SRS8474106	0.995	0.009	42.598	0.703	0.608	0.983	73907.04	2115	25463.08	38
SRX10356147	Ovary	NA	Ovary	NA	SRP310910	SRS8474108	0.996	0.009	46.027	0.701	0.593	0.984	73597.94	2124	16758.87	38
SRX10413904	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534914	0.994	0.011	32.393	0.754	0.929	0.980	73737.05	2085	21203.88	8
SRX10413905	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534915	0.995	0.011	14.148	0.752	0.935	0.973	70298.65	2149	21999.45	20
SRX10413906	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534916	0.994	0.008	14.216	0.702	0.918	0.967	80232.78	1739	30912.25	24
SRX10413907	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534917	0.996	0.009	16.332	0.722	0.930	0.973	73110.03	2079	16380.55	22
SRX10413908	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534918	0.976	0.025	7.515	0.767	0.851	0.954	46417.5	1047	246375.99	469
SRX10413909	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534919	0.995	0.011	30.947	0.666	0.936	0.979	74133.75	2069	18606.92	13
SRX10413910	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534920	0.992	0.014	15.948	0.772	0.928	0.974	65622.06	2276	38682.07	14
SRX10413911	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534921	0.995	0.009	13.838	0.621	0.929	0.971	70999.4	2072	21620.0	2
SRX10413912	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534922	0.995	0.010	11.802	0.601	0.929	0.972	71528.39	2063	35000.0	1
SRX10413913	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534923	0.994	0.011	13.542	0.615	0.942	0.973	72301.33	2072	28494.92	12
SRX10413914	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534924	0.990	0.017	13.784	0.762	0.938	0.974	63475.42	2324	118716.66	588
SRX10413915	Abdominal	NA	abdominal	Abdominal tissue extract	SRP311691	SRS8534925	0.995	0.011	10.467	0.740	0.940	0.971	65952.62	2238	33967.3	10
