accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
DRX797052	Heart	NA	heart	NA	DRP015517	DRS576505	0.981	0.576	14.608	0.849	0.559	0.935	1258.47	22190	12983.32	561
DRX797053	Heart	NA	heart	NA	DRP015517	DRS576506	0.982	0.579	15.539	0.848	0.592	0.944	1252.54	22485	13275.88	608
DRX797054	Heart	NA	heart	NA	DRP015517	DRS576507	0.982	0.574	19.168	0.850	0.569	0.941	1204.04	23751	13772.33	513
DRX797055	Heart	NA	heart	NA	DRP015517	DRS576508	0.984	0.589	14.255	0.857	0.605	0.923	1312.86	21532	11940.41	810
DRX797056	Heart	NA	heart	NA	DRP015517	DRS576509	0.982	0.588	15.040	0.851	0.594	0.934	1308.34	21394	12182.39	826
DRX797057	Heart	NA	heart	NA	DRP015517	DRS576510	0.982	0.586	15.149	0.848	0.590	0.938	1290.05	22016	13100.34	736
DRX797058	Lung	NA	lung	NA	DRP015517	DRS576511	0.982	0.616	15.000	0.853	0.587	0.934	1313.36	21747	13359.01	934
DRX797059	Lung	NA	lung	NA	DRP015517	DRS576512	0.984	0.573	16.582	0.855	0.678	0.946	1206.24	23980	12741.49	574
DRX797060	Lung	NA	lung	NA	DRP015517	DRS576513	0.981	0.573	16.695	0.857	0.617	0.944	1190.84	22866	13075.28	546
DRX797061	Lung	NA	lung	NA	DRP015517	DRS576514	0.982	0.609	15.231	0.854	0.591	0.936	1317.36	21136	13420.39	785
DRX797062	Lung	NA	lung	NA	DRP015517	DRS576515	0.982	0.607	15.329	0.856	0.608	0.936	1276.82	20997	12184.69	846
DRX797063	Lung	NA	lung	NA	DRP015517	DRS576516	0.981	0.625	14.919	0.852	0.585	0.933	1311.22	21402	12477.73	984
ERX10277995	ERS14577706	NA	NA	NA	ERP144515	ERS14577706	0.988	0.596	2.100	0.914	0.803	0.725	10709.08	12396	505600.48	588
ERX10277996	ERS14577706	NA	NA	NA	ERP144515	ERS14577706	0.988	0.594	9.176	0.905	0.773	0.929	6213.84	23935	299804.04	1065
ERX10277997	ERS14577706	NA	NA	NA	ERP144515	ERS14577706	0.988	0.595	9.415	0.907	0.727	0.930	6112.81	24643	293214.31	1104
ERX10277998	ERS14577706	NA	NA	NA	ERP144515	ERS14577706	0.988	0.596	10.374	0.904	0.725	0.934	5568.12	25533	236157.1	1314
ERX10277999	ERS14577706	NA	NA	NA	ERP144515	ERS14577706	0.988	0.596	11.045	0.904	0.701	0.936	5253.92	26969	225643.46	1406
ERX5014663	AIL Embryo E8 pool4 liver	NA	NA	NA	ERP126680	ERS5642525	0.997	0.643	19.116	0.817	0.673	0.921	1176.5	24582	11720.86	828
ERX5014665	AIL Embryo E8 pool3 small intestine	NA	NA	NA	ERP126680	ERS5642518	0.997	0.610	17.799	0.834	0.686	0.942	1118.66	26120	12667.37	1057
ERX5014668	AIL Embryo E8 pool4 kidney	NA	NA	NA	ERP126680	ERS5642531	0.997	0.599	17.922	0.833	0.687	0.943	1116.72	26215	12506.13	1182
ERX5014671	AIL Embryo E8 pool4 lung	NA	NA	NA	ERP126680	ERS5642524	0.997	0.606	16.700	0.833	0.699	0.929	1170.97	26641	12867.99	1115
ERX5014674	AIL Embryo E8 pool3 hindlimb muscle	NA	NA	NA	ERP126680	ERS5642527	0.997	0.606	21.172	0.840	0.680	0.939	1096.2	26892	12580.51	1149
ERX5014676	AIL Embryo E8 pool4 hindbrain	NA	NA	NA	ERP126680	ERS5642532	0.997	0.666	15.179	0.808	0.679	0.913	1245.68	26625	12253.13	1200
ERX5014677	AIL Embryo E8 pool4 hindbrain	NA	NA	NA	ERP126680	ERS5642532	0.997	0.667	4.226	0.810	0.720	0.766	1808.09	18801	24399.58	718
ERX5014679	AIL Embryo E8 pool3 skin	NA	NA	NA	ERP126680	ERS5642526	0.997	0.622	23.172	0.838	0.680	0.943	1105.48	26034	12550.2	1153
ERX5014681	Liver	NA	liver	NA	ERP126680	ERS5642528	0.997	0.603	19.426	0.824	0.679	0.937	1097.59	23573	11154.79	797
ERX5014683	Small Intestine	NA	small intestine	NA	ERP126680	ERS5642513	0.997	0.590	22.531	0.833	0.676	0.949	1069.16	25021	12253.96	962
ERX5014685	Kidney	NA	kidney	NA	ERP126680	ERS5642515	0.997	0.600	21.779	0.785	0.650	0.949	1105.93	25427	11930.16	1211
ERX5014687	Lung	NA	lung	NA	ERP126680	ERS5642519	0.997	0.537	15.790	0.840	0.668	0.952	1091.04	24811	11797.39	1040
ERX5014688	Lung	NA	lung	NA	ERP126680	ERS5642519	0.997	0.537	6.272	0.841	0.606	0.925	1346.18	22037	17932.25	637
ERX5014690	Hindlimb Muscle	NA	hindlimb muscle	NA	ERP126680	ERS5642517	0.997	0.596	21.829	0.797	0.633	0.947	1120.7	26905	12457.8	1331
ERX5014692	Cerebellum	NA	cerebellum	NA	ERP126680	ERS5642522	0.997	0.580	17.841	0.829	0.673	0.947	1105.87	32547	16028.11	1370
ERX5014695	Skin Of Back	NA	skin of back	NA	ERP126680	ERS5620494	0.996	0.586	21.658	0.777	0.620	0.953	1114.76	25592	13767.94	936
ERX5014697	Liver	NA	liver	NA	ERP126680	ERS5642516	0.997	0.616	18.959	0.811	0.669	0.939	1142.3	24070	11685.32	893
ERX5014699	Small Intestine	NA	small intestine	NA	ERP126680	ERS5642514	0.997	0.604	22.335	0.799	0.636	0.943	1121.73	25043	12328.95	895
ERX5014701	Kidney	NA	kidney	NA	ERP126680	ERS5642520	0.997	0.565	18.446	0.808	0.671	0.953	1116.2	25566	12375.85	1201
