accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX081763	Sperm	Sperm	NA	Sperm	SRP007400	SRS213862	0.987	0.632	9.230	0.455	0.761	0.976	1951.72	61828	36458.82	1207
SRX081765	Sperm	Sperm	NA	Sperm	SRP007400	SRS213863	0.988	0.664	7.122	0.535	0.931	0.964	1990.4	62899	25549.0	1618
SRX140479	Prefrontal Cortex	NA	prefrontal cortex	Brain	SRP012161	SRS308848	0.976	0.765	1.999	0.776	0.062	0.743	1720.0	27240	76046.24	635
SRX140480	Prefrontal Cortex	NA	prefrontal cortex	Brain	SRP012161	SRS308849	0.974	0.816	2.914	0.867	0.099	0.847	1592.59	29529	59015.67	1069
SRX140481	Prefrontal Cortex	NA	prefrontal cortex	Brain	SRP012161	SRS308850	0.968	0.817	6.920	0.868	0.356	0.953	1380.31	35212	31690.7	2267
SRX266514	SRS413524	NA	NA	NA	SRP021118	SRS413524	0.992	0.720	8.974	0.769	0.726	0.980	1122.02	44523	13893.84	1476
SRX266525	Neutriphils	NA	NA	NA	SRP021118	SRS413527	0.993	0.732	8.783	0.698	0.756	0.975	1008.52	56277	19803.74	1411
SRX266748	CD34+	NA	NA	NA	SRP021118	SRS413757	0.992	0.744	3.539	0.798	0.151	0.899	1448.58	33900	34688.56	698
SRX266749	CD34+	NA	NA	NA	SRP021118	SRS413759	0.992	0.750	3.021	0.791	0.484	0.887	1488.13	32450	44793.16	485
SRX2847134	Bone	NA	Bone	Bone	SRP107883	SRS2220114	0.997	0.662	22.668	0.824	0.949	0.984	1069.37	63034	13041.06	2910
SRX4192969	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403804	0.993	0.698	2.044	0.716	0.634	0.789	1798.15	26630	85256.79	314
SRX4192970	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403806	0.989	0.769	2.360	0.839	0.729	0.776	1651.99	30101	54813.62	534
SRX4192971	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403805	0.989	0.763	2.078	0.857	0.799	0.772	1681.88	29963	59276.23	542
SRX4192972	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403807	0.991	0.707	2.754	0.795	0.810	0.814	1648.36	27364	78604.83	351
SRX4192973	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403808	0.992	0.705	2.910	0.818	0.837	0.843	1663.61	27102	64850.27	414
SRX4192975	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403809	0.993	0.742	2.002	0.821	0.878	0.763	1793.62	25795	47370.07	447
SRX4192976	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403810	0.994	0.745	2.638	0.830	0.869	0.832	1699.64	26892	39965.81	573
SRX4192977	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403811	0.993	0.705	1.943	0.694	0.726	0.773	1808.24	27206	63896.66	467
SRX4192978	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403812	0.993	0.705	1.934	0.677	0.664	0.761	1750.66	27887	69168.4	415
SRX4192980	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403814	0.992	0.764	2.419	0.800	0.846	0.803	1608.4	29021	43064.41	733
SRX4192981	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403815	0.990	0.732	2.232	0.815	0.827	0.785	1919.77	25554	105046.32	570
SRX4192982	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403816	0.990	0.732	2.493	0.810	0.835	0.820	1789.35	28227	74071.98	699
SRX4192983	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403817	0.993	0.764	1.891	0.805	0.877	0.706	1839.19	25641	54224.16	436
SRX4192984	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403818	0.993	0.763	2.146	0.821	0.877	0.749	1802.39	26440	51582.88	442
SRX4192985	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403819	0.992	0.729	2.824	0.839	0.908	0.850	1560.9	28950	50659.06	634
SRX4192986	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403820	0.992	0.732	2.658	0.826	0.897	0.825	1561.82	29479	59991.71	498
SRX4192990	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403824	0.996	0.754	1.739	0.840	0.882	0.749	1658.19	27910	67392.64	432
SRX4192991	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403825	0.991	0.738	2.500	0.845	0.842	0.823	1800.53	26345	68262.16	519
SRX4192992	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403826	0.991	0.737	2.322	0.835	0.847	0.808	1757.18	27844	78039.1	453
SRX4192994	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403828	0.993	0.748	2.567	0.825	0.885	0.815	1659.52	27122	37355.09	681
SRX4192996	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403831	0.992	0.700	2.957	0.790	0.897	0.844	1569.76	30566	53233.9	419
