accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
DRX791036	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572021	0.995	0.721	11.809	0.782	0.716	0.983	1124.06	40287	19571.47	1525
DRX791037	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572022	0.996	0.708	15.169	0.804	0.685	0.987	1054.11	42137	11089.96	2928
DRX791038	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572023	0.996	0.708	8.969	0.781	0.752	0.980	1190.86	40407	33096.69	1185
DRX791039	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572024	0.995	0.686	15.891	0.780	0.683	0.987	1069.52	44778	19739.75	1736
DRX791040	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572025	0.995	0.710	14.447	0.825	0.682	0.987	1089.13	43989	11835.78	2874
DRX791041	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572026	0.995	0.702	15.703	0.835	0.706	0.987	1093.64	43869	11720.21	3146
DRX791042	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572027	0.995	0.704	12.755	0.785	0.755	0.985	1117.98	46772	21991.86	1657
DRX791043	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572028	0.995	0.697	13.467	0.779	0.599	0.986	1096.94	44692	21225.3	1875
DRX791044	Subcutaneous Fat	NA	subcutaneous fat	NA	DRP015413	DRS572029	0.995	0.706	14.134	0.807	0.603	0.987	1087.6	48034	20957.76	1790
ERX11559531	Blood	NA	blood	NA	ERP152810	ERS16513439	0.984	0.747	18.194	0.821	0.515	0.989	1023.86	51886	9971.0	3238
ERX11559532	Blood	NA	blood	NA	ERP152810	ERS16513440	0.984	0.758	21.222	0.827	0.574	0.990	931.67	61709	10806.84	3198
ERX11559533	Blood	NA	blood	NA	ERP152810	ERS16513441	0.984	0.714	18.469	0.827	0.488	0.989	1097.96	45667	11104.39	2438
ERX11559534	Blood	NA	blood	NA	ERP152810	ERS16513442	0.984	0.746	17.428	0.824	0.512	0.989	1029.97	49675	9999.92	3029
ERX11559535	Blood	NA	blood	NA	ERP152810	ERS16513443	0.983	0.748	17.643	0.829	0.537	0.989	995.65	55412	10830.2	2740
ERX11559536	Blood	NA	blood	NA	ERP152810	ERS16513444	0.986	0.758	18.903	0.837	0.624	0.989	995.07	55008	10801.14	2773
ERX11559537	Blood	NA	blood	NA	ERP152810	ERS16513445	0.985	0.753	21.178	0.835	0.537	0.990	996.6	53557	10270.51	2932
ERX11559538	Blood	NA	blood	NA	ERP152810	ERS16513446	0.984	0.736	17.275	0.832	0.517	0.989	1040.87	48404	9820.61	2841
ERX11559539	Blood	NA	blood	NA	ERP152810	ERS16513447	0.983	0.756	23.130	0.827	0.553	0.990	976.2	56056	10882.95	2708
ERX11559540	Blood	NA	blood	NA	ERP152810	ERS16513448	0.986	0.737	18.736	0.824	0.592	0.989	1028.73	51145	10900.33	2594
ERX11559541	Blood	NA	blood	NA	ERP152810	ERS16513449	0.983	0.753	17.837	0.828	0.548	0.989	1009.62	53431	10477.52	2908
ERX11559542	Blood	NA	blood	NA	ERP152810	ERS16513450	0.985	0.759	18.072	0.819	0.526	0.989	965.6	57149	10462.65	3139
ERX11559543	Blood	NA	blood	NA	ERP152810	ERS16513451	0.985	0.749	17.530	0.821	0.519	0.989	1034.73	48759	9817.13	2975
ERX11559544	Blood	NA	blood	NA	ERP152810	ERS16513452	0.985	0.744	19.596	0.830	0.617	0.990	1012.76	49968	9712.98	2825
ERX11559545	Blood	NA	blood	NA	ERP152810	ERS16513453	0.985	0.747	20.091	0.830	0.596	0.990	1023.32	48966	10345.48	2412
ERX11559546	Blood	NA	blood	NA	ERP152810	ERS16513454	0.983	0.730	22.508	0.822	0.540	0.990	1031.18	51139	10827.41	2599
ERX3476143	Oocytes	NA	oocytes	NA	ERP116535	ERS3604879	0.958	0.487	2.388	0.751	0.147	0.759	31243.78	10485	491432.36	2236
ERX3476144	Oocytes	NA	oocytes	NA	ERP116535	ERS3604880	0.976	0.655	8.789	0.691	0.322	0.961	1328.18	47278	72340.45	1689
ERX3476145	Oocytes	NA	oocytes	NA	ERP116535	ERS3604881	0.978	0.659	9.196	0.701	0.453	0.944	1330.38	45536	64848.83	1721
ERX3476146	Oocytes	NA	oocytes	NA	ERP116535	ERS3604882	0.976	0.649	9.096	0.700	0.555	0.947	1346.23	48501	83136.86	1668
ERX3476147	Oocytes	NA	oocytes	NA	ERP116535	ERS3604883	0.982	0.649	8.391	0.692	0.527	0.935	1318.32	46161	54577.33	1503
ERX3476148	Oocytes	NA	oocytes	NA	ERP116535	ERS3604884	0.979	0.671	8.396	0.700	0.631	0.944	1296.73	48806	66657.27	1649
ERX3476149	Oocytes	NA	oocytes	NA	ERP116535	ERS3604885	0.979	0.649	11.684	0.705	0.600	0.958	1197.76	53920	37858.74	1679
ERX3476150	Oocytes	NA	oocytes	NA	ERP116535	ERS3604886	0.978	0.632	7.312	0.720	0.254	0.941	1535.11	40008	159534.86	1823
ERX3497748	Morula	NA	morula	NA	ERP116794	ERS3649055	0.982	0.311	3.214	0.657	0.494	0.823	0.0	0	701662.34	791
ERX3497749	Morula	NA	morula	NA	ERP116794	ERS3649056	0.982	0.317	3.188	0.674	0.423	0.832	0.0	0	496619.39	977
ERX3497750	Morula	NA	morula	NA	ERP116794	ERS3649057	0.983	0.288	2.172	0.698	0.259	0.757	0.0	0	769166.77	465
ERX3497751	Morula	NA	morula	NA	ERP116794	ERS3649058	0.983	0.325	4.160	0.717	0.446	0.900	89547.68	690	382290.09	1369
ERX3497752	Morula	NA	morula	NA	ERP116794	ERS3649059	0.982	0.332	2.112	0.679	0.366	0.749	0.0	0	857299.33	618
ERX3497754	Morula	NA	morula	NA	ERP116794	ERS3649061	0.982	0.231	1.948	0.720	0.353	0.732	0.0	0	883385.41	764
ERX3497755	Morula	NA	morula	NA	ERP116794	ERS3649062	0.983	0.293	4.090	0.684	0.308	0.891	0.0	0	729568.56	806
SRX11003184	Primary Dermal Fibroblasts	NA	Primary dermal fibroblasts	Primary dermal fibroblasts	SRP321573	SRS9077391	0.980	0.647	14.349	0.849	0.678	0.988	3237.17	58421	817676.38	1351
SRX11033772	Blood	blood cell	NA	low BHB_blood	SRP322041	SRS9104530	0.993	0.706	26.568	0.798	0.745	0.990	838.56	63237	10945.99	3004
SRX11033773	Blood	blood cell	NA	low BHB_blood	SRP322041	SRS9104505	0.989	0.794	4.838	0.815	0.691	0.840	1324.13	36397	24414.87	1080
SRX11033774	Blood	blood cell	NA	low BHB_blood	SRP322041	SRS9104503	0.990	0.812	3.422	0.837	0.837	0.772	1386.86	29887	32292.11	973
SRX11033775	Blood	blood cell	NA	low BHB_blood	SRP322041	SRS9104502	0.994	0.791	5.909	0.814	0.872	0.940	1207.56	40677	17188.17	1651
SRX11033776	Blood	blood cell	NA	high BHB_blood	SRP322041	SRS9104537	0.993	0.771	26.587	0.796	0.762	0.990	823.57	70758	12787.61	3416
SRX11033777	Blood	blood cell	NA	high BHB_blood	SRP322041	SRS9104504	0.988	0.785	13.003	0.810	0.334	0.970	1068.21	50228	11301.31	2766
SRX11033778	Blood	blood cell	NA	high BHB_blood	SRP322041	SRS9104507	0.994	0.776	26.602	0.803	0.756	0.990	876.85	66671	11629.11	3649
