accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX14481166	Blood	NA	blood	NA	ERP172929	ERS24751453	0.981	0.758	38.830	0.929	0.415	0.983	985.13	60211	9530.44	2893
ERX14481167	Blood	NA	blood	NA	ERP172929	ERS24751454	0.981	0.756	45.157	0.924	0.623	0.984	972.28	63074	9760.39	2730
ERX14481171	Blood	NA	blood	NA	ERP172929	ERS24751458	0.981	0.760	36.901	0.927	0.593	0.982	975.54	61706	9281.18	3017
ERX15007111	Blood	NA	blood	NA	ERP180396	ERS26890335	0.981	0.764	46.446	0.887	0.573	0.983	976.43	62829	9893.74	2679
ERX15007113	Blood	NA	blood	NA	ERP180396	ERS26890337	0.983	0.781	32.824	0.888	0.738	0.981	905.25	72893	10173.6	3680
ERX15007114	Blood	NA	blood	NA	ERP180396	ERS26890338	0.982	0.764	29.515	0.889	0.718	0.980	975.58	63331	9972.76	3104
ERX15007115	Blood	NA	blood	NA	ERP180396	ERS26890339	0.982	0.758	34.991	0.890	0.751	0.982	963.05	64204	10273.28	2683
ERX15007116	Blood	NA	blood	NA	ERP180396	ERS26890340	0.982	0.766	34.237	0.890	0.731	0.981	954.84	65980	9564.07	3273
ERX15007117	Blood	NA	blood	NA	ERP180396	ERS26890341	0.982	0.764	45.048	0.889	0.686	0.982	968.51	65418	9927.58	3148
ERX15007118	Blood	NA	blood	NA	ERP180396	ERS26890342	0.983	0.774	45.877	0.882	0.623	0.983	912.35	70360	10813.53	3201
ERX15007119	Blood	NA	blood	NA	ERP180396	ERS26890343	0.983	0.761	46.975	0.885	0.583	0.983	945.37	65975	10027.35	2993
ERX15007120	Blood	NA	blood	NA	ERP180396	ERS26890344	0.983	0.774	34.047	0.887	0.678	0.982	959.2	64304	9821.59	3449
ERX15007125	Blood	NA	blood	NA	ERP180396	ERS26890349	0.982	0.761	52.559	0.883	0.630	0.984	937.75	66324	10092.88	3005
ERX9474771	Liver	NA	liver	NA	ERP139499	ERS12427028	0.994	0.638	4.988	0.812	0.854	0.827	1565.26	28420	81421.01	299
ERX9474772	Liver	NA	liver	NA	ERP139499	ERS12427029	0.994	0.646	5.042	0.747	0.948	0.924	1701.33	29042	176618.14	2165
SRX11003183	Primary Dermal Fibroblasts	NA	Primary dermal fibroblasts	Primary dermal fibroblasts	SRP321573	SRS9077390	0.978	0.616	22.309	0.893	0.811	0.980	5585.52	71535	386170.35	2336
SRX1360781	Skin Fibroblast	NA	skin fibroblast	Astro_origin	SRP065186	SRS1124514	0.995	0.633	38.866	0.857	0.861	0.979	2524.54	69349	513932.61	1717
SRX1360782	Skin Fibroblast	NA	skin fibroblast	GSF74	SRP065186	SRS1124513	0.996	0.653	42.703	0.857	0.898	0.981	1598.49	72469	358481.46	2041
SRX1360783	Skin Fibroblast	NA	skin fibroblast	GSF102	SRP065186	SRS1124512	0.996	0.641	39.655	0.858	0.883	0.979	1268.7	74029	173202.51	3197
SRX1360784	Skin Fibroblast	NA	skin fibroblast	Trakr_origin	SRP065186	SRS1124511	0.995	0.655	30.887	0.857	0.759	0.980	1235.98	58015	293702.89	2334
SRX1360785	Skin Fibroblast	NA	skin fibroblast	CPF100	SRP065186	SRS1124510	0.994	0.638	39.351	0.866	0.891	0.979	1405.83	72364	434855.03	1807
SRX1360786	Skin Fibroblast	NA	skin fibroblast	Yorkshire_1	SRP065186	SRS1124509	0.994	0.647	39.039	0.869	0.841	0.979	1335.56	67126	483532.29	1702
SRX1360787	Skin Fibroblast	NA	skin fibroblast	Yorkshire_2	SRP065186	SRS1124508	0.994	0.661	41.141	0.873	0.804	0.980	1254.92	68929	376517.82	1992
SRX1659592	Sperm	NA	NA	Sperm	SRP072273	SRS1359670	0.995	0.735	9.687	0.824	0.974	0.947	1593.88	50315	39430.02	863
SRX1659593	Sperm	NA	NA	Sperm	SRP072273	SRS1359667	0.995	0.706	17.019	0.812	0.941	0.960	1517.55	54940	9895.97	4862
SRX1659594	Sperm	NA	NA	Sperm	SRP072273	SRS1359666	0.996	0.754	9.644	0.872	0.858	0.933	1506.48	61640	14038.7	4206
SRX1659595	Sperm	NA	NA	Sperm	SRP072273	SRS1359664	0.996	0.751	5.366	0.863	0.880	0.883	1614.68	57741	24945.74	1942
SRX1659596	Sperm	NA	NA	Sperm	SRP072273	SRS1359663	0.996	0.734	9.911	0.843	0.934	0.947	1515.16	57303	25183.67	1600
SRX1659597	Sperm	NA	NA	Sperm	SRP072273	SRS1359665	0.996	0.734	9.589	0.852	0.946	0.949	1516.14	57360	25395.96	1561
SRX1659598	Sperm	NA	NA	Sperm	SRP072273	SRS1359661	0.995	0.686	11.683	0.816	0.957	0.952	1539.4	52929	37015.17	927
SRX1659599	Sperm	NA	NA	Sperm	SRP072273	SRS1359662	0.995	0.681	18.927	0.809	0.930	0.961	1486.59	56270	9201.1	5416
SRX18115407	Liver	NA	liver	NA	SRP405758	SRS15617738	0.998	0.674	12.112	0.908	0.642	0.959	1358.2	33753	283586.26	2274
SRX18115408	Skeletal Muscle	NA	skeleton muscle	NA	SRP405758	SRS15617739	0.997	0.654	21.589	0.857	0.550	0.963	1231.65	36421	55641.09	1264
SRX219156	Kidney	NA	NA	normal kidney cells	SRP018114	SRS387135	0.997	0.642	45.898	0.874	0.715	0.981	6834.99	83282	612394.98	1872
SRX219157	Kidney	NA	NA	normal kidney cells	SRP018114	SRS387136	0.983	0.658	73.267	0.834	0.776	0.978	7093.69	79478	582698.42	1872
SRX23205279	Blood	NA	whole blood	whole blood	SRP483528	SRS20129627	0.984	0.761	62.518	0.919	0.606	0.984	939.61	67469	9959.55	3000
SRX23205280	Blood	NA	whole blood	whole blood	SRP483528	SRS20129629	0.984	0.782	58.573	0.919	0.574	0.984	918.22	71194	10030.74	3304
SRX23205281	Blood	NA	whole blood	whole blood	SRP483528	SRS20129628	0.984	0.770	56.013	0.909	0.645	0.984	933.23	71133	10648.63	2917
SRX23205282	Blood	NA	whole blood	whole blood	SRP483528	SRS20129630	0.984	0.782	57.047	0.911	0.605	0.984	934.4	71373	10537.57	3237
SRX23205283	Blood	NA	whole blood	whole blood	SRP483528	SRS20129637	0.984	0.779	66.236	0.912	0.600	0.984	938.41	68166	10901.51	2849
SRX23205284	Blood	NA	whole blood	whole blood	SRP483528	SRS20129636	0.984	0.766	61.834	0.914	0.617	0.984	936.12	67831	10064.92	2747
SRX23205285	Blood	NA	whole blood	whole blood	SRP483528	SRS20129638	0.985	0.775	61.479	0.920	0.613	0.984	997.26	64391	10669.91	3015
SRX23205286	Blood	NA	whole blood	whole blood	SRP483528	SRS20129639	0.984	0.780	56.455	0.919	0.601	0.984	957.69	70035	10947.4	3431
SRX23205287	Blood	NA	whole blood	whole blood	SRP483528	SRS20129635	0.984	0.777	45.978	0.908	0.638	0.983	972.69	63550	10073.08	3035
SRX23205288	Blood	NA	whole blood	whole blood	SRP483528	SRS20129633	0.985	0.773	56.544	0.918	0.587	0.984	952.05	66454	9833.28	2870
SRX23205289	Blood	NA	whole blood	whole blood	SRP483528	SRS20129634	0.985	0.757	53.300	0.910	0.619	0.983	940.56	65871	9438.84	2725
SRX23205290	Blood	NA	whole blood	whole blood	SRP483528	SRS20129632	0.985	0.776	57.059	0.920	0.613	0.984	916.93	71877	10144.33	3261
SRX23205291	Blood	NA	whole blood	whole blood	SRP483528	SRS20129631	0.984	0.769	51.501	0.905	0.641	0.983	944.76	66211	9770.42	3274
SRX23205292	Blood	NA	whole blood	whole blood	SRP483528	SRS20129649	0.984	0.764	51.442	0.918	0.607	0.983	952.8	66312	9937.38	3246
SRX23205293	Blood	NA	whole blood	whole blood	SRP483528	SRS20129640	0.984	0.771	54.406	0.919	0.601	0.983	949.75	66789	9670.3	3148
SRX23205294	Blood	NA	whole blood	whole blood	SRP483528	SRS20129642	0.985	0.777	59.109	0.917	0.589	0.984	981.05	66759	9916.98	3410
SRX23205295	Blood	NA	whole blood	whole blood	SRP483528	SRS20129648	0.984	0.779	48.558	0.905	0.629	0.983	1004.6	63490	10930.62	3122
SRX23205296	Blood	NA	whole blood	whole blood	SRP483528	SRS20129641	0.984	0.770	53.035	0.920	0.622	0.983	949.08	68253	10267.97	3156
SRX23205297	Blood	NA	whole blood	whole blood	SRP483528	SRS20129645	0.984	0.771	51.441	0.910	0.634	0.983	953.42	66973	10006.23	3367
SRX27723516	Blood	NA	whole blood	whole blood	SRP564832	SRS24116042	0.985	0.771	55.877	0.870	0.601	0.983	902.69	69605	9650.48	2901
SRX27723517	Blood	NA	whole blood	whole blood	SRP564832	SRS24116044	0.985	0.760	53.388	0.867	0.648	0.982	888.84	71052	9760.89	2738
SRX27723518	Blood	NA	whole blood	whole blood	SRP564832	SRS24116043	0.985	0.774	61.265	0.872	0.609	0.983	887.06	73538	9669.19	3239
