accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX14723660	Gonad	NA	gonad	NA	SRP367460	SRS12485751	0.981	0.643	23.906	0.815	0.660	0.971	881.58	36126	13507.58	233
SRX14723661	Gonad	NA	gonad	NA	SRP367460	SRS12485753	0.981	0.649	24.008	0.813	0.661	0.973	873.71	39627	12290.98	371
SRX14723662	Gonad	NA	gonad	NA	SRP367460	SRS12485752	0.980	0.648	21.345	0.805	0.711	0.970	885.74	33466	12188.98	299
SRX14723663	Gonad	NA	gonad	NA	SRP367460	SRS12485750	0.981	0.647	24.670	0.820	0.674	0.972	870.4	39001	13137.56	267
SRX5464564	Ovary	NA	ovary	NA	SRP187508	SRS4438450	0.994	0.670	68.889	0.702	0.778	0.968	974.4	44378	12062.75	295
SRX5464565	Testis	NA	testis	NA	SRP187508	SRS4438451	0.994	0.674	77.161	0.757	0.766	0.967	972.85	45268	17146.72	67
SRX5464566	Testis	NA	testis	NA	SRP187508	SRS4438452	0.994	0.683	62.460	0.679	0.724	0.966	970.47	43247	12008.15	279
SRX5741220	Haploid female fry NO.2	NA	Haploid female fry NO.2	NA	SRP193933	SRS4676740	0.977	0.718	8.955	0.483	0.551	0.954	924.07	30010	9243.9	519
SRX5741221	Haploid female fry NO.1	NA	Haploid female fry NO.1	NA	SRP193933	SRS4676741	0.978	0.743	10.962	0.541	0.635	0.958	917.69	29828	9155.25	521
SRX5741222	Haploid male fry NO.2	NA	Haploid male fry NO.2	NA	SRP193933	SRS4676742	0.974	0.735	12.176	0.532	0.639	0.959	906.7	30427	8743.11	603
SRX5741223	Haploid male fry NO.1	NA	Haploid male fry NO.1	NA	SRP193933	SRS4676743	0.970	0.732	7.683	0.450	0.437	0.949	951.88	29005	9059.56	477
SRX5741224	Diploid female fry NO.2	NA	Diploid female fry NO.2	NA	SRP193933	SRS4676744	0.979	0.718	5.609	0.334	0.255	0.921	989.29	28964	9821.25	421
SRX5741225	Diploid female fry NO.1	NA	Diploid female fry NO.1	NA	SRP193933	SRS4676745	0.979	0.719	11.835	0.538	0.761	0.962	912.55	29818	9645.92	480
SRX5741226	Diploid male fry NO.2	NA	Diploid male fry NO.2	NA	SRP193933	SRS4676746	0.978	0.737	13.785	0.639	0.828	0.964	883.19	31588	9662.08	515
SRX5741227	Diploid male fry NO.1	NA	Diploid male fry NO.1	NA	SRP193933	SRS4676747	0.978	0.728	12.357	0.576	0.749	0.962	910.07	29890	9565.76	475
