tableName	settings
wgEncodeSydhTfbsGm12878Bhlhe40cIggmusSig	1.000000 8856.000000
wgEncodeHaibTfbsH1neuronsNrsfV0422111RawRep1	1.000000 3070.000000
wgEncodeUchicagoTfbsK562Bach1Controlbach1SigRep1	0.000000 7300.945312
wgEncodeUwTfbsGm12878CtcfStdRawRep1	1.000000 2723.000000
wgEncodeSydhTfbsGm12878Brca1a300IggmusSig	1.000000 12366.000000
wgEncodeHaibTfbsH1neuronsNrsfV0422111RawRep2	1.000000 1842.000000
wgEncodeUchicagoTfbsK562Bach1Controlbach1SigRep2	0.000000 6902.023926
wgEncodeUchicagoTfbsK562InputControlbach1SigRep1	0.000000 3043.977295
wgEncodeSydhTfbsGm12878CfosStdSig	0.000000 9471.500000
wgEncodeUwTfbsGm12878CtcfStdRawRep2	1.000000 7099.000000
wgEncodeHaibTfbsH1neuronsPol24h8V0422111RawRep1	1.000000 1377.000000
wgEncodeUwTfbsGm12878InputStdRawRep1	1.000000 8963.000000
wgEncodeUchicagoTfbsK562Ccne1Controlccne1SigRep1	0.000000 4898.631836
wgEncodeSydhTfbsGm12878Chd1a301218aIggmusSig	1.000000 12439.000000
wgEncodeHaibTfbsH1neuronsPol24h8V0422111RawRep2	1.000000 1083.000000
wgEncodeUchicagoTfbsK562Ccne1Controlccne1SigRep2	0.000000 1965.051392
wgEncodeSydhTfbsGm12878Chd2ab68301IggmusSig	1.000000 8305.000000
wgEncodeHaibTfbsH1neuronsTaf1V0422111RawRep1	1.000000 2734.000000
wgEncodeUchicagoTfbsK562InputControlccne1SigRep1	0.000000 2885.748047
wgEncodeUwTfbsK562CtcfStdRawRep1	1.000000 8445.000000
wgEncodeSydhTfbsGm12878Corestsc30189IggmusSig	1.000000 9205.000000
wgEncodeHaibTfbsH1neuronsTaf1V0422111RawRep2	1.000000 1748.000000
wgEncodeUchicagoTfbsK562Cdkn1bControlcdkn1bSigRep1	0.000000 8759.412109
wgEncodeHaibTfbsH1neuronsControlV0422111RawRep1	1.000000 3057.000000
wgEncodeUwTfbsK562CtcfStdRawRep2	1.000000 8080.000000
wgEncodeSydhTfbsGm12878Ctcfsc15914c20StdSig	1.000000 7505.000000
wgEncodeHaibTfbsH1neuronsControlV0422111RawRep2	1.000000 1851.000000
wgEncodeUchicagoTfbsK562Cdkn1bControlcdkn1bSigRep2	0.000000 4513.652344
wgEncodeUwTfbsK562InputStdRawRep1	1.000000 13124.000000
wgEncodeUchicagoTfbsK562InputControlcdkn1bSigRep1	0.000000 2978.743896
wgEncodeHaibTfbsGm12878Atf2sc81188V0422111RawRep1	0.161893 158.330994
wgEncodeSydhTfbsGm12878E2f4IggmusSig	1.000000 9292.000000
wgEncodeUwTfbsA549CtcfStdRawRep1	1.000000 6710.000000
wgEncodeUchicagoTfbsK562Elf1Controlelf1SigRep1	0.000000 4067.161865
wgEncodeHaibTfbsGm12878Atf2sc81188V0422111RawRep2	0.142408 126.814003
wgEncodeSydhTfbsGm12878Ebf1sc137065StdSig	1.000000 10389.000000
wgEncodeUchicagoTfbsK562Elf1Controlelf1SigRep2	0.000000 3796.797363
wgEncodeUwTfbsA549CtcfStdRawRep2	1.000000 8690.000000
wgEncodeHaibTfbsGm12878Atf3Pcr1xRawRep1	0.265103 427.545990
wgEncodeSydhTfbsGm12878Elk112771IggmusSig	1.000000 15938.000000
wgEncodeUchicagoTfbsK562InputControlelf1SigRep1	0.000000 1307.438721
wgEncodeUwTfbsA549InputStdRawRep1	1.000000 12152.000000
wgEncodeUwTfbsCd20ro01778InputStdRawRep1	1.000000 15457.000000
wgEncodeHaibTfbsGm12878Atf3Pcr1xRawRep2	0.219721 145.399994
wgEncodeSydhTfbsGm12878Gcn5StdSig	1.000000 81561.000000
wgEncodeUchicagoTfbsK562EsrControlesrSigRep1	0.000000 3927.312012
wgEncodeUwTfbsCd20ro01794InputStdRawRep1	1.000000 15322.000000
wgEncodeHaibTfbsGm12878BatfPcr1xRawRep1	0.181848 165.481003
wgEncodeSydhTfbsGm12878Ikzf1iknuclaStdSig	1.000000 16841.000000
wgEncodeUchicagoTfbsK562EsrControlesrSigRep2	0.000000 5122.768066
wgEncodeUchicagoTfbsK562InputControlesrSigRep1	0.000000 2649.656982
wgEncodeHaibTfbsGm12878BatfPcr1xRawRep2	0.177558 118.165001
wgEncodeSydhTfbsGm12878Irf3IggmusSig	1.000000 13791.000000
wgEncodeUwTfbsHelas3CtcfStdRawRep1	1.000000 4129.000000
wgEncodeUchicagoTfbsK562EfosControlSig	-19284.970703 7497.709473
wgEncodeSydhTfbsGm12878JundIggrabSig	1.000000 416.000000
wgEncodeHaibTfbsGm12878Bcl11aPcr1xRawRep1	0.181856 137.847000
wgEncodeUwTfbsHelas3CtcfStdRawRep2	1.000000 3763.000000
wgEncodeUchicagoTfbsK562Egata2ControlSig	-3732.796387 6083.967285
wgEncodeHaibTfbsGm12878Bcl11aPcr1xRawRep2	0.159611 359.764008
wgEncodeSydhTfbsGm12878JundStdSig	0.000000 9181.599609
wgEncodeUwTfbsHelas3InputStdRawRep1	1.000000 10388.000000
wgEncodeUchicagoTfbsK562Ehdac8ControlSig	-3635.416016 7391.409180
wgEncodeSydhTfbsGm12878MafkIggmusSig	1.000000 408.000000
wgEncodeHaibTfbsGm12878Bcl3V0416101RawRep1	0.151761 82.292603
wgEncodeUwTfbsHepg2CtcfStdRawRep1	1.000000 2546.000000
wgEncodeUchicagoTfbsK562Ilf2Controlilf2SigRep1	0.000000 24315.562500
wgEncodeHaibTfbsGm12878Bcl3V0416101RawRep2	0.260326 363.350006
wgEncodeSydhTfbsGm12878MaxIggmusSig	1.000000 15789.000000
wgEncodeUchicagoTfbsK562Ilf2Controlilf2SigRep2	0.000000 12078.078125
wgEncodeHaibTfbsGm12878Bclaf101388V0416101RawRep1	0.183709 124.371002
wgEncodeSydhTfbsGm12878Mazab85725IggmusSig	1.000000 12600.000000
wgEncodeUwTfbsHepg2CtcfStdRawRep2	1.000000 5725.000000
wgEncodeUchicagoTfbsK562InputControlilf2SigRep1	0.000000 2649.656982
wgEncodeUwTfbsHepg2InputStdRawRep1	1.000000 7679.000000
wgEncodeHaibTfbsGm12878Bclaf101388V0416101RawRep2	0.150221 104.178001
wgEncodeSydhTfbsGm12878Mxi1IggmusSig	1.000000 13184.000000
wgEncodeUchicagoTfbsK562EjunbControlSig	-11520.261719 17224.816406
wgEncodeHaibTfbsGm12878Cebpbsc150V0422111RawRep1	1.000000 4695.000000
wgEncodeSydhTfbsGm12878Nfe2sc22827StdSig	1.000000 4981.000000
wgEncodeUwTfbsHuvecCtcfStdRawRep1	1.000000 2691.000000
wgEncodeUchicagoTfbsK562EjundControlSig	-4305.450684 19676.619141
wgEncodeHaibTfbsGm12878Cebpbsc150V0422111RawRep2	1.000000 3331.000000
wgEncodeSydhTfbsGm12878NfkbTnfaIggrabSig	0.000000 6696.200195
wgEncodeUchicagoTfbsK562Mll5Controlmll5SigRep1	0.000000 40862.906250
wgEncodeUwTfbsHuvecCtcfStdRawRep2	1.000000 1952.000000
wgEncodeHaibTfbsGm12878Creb1sc240V0422111RawRep1	1.000000 4919.000000
wgEncodeSydhTfbsGm12878NfyaIggmusSig	1.000000 6996.000000
wgEncodeUwTfbsHuvecInputStdRawRep1	1.000000 8683.000000
wgEncodeUchicagoTfbsK562Mll5Controlmll5SigRep2	0.000000 30561.669922
wgEncodeUchicagoTfbsK562InputControlmll5SigRep1	0.000000 2649.656982
wgEncodeHaibTfbsGm12878Creb1sc240V0422111RawRep2	1.000000 2888.000000
wgEncodeSydhTfbsGm12878NfybIggmusSig	1.000000 6516.000000
wgEncodeUchicagoTfbsK562Ncor1Controlncor1SigRep1	0.000000 4757.939453
wgEncodeUwTfbsMcf7CtcfStdRawRep1	1.000000 15641.000000
wgEncodeHaibTfbsGm12878Ebf1sc137065Pcr1xRawRep1	0.108531 129.695007
wgEncodeSydhTfbsGm12878Nrf1IggmusSig	1.000000 9876.000000
wgEncodeUchicagoTfbsK562Ncor1Controlncor1SigRep2	0.000000 5353.922363
wgEncodeHaibTfbsGm12878Ebf1sc137065Pcr1xRawRep2	0.198833 116.863998
wgEncodeSydhTfbsGm12878P300IggmusSig	1.000000 16272.000000
wgEncodeUchicagoTfbsK562InputControlncor1SigRep1	0.000000 4620.328613
wgEncodeUwTfbsMcf7CtcfStdRawRep2	1.000000 15951.000000
wgEncodeUwTfbsMcf7InputStdRawRep1	1.000000 25597.000000
wgEncodeUwTfbsMonocd14ro1746InputStdRawRep1	1.000000 3306.000000
wgEncodeHaibTfbsGm12878Egr1Pcr2xRawRep3	0.148748 119.817001
wgEncodeSydhTfbsGm12878P300sc584IggmusSig	1.000000 20108.000000
wgEncodeUchicagoTfbsK562Nf90Controlnf90SigRep1	0.000000 39173.847656
wgEncodeHaibTfbsGm12878Egr1V0416101RawRep1	0.224233 153.487000
wgEncodeSydhTfbsGm12878P300bStdSig	1.000000 5365.000000
wgEncodeUchicagoTfbsK562Nf90Controlnf90SigRep2	0.000000 245981.375000
wgEncodeUwTfbsAg04449CtcfStdRawRep1	1.000000 2542.000000
wgEncodeUchicagoTfbsK562InputControlnf90SigRep1	0.000000 2649.656982
wgEncodeHaibTfbsGm12878Egr1V0416101RawRep2	0.177257 135.867004
wgEncodeSydhTfbsGm12878Pol2IggmusSig	0.000000 21303.699219
wgEncodeUchicagoTfbsK562Enr4a1ControlSig	-2001.193604 1318.283081
wgEncodeUwTfbsAg04449CtcfStdRawRep2	1.000000 14258.000000
wgEncodeHaibTfbsGm12878Elf1sc631V0416101RawRep1	0.215755 529.677002
