accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
DRX015008	Cell Line	NA	NA	NA	DRP001914	DRS014504	0.993	0.617	6.317	0.856	0.707	0.739	7805.57	41844	873754.24	1127
DRX015009	Cell Line	NA	NA	NA	DRP001914	DRS014505	0.993	0.467	5.368	0.846	0.774	0.740	14946.8	16521	813539.04	1529
DRX015012	Cell Line	NA	NA	NA	DRP001914	DRS014508	0.993	0.620	6.973	0.843	0.612	0.797	7588.3	39692	953301.08	842
DRX015015	Cell Line	NA	NA	NA	DRP001914	DRS014511	0.992	0.458	6.336	0.836	0.690	0.774	14431.02	29657	655977.15	1730
DRX015016	Cell Line	NA	NA	NA	DRP001914	DRS014512	0.993	0.584	5.899	0.852	0.637	0.742	8079.63	31587	951714.84	1182
DRX015017	Cell Line	NA	NA	NA	DRP001914	DRS014513	0.993	0.595	5.511	0.833	0.629	0.737	7396.05	40989	823858.48	1022
DRX077947	IMR90	NA	NA	NA	DRP003407	DRS039492	0.994	0.614	2.984	0.826	0.623	0.852	10431.0	39979	880118.06	1267
DRX077948	IMR90	NA	NA	NA	DRP003407	DRS039492	0.994	0.612	2.992	0.828	0.616	0.853	10443.9	39191	875554.05	1272
DRX077949	IMR90	NA	NA	NA	DRP003407	DRS039492	0.995	0.561	3.043	0.826	0.608	0.854	12207.42	32555	877157.85	1257
DRX077950	IMR90	NA	NA	NA	DRP003407	DRS039492	0.995	0.591	2.591	0.827	0.711	0.828	10518.81	33813	970841.97	1132
DRX077951	IMR90	NA	NA	NA	DRP003407	DRS039492	0.993	0.613	5.681	0.508	0.825	0.910	9269.54	44809	823680.29	1381
DRX077952	IMR90	NA	NA	NA	DRP003407	DRS039492	0.993	0.613	4.977	0.509	0.822	0.897	9006.82	42688	878910.45	1289
DRX077953	IMR90	NA	NA	NA	DRP003407	DRS039492	0.994	0.611	3.750	0.506	0.825	0.864	8529.77	38447	970110.9	1133
DRX077954	IMR90	NA	NA	NA	DRP003407	DRS039492	0.994	0.594	4.088	0.523	0.864	0.879	9559.65	37659	897639.82	1243
DRX077955	IMR90	NA	NA	NA	DRP003407	DRS039492	0.994	0.592	5.329	0.517	0.805	0.907	10031.79	40850	870549.11	1303
DRX077956	IMR90	NA	NA	NA	DRP003407	DRS039492	0.994	0.592	3.837	0.513	0.818	0.868	9311.53	36744	921101.34	1202
DRX077957	IMR90	NA	NA	NA	DRP003407	DRS039492	0.991	0.604	6.579	0.489	0.812	0.926	10092.27	45775	748081.16	1542
DRX077958	IMR90	NA	NA	NA	DRP003407	DRS039492	0.993	0.603	5.333	0.499	0.817	0.909	9960.26	42581	808673.97	1419
