accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX3247634	ERS3224074	NA	NA	NA	ERP114295	ERS3224074	0.960	0.732	15.963	0.764	0.422	0.985	1362.43	33715	25771.31	1856
ERX3247635	ERS3224074	NA	NA	NA	ERP114295	ERS3224074	0.964	0.727	21.143	0.731	0.406	0.987	1311.06	32881	26170.11	1687
ERX3247636	ERS3224074	NA	NA	NA	ERP114295	ERS3224074	0.961	0.736	16.146	0.718	0.473	0.986	1329.2	32871	26196.76	1654
ERX3247637	ERS3224074	NA	NA	NA	ERP114295	ERS3224074	0.972	0.728	16.467	0.712	0.407	0.987	1269.56	40379	28171.17	1470
ERX3247638	ERS3224074	NA	NA	NA	ERP114295	ERS3224074	0.966	0.725	20.132	0.728	0.383	0.985	1286.84	33358	25709.01	1658
ERX3247639	ERS3224074	NA	NA	NA	ERP114295	ERS3224074	0.960	0.731	17.018	0.715	0.442	0.986	1312.6	32822	26772.41	1581
ERX3247640	ERS3224074	NA	NA	NA	ERP114295	ERS3224074	0.950	0.742	17.545	0.735	0.513	0.989	1350.69	34075	16297.74	2865
SRX10193932	Sperm	NA	sperm	sperm	SRP308665	SRS8340450	0.995	0.677	11.915	0.710	0.655	0.939	1586.13	58990	10925.53	4451
SRX10193933	Sperm	NA	sperm	sperm	SRP308665	SRS8340451	0.996	0.620	10.828	0.670	0.638	0.926	1879.82	69643	13286.42	4361
SRX19038213	Placenta	placenta cell	placenta	placenta	SRP417565	SRS16455723	0.932	0.485	14.584	0.466	0.863	0.987	13239.72	49296	367987.23	3089
SRX19038214	Placenta	placenta cell	placenta	placenta	SRP417565	SRS16455724	0.926	0.550	14.585	0.462	0.875	0.988	13683.6	49284	374778.62	3106
SRX19038216	Placenta	placenta cell	placenta	placenta	SRP417565	SRS16455726	0.927	0.658	13.258	0.468	0.870	0.986	1194.02	38274	14399.84	1653
SRX19038217	Placenta	placenta cell	placenta	placenta	SRP417565	SRS16455727	0.933	0.486	13.883	0.458	0.872	0.987	6942.48	54851	451936.46	2340
SRX19038218	Placenta	placenta cell	placenta	placenta	SRP417565	SRS16455728	0.929	0.512	12.176	0.463	0.886	0.986	5326.15	47122	594928.31	1939
SRX19038220	In Vitro Cultured Embryos	embryo	in vitro cultured embryos	in vitro cultured embryos	SRP417565	SRS16455730	0.979	0.400	10.334	0.450	0.758	0.967	12912.49	21208	923361.25	1119
SRX19038221	In Vitro Cultured Embryos	embryo	in vitro cultured embryos	in vitro cultured embryos	SRP417565	SRS16455731	0.978	0.408	13.150	0.480	0.711	0.967	11051.48	24130	948907.58	1017
