accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX10237435	Liver	NA	liver	NA	ERP144122	ERS14455810	0.975	0.774	28.856	0.814	0.781	0.979	931.37	37520	8958.93	859
ERX10237436	Liver	NA	liver	NA	ERP144122	ERS14455811	0.977	0.775	33.392	0.823	0.772	0.980	948.24	38166	9143.63	844
ERX10237441	Testes	spermatocyte	testes	NA	ERP144122	ERS14455816	0.979	0.862	18.482	0.813	0.837	0.980	998.69	26177	9939.46	917
ERX10237442	Testes	spermatocyte	testes	NA	ERP144122	ERS14455817	0.980	0.863	24.114	0.789	0.798	0.983	993.12	26431	9492.46	1125
ERX10237443	Testes	NA	testes	NA	ERP144122	ERS14455818	0.980	0.841	40.681	0.840	0.790	0.982	970.26	27354	10339.34	877
ERX10237444	Testes	NA	testes	NA	ERP144122	ERS14455819	0.980	0.835	23.918	0.838	0.785	0.978	938.12	26584	9935.42	831
ERX10237445	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455820	0.979	0.784	17.985	0.802	0.782	0.982	971.5	24949	9571.78	856
ERX10237446	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455821	0.981	0.818	20.958	0.829	0.801	0.984	975.77	25539	8921.95	1127
ERX10237447	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455822	0.983	0.671	16.371	0.556	0.498	0.976	995.84	21519	9199.36	588
ERX10237448	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455823	0.984	0.667	17.320	0.497	0.451	0.977	986.96	21714	8506.23	756
ERX10237449	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455824	0.979	0.767	3.341	0.782	0.825	0.896	1085.79	23522	12809.13	322
ERX10237450	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455825	0.979	0.774	38.894	0.835	0.818	0.987	863.33	39501	9884.29	792
ERX10237451	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455826	0.982	0.576	12.325	0.434	0.287	0.967	1036.61	27101	9470.64	674
ERX10237452	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455827	0.983	0.544	9.604	0.507	0.346	0.954	1025.13	25323	8410.72	715
ERX10237453	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455828	0.981	0.842	40.684	0.810	0.826	0.987	1009.74	27130	10158.75	995
ERX10237454	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455829	0.983	0.808	40.622	0.789	0.767	0.987	1013.37	27351	10792.6	856
ERX10237455	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455830	0.980	0.814	41.189	0.840	0.795	0.987	917.0	30466	8664.07	1089
ERX10237456	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455831	0.981	0.817	39.203	0.828	0.826	0.987	931.61	29794	9761.17	820
ERX10237457	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455832	0.981	0.748	25.817	0.715	0.513	0.984	960.42	24992	8707.08	1022
ERX10237458	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455833	0.982	0.755	25.193	0.755	0.536	0.983	957.33	25388	9511.55	811
ERX10237459	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455834	0.981	0.790	32.843	0.748	0.653	0.986	999.67	26612	9084.58	1185
ERX10237460	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455835	0.982	0.791	33.660	0.770	0.700	0.986	1004.92	26529	9858.74	975
