accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
DRX001150	Blastocyst	NA	NA	NA	DRP000505	DRS001151	0.984	0.198	7.686	0.664	0.876	0.920	36165.57	11486	0.0	0
DRX001151	Blastocyst	NA	NA	NA	DRP000505	DRS001151	0.986	0.200	7.931	0.781	0.799	0.933	35461.26	11749	571883.01	152
DRX001153	ESC	NA	NA	NA	DRP000505	DRS001152	0.944	0.697	3.422	0.503	0.428	0.742	2514.11	27420	77203.78	906
DRX001173	Sperm	NA	NA	NA	DRP000505	DRS001150	0.961	0.822	2.430	0.781	0.740	0.754	1796.63	52523	254557.92	711
DRX001176	Sperm	NA	NA	NA	DRP000505	DRS001150	0.960	0.811	2.168	0.748	0.706	0.720	1786.93	49196	279365.43	685
DRX001583	Oocytes	NA	NA	NA	DRP000598	DRS001541	0.958	0.371	9.714	0.704	0.421	0.914	20209.35	56953	122347.6	11639
DRX001584	Oocytes	NA	NA	NA	DRP000598	DRS001541	0.960	0.365	1.791	0.706	0.633	0.751	46439.02	8584	318016.54	3597
DRX001585	Oocytes	NA	NA	NA	DRP000598	DRS001542	0.954	0.356	7.248	0.712	0.456	0.909	23416.08	45719	148011.35	9460
DRX001586	Oocytes	NA	NA	NA	DRP000598	DRS001543	0.984	0.068	6.553	0.689	0.452	0.907	0.0	0	2110477.99	168
DRX001587	Oocytes	NA	NA	NA	DRP000598	DRS001544	0.958	0.383	7.057	0.714	0.467	0.908	25927.74	37422	151176.92	9130
DRX001588	Oocytes	NA	NA	NA	DRP000598	DRS001545	0.987	0.038	5.982	0.691	0.480	0.903	412991.36	181	1004267.19	547
DRX001589	Oocytes	NA	NA	NA	DRP000598	DRS001542	0.950	0.348	7.054	0.683	0.467	0.907	23520.81	45099	149667.67	9410
DRX001590	Oocytes	NA	NA	NA	DRP000598	DRS001544	0.954	0.373	5.763	0.690	0.493	0.901	25959.96	36346	166549.0	8027
DRX001591	Oocytes	NA	NA	NA	DRP000598	DRS001547	0.984	0.029	1.991	0.766	0.720	0.774	609231.0	2	1433344.55	273
DRX001592	Oocytes	NA	NA	NA	DRP000598	DRS001547	0.978	0.032	4.049	0.727	0.605	0.882	547440.28	40	1155575.04	353
DRX001797	Primordial Germ	NA	NA	NA	DRP000638	DRS001891	0.988	0.151	2.799	0.629	0.811	0.846	938651.5	2	6329170.12	16
DRX001798	Primordial Germ	NA	NA	NA	DRP000638	DRS001891	0.986	0.143	5.432	0.748	0.591	0.897	0.0	0	3467558.28	36
DRX001799	Primordial Germ	NA	NA	NA	DRP000638	DRS001892	0.986	0.135	3.746	0.645	0.604	0.874	0.0	0	3992665.18	34
DRX001801	Primordial Germ	NA	NA	NA	DRP000638	DRS001892	0.989	0.141	2.965	0.638	0.816	0.856	0.0	0	3953932.12	32
DRX001802	Primordial Germ	NA	NA	NA	DRP000638	DRS001892	0.990	0.182	2.746	0.614	0.827	0.845	838820.0	1	7018994.0	1
DRX001803	Primordial Germ	NA	NA	NA	DRP000638	DRS001893	0.984	0.047	2.432	0.694	0.724	0.815	0.0	0	5101954.73	33
DRX001805	Primordial Germ	NA	NA	NA	DRP000638	DRS001893	0.991	0.031	2.872	0.607	0.831	0.850	849270.67	3	1911305.89	175
DRX001806	Primordial Germ	NA	NA	NA	DRP000638	DRS001893	0.991	0.031	3.055	0.609	0.824	0.860	817962.33	3	1626709.28	274
DRX001807	Primordial Germ	NA	NA	NA	DRP000638	DRS001893	0.991	0.031	2.539	0.583	0.827	0.827	838820.0	1	2070176.61	147
DRX001808	Primordial Germ	NA	NA	NA	DRP000638	DRS001894	0.984	0.033	4.180	0.738	0.663	0.882	782543.0	4	1452450.18	241
DRX001809	Primordial Germ	NA	NA	NA	DRP000638	DRS001894	0.983	0.037	1.672	0.660	0.758	0.735	0.0	0	2674411.6	124
DRX001811	Primordial Germ	NA	NA	NA	DRP000638	DRS001894	0.992	0.027	2.819	0.587	0.842	0.850	672192.38	16	1154846.07	414
DRX001812	Primordial Germ	NA	NA	NA	DRP000638	DRS001894	0.992	0.027	2.678	0.588	0.833	0.840	619064.77	22	1330985.69	262
DRX001815	Primordial Germ	NA	NA	NA	DRP000638	DRS001895	0.978	0.298	10.129	0.752	0.440	0.916	7011.87	61054	293054.33	2383
DRX001816	Primordial Germ	NA	NA	NA	DRP000638	DRS001896	0.985	0.024	10.202	0.700	0.477	0.912	142567.86	3787	535892.88	1098
DRX002684	Primordial Germ	NA	NA	NA	DRP000638	DRS001891	0.989	0.189	2.419	0.595	0.790	0.822	855114.0	2	0.0	0
DRX020987	Testes	NA	testes	NA	DRP002386	DRS016672	0.909	0.759	19.154	0.744	0.343	0.930	1968.81	81986	58623.95	4056
DRX020989	Testes	NA	testes	NA	DRP002386	DRS016674	0.928	0.655	4.471	0.616	0.725	0.895	1861.91	63669	169068.19	1323
DRX020990	Testes	NA	testes	NA	DRP002386	DRS016675	0.926	0.675	3.466	0.585	0.728	0.870	1843.1	60177	276397.16	848
DRX020991	Testes	NA	testes	NA	DRP002386	DRS016676	0.982	0.753	22.581	0.735	0.338	0.931	1659.97	71447	35424.49	4201
DRX020993	Testes	NA	testes	NA	DRP002386	DRS016678	0.986	0.750	21.668	0.686	0.362	0.930	1557.63	74456	33041.01	4278
DRX020995	Testes	NA	testes	NA	DRP002386	DRS016672	0.917	0.742	2.365	0.758	0.587	0.804	1913.24	56325	622789.03	456
DRX020997	Testes	NA	testes	NA	DRP002386	DRS016676	0.991	0.729	2.897	0.766	0.582	0.838	1643.02	43868	138770.04	662
DRX020999	Testes	NA	testes	NA	DRP002386	DRS016678	0.992	0.728	2.970	0.767	0.591	0.842	1644.07	45164	147174.32	604
DRX029817	DRS034088	NA	NA	NA	DRP003273	DRS034088	0.993	0.464	17.658	0.818	0.326	0.922	1857.06	68375	24659.14	5375
DRX029819	DRS034090	NA	NA	NA	DRP003273	DRS034090	0.983	0.718	15.908	0.821	0.352	0.919	1179.96	37401	13081.89	2035
DRX029821	DRS034092	NA	NA	NA	DRP003273	DRS034092	0.994	0.366	15.824	0.828	0.310	0.920	1411.19	26272	1775680.07	324
DRX029829	DRS034094	NA	NA	NA	DRP003273	DRS034094	0.994	0.195	15.499	0.820	0.336	0.917	11765.39	20766	1337980.5	30
