accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX15783163	Embryo	NA	NA	embryo	SRP382295	SRS13476319	0.960	0.499	6.461	0.680	0.825	0.908	5495.13	19471	1398290.98	360
SRX15783164	Embryo	NA	NA	embryo	SRP382295	SRS13476320	0.980	0.415	5.616	0.588	0.746	0.909	7223.32	13489	1045392.27	522
SRX15783175	Embryo	NA	NA	embryo	SRP382295	SRS13476332	0.972	0.444	10.019	0.588	0.821	0.902	5941.64	18119	1263516.48	415
SRX15783178	Embryo	NA	NA	embryo	SRP382295	SRS13476335	0.970	0.453	8.463	0.595	0.736	0.803	4270.87	19261	1158929.37	328
SRX15783181	Embryo	NA	NA	embryo	SRP382295	SRS13476338	0.970	0.473	9.052	0.580	0.779	0.816	4038.56	20780	876230.05	512
SRX15783183	Embryo	NA	NA	embryo	SRP382295	SRS13476340	0.967	0.445	6.301	0.600	0.730	0.794	4447.65	19949	691982.96	563
SRX15783184	Embryo	NA	NA	embryo	SRP382295	SRS13476341	0.964	0.451	5.181	0.602	0.739	0.750	4072.87	19669	705132.3	368
SRX15783185	Embryo	NA	NA	embryo	SRP382295	SRS13476342	0.967	0.424	6.297	0.608	0.724	0.813	4966.56	18768	766562.09	529
SRX15783186	Embryo	NA	NA	embryo	SRP382295	SRS13476343	0.973	0.458	6.994	0.601	0.757	0.911	5597.96	19573	663712.4	772
SRX15783189	Embryo	NA	NA	embryo	SRP382295	SRS13476346	0.978	0.504	8.240	0.668	0.824	0.910	5518.23	20793	1227363.11	440
SRX15783192	Embryo	NA	NA	embryo	SRP382295	SRS13476349	0.975	0.471	4.517	0.663	0.186	0.743	4000.03	19452	431264.14	249
SRX15783198	Embryo	NA	NA	embryo	SRP382295	SRS13476355	0.968	0.465	6.077	0.567	0.835	0.772	3702.73	20160	872645.66	360
SRX15783199	Embryo	NA	NA	embryo	SRP382295	SRS13476356	0.977	0.480	7.863	0.675	0.714	0.927	6080.58	20111	1374095.18	431
SRX15783200	Embryo	NA	NA	7.5_embryonic_disc	SRP382295	SRS13476357	0.973	0.630	2.277	0.717	0.723	0.735	2594.63	22183	204547.63	105
SRX15783201	7.5 trophectoderm	NA	NA	7.5_trophectoderm	SRP382295	SRS13476358	0.980	0.483	3.531	0.696	0.823	0.801	5269.07	17316	1400522.92	420
SRX15783202	Embryo	NA	NA	7.5_embryonic_disc	SRP382295	SRS13476359	0.973	0.602	2.656	0.721	0.531	0.754	2662.28	22249	159618.19	146
SRX15783203	7.5 trophectoderm	NA	NA	7.5_trophectoderm	SRP382295	SRS13476360	0.982	0.477	3.333	0.700	0.728	0.809	5047.78	17585	1690757.84	226
SRX15783204	Embryo	NA	NA	7.5_embryonic_disc	SRP382295	SRS13476361	0.975	0.586	3.067	0.709	0.653	0.787	2994.63	22127	172648.41	181
SRX15783205	7.5 trophectoderm	NA	NA	7.5_trophectoderm	SRP382295	SRS13476362	0.980	0.465	3.739	0.704	0.749	0.792	5117.71	16359	1574777.52	283
SRX15783206	Embryo	NA	NA	7.5_embryonic_disc	SRP382295	SRS13476363	0.973	0.592	2.827	0.717	0.561	0.750	2672.34	21698	171107.41	139
SRX15783207	7.5 trophectoderm	NA	NA	7.5_trophectoderm	SRP382295	SRS13476364	0.982	0.447	3.935	0.679	0.861	0.805	5818.13	14245	1616934.2	332
SRX15783208	Embryo	NA	NA	7.5_embryonic_disc	SRP382295	SRS13476365	0.979	0.557	3.345	0.696	0.766	0.719	2787.21	21642	370343.55	167
SRX15783209	7.5 trophectoderm	NA	NA	7.5_trophectoderm	SRP382295	SRS13476366	0.983	0.450	3.902	0.683	0.812	0.760	5129.49	16495	1936323.43	221
SRX15783210	Embryo	NA	NA	7.5_embryonic_disc	SRP382295	SRS13476367	0.974	0.592	3.296	0.704	0.635	0.743	2689.63	22729	316984.01	205
SRX15783211	Embryo	NA	NA	embryo	SRP382295	SRS13476368	0.973	0.417	9.144	0.613	0.712	0.858	5352.29	17199	1180867.61	388
SRX15783212	7.5 trophectoderm	NA	NA	7.5_trophectoderm	SRP382295	SRS13476369	0.982	0.453	3.479	0.680	0.826	0.790	5740.2	14382	1800217.82	237
SRX15783214	Embryo	NA	NA	embryo	SRP382295	SRS13476371	0.972	0.456	4.778	0.579	0.839	0.725	4115.94	18387	1997546.03	186
SRX15783216	Embryo	NA	NA	embryo	SRP382295	SRS13476373	0.979	0.511	8.958	0.680	0.768	0.922	5348.07	22091	995903.27	646
SRX15783220	Embryo	NA	NA	embryo	SRP382295	SRS13476377	0.967	0.490	4.679	0.642	0.235	0.717	3774.27	20804	282137.29	323
SRX15783221	Embryo	NA	NA	embryo	SRP382295	SRS13476378	0.975	0.543	3.522	0.653	0.310	0.708	3273.43	21925	292297.96	261
SRX15783234	Embryo	NA	NA	embryo	SRP382295	SRS13476391	0.967	0.420	5.392	0.590	0.690	0.898	6824.23	14587	828988.8	542
SRX15783241	Embryo	NA	NA	embryo	SRP382295	SRS13476398	0.973	0.405	6.189	0.577	0.747	0.931	8264.93	11525	885650.9	744
SRX15783249	Embryo	NA	NA	embryo	SRP382295	SRS13476406	0.982	0.433	5.044	0.586	0.750	0.898	6282.97	15275	1274080.7	327
SRX24865127	Embryo	NA	NA	embryo	SRP382295	SRS21574897	0.976	0.558	3.410	0.745	0.267	0.798	4256.75	26096	381402.68	571
SRX24865132	Sperm	NA	NA	sperm	SRP382295	SRS21574902	0.983	0.693	2.252	0.765	0.251	0.715	1958.16	27775	189431.03	31
SRX24865134	Sperm	NA	NA	sperm	SRP382295	SRS21574904	0.987	0.675	2.369	0.768	0.204	0.723	1977.16	27752	165648.04	51
SRX26697038	Blast	NA	NA	immortalised male opossum fibroblast	SRP544761	SRS23189271	0.985	0.490	5.462	0.670	0.599	0.868	6012.8	27927	900141.85	1484
SRX26697039	Blast	NA	NA	immortalised male opossum fibroblast	SRP544761	SRS23189272	0.984	0.498	5.008	0.679	0.646	0.851	5717.05	26183	980102.91	1345
SRX26697040	Blast	NA	NA	immortalised male opossum fibroblast	SRP544761	SRS23189273	0.986	0.499	5.852	0.705	0.667	0.878	6034.17	30941	874331.88	1528
SRX26697041	Blast	NA	NA	immortalised male opossum fibroblast	SRP544761	SRS23189274	0.983	0.381	5.204	0.666	0.714	0.841	5936.87	13525	985129.18	1313
SRX26697042	Blast	NA	NA	immortalised male opossum fibroblast	SRP544761	SRS23189275	0.985	0.376	5.974	0.674	0.743	0.886	6536.19	17004	881454.49	1485
