accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX11037415	Blood	NA	BLOOD	NA	ERP139937	ERS14261933	0.992	0.793	9.622	0.778	0.310	0.944	1265.97	42438	15657.28	2070
ERX11037416	Blood	NA	BLOOD	NA	ERP139937	ERS14261933	0.992	0.793	9.972	0.774	0.281	0.946	1274.58	41752	15547.53	2198
ERX11037417	Blood	NA	BLOOD	NA	ERP139937	ERS14261933	0.992	0.793	7.285	0.766	0.237	0.926	1312.84	37803	26539.95	1367
ERX11037418	Blood	NA	BLOOD	NA	ERP139937	ERS14261933	0.994	0.796	9.139	0.644	0.153	0.923	1325.49	41435	14407.71	2332
ERX1264921	Ovary	NA	NA	NA	ERP013585	ERS1019644	0.994	0.574	2.231	0.807	0.586	0.738	2517.94	27317	148239.34	349
ERX4273490	Primordial Germ	NA	primordial germ cell	NA	ERP122776	ERS4808426	0.994	0.589	2.796	0.802	0.826	0.774	1918.48	30939	74956.73	335
ERX5014586	Pig large white Liver 30dpf	NA	NA	NA	ERP126677	ERS5621001	0.998	0.600	17.614	0.823	0.676	0.982	1120.7	36570	34783.6	1647
ERX5014589	Pig large white Small Intestine 30dpf	NA	NA	NA	ERP126677	ERS5620987	0.997	0.763	21.163	0.828	0.610	0.981	1116.44	61322	21370.8	2497
ERX5014591	Pig large white Lung 30dpf	NA	NA	NA	ERP126677	ERS5620991	0.997	0.756	18.887	0.826	0.641	0.982	1115.08	54015	21810.03	2401
ERX5014593	Pig large white Mesonephros 30dpf	NA	NA	NA	ERP126677	ERS5620996	0.997	0.749	17.477	0.828	0.660	0.979	1141.39	45212	22979.3	2602
ERX5014596	Pig large white Hindbrain 30dpf	NA	NA	NA	ERP126677	ERS5620988	0.997	0.790	19.065	0.825	0.651	0.980	1260.16	58997	25299.61	2755
ERX5014598	Pig large white Skin 30dpf	NA	NA	NA	ERP126677	ERS5620995	0.997	0.754	22.152	0.823	0.616	0.986	1134.75	61461	22608.56	2480
ERX5014600	Pig large white Hindlimb muscle 30dpf	NA	NA	NA	ERP126677	ERS5620990	0.997	0.768	19.437	0.828	0.666	0.978	1167.94	57066	21340.71	2704
ERX5014602	Liver	NA	liver	NA	ERP126677	ERS5620997	0.998	0.585	19.554	0.820	0.659	0.980	1158.9	37940	23436.31	2060
ERX5014604	Small Intestine	NA	small intestine	NA	ERP126677	ERS5620999	0.997	0.754	19.208	0.826	0.663	0.979	1290.69	57169	22761.49	2403
ERX5014606	Lung	NA	lung	NA	ERP126677	ERS5621003	0.997	0.740	20.857	0.820	0.674	0.984	1304.35	64593	22448.03	2230
ERX5014608	Cerebellum	NA	cerebellum	NA	ERP126677	ERS5620986	0.997	0.767	20.127	0.828	0.641	0.979	1335.83	76327	30065.82	2658
ERX5014610	Skin Of Back	NA	skin of back	NA	ERP126677	ERS5620994	0.997	0.768	20.610	0.829	0.647	0.978	1288.68	63758	23234.06	2559
ERX5014612	Kidney	NA	kidney	NA	ERP126677	ERS5620989	0.997	0.745	20.560	0.823	0.652	0.982	1276.44	65686	23014.85	2664
ERX5014614	Hindlimb Muscle	NA	hindlimb muscle	NA	ERP126677	ERS5621002	0.998	0.709	19.097	0.804	0.675	0.983	1421.35	67471	33697.69	2913
ERX5014617	Liver	NA	liver	NA	ERP126677	ERS5620993	0.997	0.703	10.607	0.829	0.624	0.958	1485.46	40366	73187.2	3959
ERX5014618	Liver	NA	liver	NA	ERP126677	ERS5620993	0.997	0.703	10.292	0.830	0.614	0.957	1500.77	39331	68992.36	4069
ERX5014620	Lung	NA	lung	NA	ERP126677	ERS5621000	0.997	0.735	16.330	0.827	0.697	0.977	1282.13	51134	25825.0	2298
ERX5014621	Lung	NA	lung	NA	ERP126677	ERS5621000	0.997	0.737	2.406	0.829	0.708	0.806	1821.69	32308	85712.69	623
ERX5014623	Kidney	NA	kidney	NA	ERP126677	ERS5621006	0.997	0.739	18.289	0.794	0.642	0.976	1238.76	61253	26571.76	2655
ERX5014625	Ileum	NA	ileum	NA	ERP126677	ERS5620992	0.997	0.760	17.395	0.822	0.694	0.977	1226.31	50129	20080.04	2511
ERX5014628	Cerebellum	NA	cerebellum	NA	ERP126677	ERS5621005	0.996	0.745	16.184	0.826	0.704	0.978	1332.86	84039	55065.74	2545
