accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
DRX119166	Oocyte	oocyte	NA	NA	DRP004151	DRS061074	0.969	0.252	4.530	0.693	0.733	0.917	52584.51	17226	231498.88	6488
DRX119167	Oocyte	oocyte	NA	NA	DRP004151	DRS061075	0.969	0.251	3.545	0.663	0.721	0.883	57752.98	13034	256764.39	5738
DRX119168	Oocyte	oocyte	NA	NA	DRP004151	DRS061076	0.970	0.276	3.941	0.683	0.764	0.895	75788.72	7625	256777.39	6005
DRX119169	Oocyte	oocyte	NA	NA	DRP004151	DRS061077	0.968	0.254	2.899	0.673	0.761	0.831	69486.41	7720	287295.01	4986
DRX119170	Sperm	sperm	NA	NA	DRP004151	DRS061078	0.991	0.754	7.899	0.553	0.780	0.935	1567.39	66829	76482.05	1264
DRX119171	Sperm	sperm	NA	NA	DRP004151	DRS061079	0.991	0.762	7.409	0.549	0.788	0.932	1522.42	63329	55237.89	1386
DRX119172	Sperm	sperm	NA	NA	DRP004151	DRS061080	0.992	0.767	6.166	0.534	0.824	0.917	1637.93	64177	104102.53	980
ERX202454	Left Ventricle	NA	NA	NA	ERP002215	ERS212421	0.922	0.630	8.182	0.964	0.999	0.710	1122.62	34566	46197.77	264
ERX202455	Left Ventricle	NA	NA	NA	ERP002215	ERS212421	0.924	0.638	9.425	0.966	0.999	0.731	1102.45	35271	41594.35	335
ERX202456	Left Ventricle	NA	NA	NA	ERP002215	ERS212421	0.922	0.654	11.311	0.967	0.998	0.757	1072.14	36111	37202.79	402
ERX202457	Left Ventricle	NA	NA	NA	ERP002215	ERS212422	0.901	0.621	7.638	0.967	0.999	0.703	1100.47	34304	55105.78	224
ERX202458	Left Ventricle	NA	NA	NA	ERP002215	ERS212422	0.901	0.626	8.854	0.967	0.999	0.726	1077.8	35417	48515.53	305
ERX202464	Left Ventricle	NA	NA	NA	ERP002215	ERS212424	0.906	0.622	8.010	0.966	0.999	0.708	1102.94	34198	48080.24	319
ERX202465	Left Ventricle	NA	NA	NA	ERP002215	ERS212424	0.913	0.624	8.912	0.968	0.999	0.722	1106.08	34708	41513.6	375
ERX202466	Left Ventricle	NA	NA	NA	ERP002215	ERS212424	0.913	0.637	11.205	0.968	0.998	0.754	1072.58	35725	33146.15	518
ERX9474768	Liver	NA	liver	NA	ERP139499	ERS12427025	0.993	0.693	10.151	0.787	0.653	0.979	1280.81	47356	10540.73	3721
SRX10124989	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279422	0.973	0.717	7.309	0.796	0.347	0.935	1310.28	38134	32219.67	889
SRX10124990	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279423	0.972	0.710	4.150	0.790	0.177	0.874	1499.86	35354	43304.99	649
SRX10124991	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279424	0.992	0.709	5.494	0.772	0.554	0.932	1499.5	36858	27784.02	1214
SRX10124992	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279425	0.991	0.715	5.918	0.782	0.519	0.941	1417.36	38900	19185.01	1640
SRX10124993	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279427	0.972	0.706	3.537	0.784	0.192	0.842	1586.21	32580	53025.52	563
SRX10124994	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279426	0.974	0.713	5.547	0.792	0.343	0.917	1384.03	37841	39623.52	702
SRX10124995	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279429	0.973	0.706	4.144	0.787	0.282	0.881	1552.64	34357	44409.43	629
SRX10124996	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279428	0.962	0.713	5.043	0.564	0.367	0.899	1392.15	36302	44461.74	621
SRX10124997	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279430	0.991	0.702	3.085	0.790	0.213	0.845	1906.28	29674	44152.06	758
SRX10124998	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279431	0.991	0.720	4.241	0.774	0.333	0.857	1829.16	31465	28416.08	1199
SRX10124999	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279432	0.975	0.715	5.992	0.790	0.352	0.922	1367.28	36726	37160.27	840
SRX10125000	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279433	0.976	0.709	4.739	0.790	0.263	0.898	1445.86	36903	45594.14	634
SRX10125001	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279434	0.992	0.711	5.487	0.785	0.481	0.929	1510.75	37457	28355.18	1153
SRX10125002	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279435	0.991	0.706	5.362	0.772	0.486	0.932	1493.47	39262	25691.67	1480
SRX10125003	Brain Hippocampal	NA	Brain hippocampal tissue	Brain hippocampal tissue	SRP306996	SRS8279436	0.977	0.706	4.881	0.780	0.236	0.900	1499.8	37170	38637.9	753
