accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX9474773	Liver	NA	liver	NA	ERP139499	ERS12427030	0.956	0.664	10.107	0.783	0.848	0.932	1439.33	35915	39938.56	1117
ERX9474774	Liver	NA	liver	NA	ERP139499	ERS12427031	0.987	0.690	17.844	0.760	0.894	0.989	1417.69	50726	66610.74	6162
SRX10468656	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598951	0.974	0.734	9.206	0.852	0.704	0.985	1563.83	40956	41624.69	1635
SRX10468657	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598952	0.979	0.748	6.425	0.867	0.726	0.977	1601.05	40117	45473.51	1385
SRX10468658	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8598953	0.980	0.741	7.480	0.867	0.713	0.978	1581.93	48649	44177.14	1485
SRX10468659	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598954	0.975	0.730	7.692	0.851	0.696	0.981	1678.82	39227	40298.46	1677
SRX10468660	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598955	0.978	0.754	7.037	0.868	0.724	0.976	1790.07	41124	49702.72	1341
SRX10468661	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8598956	0.979	0.736	7.769	0.863	0.704	0.980	1670.12	47494	46887.32	1443
SRX10468662	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598957	0.976	0.737	7.523	0.864	0.699	0.980	1732.26	39819	42936.07	1617
SRX10468663	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598958	0.978	0.752	8.269	0.852	0.707	0.984	1547.6	41017	46745.6	1355
SRX10468664	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8598959	0.980	0.740	7.702	0.860	0.715	0.980	1585.91	47365	43495.23	1507
SRX10468665	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598960	0.975	0.740	9.250	0.858	0.701	0.984	1606.82	40056	40031.38	1726
SRX10468666	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598961	0.980	0.728	8.012	0.856	0.706	0.982	1694.88	44951	46318.61	1501
SRX10468667	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8598962	0.980	0.726	8.367	0.860	0.718	0.982	1651.69	49590	49349.15	1400
SRX10468668	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598963	0.974	0.725	7.847	0.857	0.718	0.982	1754.46	40712	43254.0	1687
SRX10468669	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598964	0.981	0.723	7.465	0.860	0.730	0.981	1629.23	45668	48424.52	1367
SRX10468670	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8598965	0.979	0.737	8.400	0.860	0.699	0.983	1617.16	49263	47573.37	1481
SRX10468671	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598966	0.976	0.719	6.920	0.860	0.715	0.980	1741.79	40805	43253.69	1630
SRX10468672	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598967	0.978	0.746	7.503	0.857	0.713	0.980	1683.52	42988	45836.7	1444
SRX10468673	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8598968	0.979	0.738	9.427	0.860	0.704	0.984	1561.75	50476	45159.34	1510
SRX10468674	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598969	0.974	0.739	9.608	0.854	0.701	0.984	1692.24	42805	46437.08	1496
SRX10468675	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598970	0.979	0.744	12.628	0.861	0.702	0.987	1528.09	50878	31630.92	2137
SRX10468676	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8598971	0.979	0.733	9.714	0.861	0.695	0.985	1530.0	51935	42735.09	1630
SRX10468677	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8598972	0.974	0.746	5.415	0.855	0.756	0.957	1938.03	36918	59447.26	1132
SRX10468678	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8598973	0.980	0.738	8.614	0.860	0.683	0.983	1569.57	45134	47510.17	1383
