accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX4261479	Ovary	NA	ovary	NA	ERP122667	SRS4829395	0.975	0.654	19.694	0.846	0.746	0.961	1180.36	58054	11851.27	1328
ERX4261480	Frontal Cortex	NA	frontal cortex	NA	ERP122667	SRS3413640	0.974	0.713	26.170	0.854	0.807	0.963	1249.34	55415	14932.51	2552
ERX4261481	Cerebellum	NA	cerebellum	NA	ERP122667	SRS3413636	0.960	0.752	21.360	0.863	0.820	0.962	1140.66	64059	29078.01	3871
ERX4261482	Rumen	NA	rumen	NA	ERP122667	SRS3413663	0.981	0.655	22.312	0.859	0.805	0.962	1344.82	41879	16174.71	2054
ERX4261483	Lung	NA	lung	NA	ERP122667	SRS3413645	0.980	0.672	21.076	0.868	0.806	0.962	1226.62	40456	13027.64	1752
ERX4261485	Longissimus Dorsi	NA	longissimus dorsi	NA	ERP122667	SRS3413648	0.979	0.662	23.960	0.846	0.809	0.963	1375.53	48720	31133.83	2636
ERX4261486	Biceps Femoris	NA	biceps femoris	NA	ERP122667	SRS3413647	0.979	0.657	26.855	0.863	0.787	0.964	1522.31	51542	59200.35	3440
SRX1067824	Perirenal Adipose	NA	perirenal adipose tissue	Perirenal adipose tissue	SRP059746	SRS967706	0.989	0.672	9.838	0.826	0.943	0.950	1172.23	37286	16162.57	1037
SRX1067825	Perirenal Adipose	NA	perirenal adipose tissue	Perirenal adipose tissue	SRP059746	SRS967705	0.988	0.674	7.048	0.815	0.951	0.942	1266.77	34160	21244.27	798
SRX1067826	Perirenal Adipose	NA	perirenal adipose tissue	Perirenal adipose tissue	SRP059746	SRS967708	0.990	0.670	8.659	0.815	0.945	0.947	1216.09	36615	16682.37	968
SRX1067827	Perirenal Adipose	NA	perirenal adipose tissue	Perirenal adipose tissue	SRP059746	SRS967704	0.990	0.668	10.535	0.818	0.941	0.951	1163.36	35713	14755.39	1163
