accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX25230589	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.608	14.118	0.602	0.952	0.972	924.34	29739	11505.93	284
SRX25230590	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.592	14.459	0.572	0.970	0.975	909.41	29295	10108.0	384
SRX25230591	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.614	11.694	0.642	0.960	0.972	955.07	31747	11827.43	261
SRX25230592	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.624	17.433	0.649	0.966	0.976	881.22	31295	11523.99	281
SRX25230593	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.622	12.741	0.637	0.963	0.973	942.63	29004	11002.12	321
SRX25230594	Gill	NA	gill	NA	SRP342984	SRS21916985	0.995	0.604	15.910	0.570	0.954	0.975	902.38	28622	10505.85	337
SRX25230595	Gill	NA	gill	NA	SRP342984	SRS21916985	0.995	0.598	17.347	0.537	0.939	0.975	868.36	30647	9690.06	425
SRX25230596	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.609	14.646	0.608	0.960	0.975	902.88	28753	10567.16	290
SRX25230597	Gill	NA	gill	NA	SRP342984	SRS21916985	0.995	0.586	16.038	0.572	0.954	0.975	921.5	29373	13987.3	155
SRX25230598	Gill	NA	gill	NA	SRP342984	SRS21916986	0.997	0.639	16.111	0.657	0.960	0.971	921.42	29650	11095.81	317
SRX25230599	Gill	NA	gill	NA	SRP342984	SRS21916986	0.997	0.651	15.777	0.685	0.968	0.971	911.38	28199	10160.15	326
SRX25230600	Gill	NA	gill	NA	SRP342984	SRS21916986	0.997	0.646	17.367	0.693	0.960	0.970	930.8	28058	10875.73	291
SRX25230601	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.632	13.108	0.647	0.962	0.972	928.74	28139	11866.08	224
SRX25230602	Gill	NA	gill	NA	SRP342984	SRS21916986	0.996	0.666	14.899	0.649	0.948	0.969	943.21	28769	10335.81	311
SRX25230603	Gill	NA	gill	NA	SRP342984	SRS21916986	0.996	0.656	16.320	0.628	0.952	0.970	939.29	26994	10235.62	304
SRX25230604	Gill	NA	gill	NA	SRP342984	SRS21916986	0.997	0.648	13.384	0.672	0.954	0.971	948.14	27425	10210.82	352
SRX25230605	Gill	NA	gill	NA	SRP342984	SRS21916986	0.997	0.652	15.463	0.670	0.956	0.968	947.24	27894	10501.85	347
SRX25230606	Gill	NA	gill	NA	SRP342984	SRS21916987	0.996	0.596	16.942	0.545	0.945	0.973	878.49	33074	10955.42	410
SRX25230607	Gill	NA	gill	NA	SRP342984	SRS21916987	0.995	0.595	14.839	0.553	0.936	0.975	878.51	30461	10228.04	345
SRX25230608	Gill	NA	gill	NA	SRP342984	SRS21916987	0.996	0.604	14.738	0.601	0.958	0.974	906.3	29525	10470.92	331
SRX25230609	Gill	NA	gill	NA	SRP342984	SRS21916987	0.996	0.596	15.904	0.566	0.954	0.975	888.42	30495	10783.08	333
SRX25230610	Gill	NA	gill	NA	SRP342984	SRS21916987	0.996	0.609	15.136	0.565	0.957	0.973	890.5	29999	10394.71	350
SRX25230611	Gill	NA	gill	NA	SRP342984	SRS21916987	0.995	0.578	20.740	0.536	0.946	0.976	869.59	32874	12104.92	275
SRX25230612	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.637	12.061	0.653	0.961	0.971	916.13	29600	10455.76	306
SRX25230613	Gill	NA	gill	NA	SRP342984	SRS21916987	0.996	0.622	13.582	0.661	0.963	0.971	931.77	28862	12176.03	212
SRX25230614	Gill	NA	gill	NA	SRP342984	SRS21916987	0.997	0.602	15.065	0.671	0.956	0.974	884.29	31548	10303.08	374
SRX25230615	Gill	NA	gill	NA	SRP342984	SRS21916987	0.996	0.590	16.946	0.591	0.956	0.975	876.15	30887	10083.72	373
SRX25230616	Gill	NA	gill	NA	SRP342984	SRS21916987	0.996	0.608	14.902	0.649	0.955	0.975	880.43	30548	10681.73	293
SRX25230617	Gill	NA	gill	NA	SRP342984	SRS21916987	0.995	0.603	18.130	0.526	0.935	0.974	872.24	30919	11266.37	273
SRX25230618	Gill	NA	gill	NA	SRP342984	SRS21916988	0.994	0.594	12.355	0.623	0.923	0.974	921.15	28890	10089.49	323
SRX25230619	Gill	NA	gill	NA	SRP342984	SRS21916988	0.996	0.615	14.891	0.624	0.958	0.975	888.73	29451	10345.02	325
SRX25230620	Gill	NA	gill	NA	SRP342984	SRS21916988	0.996	0.592	16.660	0.595	0.964	0.976	889.64	29731	10593.72	327
SRX25230621	Gill	NA	gill	NA	SRP342984	SRS21916988	0.996	0.596	15.318	0.569	0.955	0.974	915.06	29168	10850.66	305
SRX25230622	Gill	NA	gill	NA	SRP342984	SRS21916988	0.995	0.588	18.335	0.523	0.942	0.975	877.92	30791	10076.44	382
SRX25230623	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.606	13.074	0.550	0.967	0.973	875.92	30877	10031.13	317
SRX25230624	Gill	NA	gill	NA	SRP342984	SRS21916988	0.996	0.620	13.069	0.642	0.963	0.973	918.51	29260	10483.73	336
SRX25230625	Gill	NA	gill	NA	SRP342984	SRS21916988	0.994	0.574	21.936	0.489	0.918	0.978	842.97	31115	10445.55	304
SRX25230626	Gill	NA	gill	NA	SRP342984	SRS21916988	0.994	0.620	14.199	0.621	0.925	0.976	863.71	30247	9051.97	388
SRX25230627	Gill	NA	gill	NA	SRP342984	SRS21916988	0.995	0.621	14.202	0.654	0.937	0.976	880.05	30887	14036.07	146
SRX25230628	Gill	NA	gill	NA	SRP342984	SRS21916988	0.994	0.605	15.194	0.593	0.941	0.976	888.4	30073	10800.26	298
SRX25230629	Gill	NA	gill	NA	SRP342984	SRS21916988	0.993	0.601	17.162	0.543	0.940	0.976	886.69	30086	10709.6	341
SRX25230630	Gill	NA	gill	NA	SRP342984	SRS21916988	0.994	0.588	15.625	0.601	0.925	0.977	892.45	31866	11588.18	271
SRX25230631	Gill	NA	gill	NA	SRP342984	SRS21916988	0.993	0.611	15.855	0.548	0.932	0.975	886.93	30000	10847.9	333
SRX25230632	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.646	14.288	0.640	0.957	0.972	867.41	30668	13742.07	160
SRX25230633	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.599	14.540	0.566	0.969	0.974	928.37	31488	13395.56	218
SRX25230634	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.623	15.523	0.499	0.941	0.972	930.96	27839	10444.0	306
SRX25230635	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.607	13.885	0.627	0.961	0.973	918.04	31170	10731.48	349
SRX25230636	Gill	NA	gill	NA	SRP342984	SRS21916985	0.996	0.618	12.915	0.622	0.961	0.972	927.0	31022	10179.33	444
