accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX1002598	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916536	0.997	0.916	30.937	0.768	0.883	0.901	1105.75	18937	11815.27	1415
SRX1002599	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916535	0.997	0.912	28.731	0.726	0.878	0.900	1115.49	18872	10965.07	1641
SRX1002600	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916534	0.996	0.906	38.635	0.687	0.842	0.904	1112.86	19515	10279.17	1221
SRX1002601	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916533	0.997	0.883	21.052	0.734	0.911	0.893	1054.67	23540	9316.08	1224
SRX1002602	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916532	0.996	0.023	14.020	0.672	0.510	0.866	373300.0	1	0.0	0
SRX1162705	Brain	NA	brain	tissue	SRP057505	SRS1043924	0.988	0.852	17.324	0.758	0.910	0.878	1164.7	42658	11604.18	2091
SRX18837001	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268966	0.991	0.741	5.489	0.560	0.882	0.887	1310.76	24365	11384.44	874
SRX18837002	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268967	0.992	0.774	5.638	0.649	0.883	0.888	1256.11	24983	12547.55	631
SRX18837003	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268968	0.993	0.786	5.403	0.668	0.897	0.902	1322.82	26208	13212.42	814
SRX18837004	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268969	0.993	0.808	7.397	0.721	0.892	0.914	1194.41	31845	9232.31	1465
SRX18837005	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268970	0.993	0.802	7.572	0.696	0.887	0.922	1173.31	31356	8876.1	1639
SRX18837006	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268971	0.993	0.791	6.819	0.686	0.890	0.920	1172.23	34287	12463.07	1138
SRX18837007	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268972	0.993	0.803	10.131	0.676	0.873	0.930	1101.62	36108	9414.41	1458
SRX18837008	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268973	0.993	0.803	9.277	0.676	0.882	0.927	1064.61	35573	8990.67	1459
SRX18837009	Hindlimb Webbing	NA	hindlimb webbing	hindlimb webbing	SRP414632	SRS16268974	0.993	0.810	8.286	0.699	0.893	0.924	1096.34	32442	8740.43	1618
