accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX24532694	Blood	NA	blood	NA	SRP507248	SRS21278724	0.985	0.449	19.322	0.780	0.758	0.951	1997.76	21096	113104.41	1130
SRX24532695	Blood	NA	blood	NA	SRP507248	SRS21278729	0.985	0.461	18.248	0.773	0.747	0.950	1830.54	21280	102933.11	892
SRX24532696	Blood	NA	blood	NA	SRP507248	SRS21278725	0.985	0.449	19.192	0.771	0.756	0.951	1997.04	20976	101166.2	1144
SRX24532697	Blood	NA	blood	NA	SRP507248	SRS21278733	0.985	0.419	15.860	0.779	0.744	0.948	2415.13	19796	237221.58	609
SRX24532698	Blood	NA	blood	NA	SRP507248	SRS21278726	0.986	0.451	17.595	0.800	0.429	0.944	2225.14	20610	93612.24	1002
SRX24532699	Blood	NA	blood	NA	SRP507248	SRS21278727	0.986	0.456	18.848	0.793	0.412	0.949	1943.73	21431	102997.68	858
SRX24532700	Blood	NA	blood	NA	SRP507248	SRS21278728	0.986	0.442	20.410	0.792	0.391	0.951	2030.32	21041	102177.76	904
SRX24532701	Blood	NA	blood	NA	SRP507248	SRS21278730	0.986	0.455	17.492	0.775	0.417	0.947	2135.71	20239	110289.78	755
SRX24532702	Blood	NA	blood	NA	SRP507248	SRS21278731	0.986	0.462	19.204	0.787	0.410	0.950	1765.82	21686	76841.54	1106
SRX24532703	Blood	NA	blood	NA	SRP507248	SRS21278732	0.986	0.432	20.341	0.776	0.381	0.952	2030.13	21182	107481.09	957
SRX24532704	Blood	NA	blood	NA	SRP507248	SRS21278735	0.986	0.442	20.205	0.773	0.363	0.951	1955.38	21452	105886.03	949
SRX24532705	Blood	NA	blood	NA	SRP507248	SRS21278734	0.986	0.439	18.516	0.785	0.413	0.948	2241.2	20271	102699.2	1017
SRX24532706	Blood	NA	blood	NA	SRP507248	SRS21278736	0.985	0.430	19.168	0.774	0.727	0.950	2221.84	20494	119018.11	824
SRX24532717	Blood	NA	blood	NA	SRP507248	SRS21278747	0.985	0.447	18.302	0.778	0.752	0.950	1928.18	21599	93067.44	1085
SRX24532728	Blood	NA	blood	NA	SRP507248	SRS21278758	0.985	0.446	17.976	0.779	0.742	0.950	1911.01	21384	102507.11	954
SRX24532731	Blood	NA	blood	NA	SRP507248	SRS21278761	0.985	0.422	17.754	0.774	0.734	0.950	2278.51	20026	252688.01	585
SRX24532732	Blood	NA	blood	NA	SRP507248	SRS21278762	0.985	0.421	18.747	0.779	0.744	0.951	2127.51	20662	102372.88	1016
SRX24532733	Blood	NA	blood	NA	SRP507248	SRS21278763	0.985	0.432	20.854	0.771	0.762	0.952	2121.65	20624	117067.51	921
SRX24532734	Blood	NA	blood	NA	SRP507248	SRS21278764	0.985	0.446	19.263	0.780	0.755	0.951	1884.98	21420	87308.6	1041
SRX24532735	Blood	NA	blood	NA	SRP507248	SRS21278765	0.985	0.425	19.305	0.771	0.743	0.951	2170.22	20522	125219.37	870
