accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX10237439	Ovary	oocyte	ovary	NA	ERP144122	ERS14455814	0.977	0.456	3.345	0.842	0.062	0.778	1446.67	24564	18764.02	300
ERX10237440	Ovary	oocyte	ovary	NA	ERP144122	ERS14455815	0.977	0.623	5.783	0.773	0.133	0.906	1134.94	32491	12501.86	451
ERX10237461	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455836	0.974	0.830	11.986	0.495	0.722	0.949	1145.84	42804	7944.3	1712
ERX10237462	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455837	0.975	0.822	13.107	0.495	0.745	0.948	1165.24	43891	7905.76	1919
ERX10237463	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455838	0.981	0.705	8.842	0.569	0.274	0.938	1092.02	37259	7080.11	2048
ERX10237464	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455839	0.981	0.730	12.097	0.594	0.340	0.954	1064.98	40454	6991.79	2147
ERX10237465	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455840	0.981	0.801	22.563	0.512	0.724	0.968	1067.41	46711	8229.84	1959
ERX10237466	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455841	0.980	0.800	17.095	0.500	0.781	0.957	1055.98	46924	7936.17	1990
ERX10237467	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455842	0.980	0.818	23.130	0.507	0.795	0.964	1044.2	48296	8193.34	2035
ERX10237468	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455843	0.980	0.822	18.787	0.512	0.814	0.965	1060.24	45143	7978.36	1951
ERX10237469	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455844	0.980	0.800	19.435	0.743	0.706	0.963	1045.74	46818	7863.38	2093
ERX10237470	Whole Organism	NA	whole organism	NA	ERP144122	ERS14455845	0.981	0.794	16.035	0.755	0.773	0.960	1066.37	45656	7819.91	2011
ERX14058703	Testis	NA	testis	NA	ERP169517	ERS23745088	0.965	0.795	18.168	0.425	0.240	0.960	1068.28	39328	7111.76	2222
ERX14058704	Testis	NA	testis	NA	ERP169517	ERS23745089	0.969	0.815	39.182	0.574	0.565	0.969	1009.21	43804	7536.34	2146
ERX14058705	Testis	NA	testis	NA	ERP169517	ERS23745090	0.967	0.806	33.818	0.654	0.276	0.956	1007.98	42142	7140.97	2112
ERX14058706	Testis	NA	testis	NA	ERP169517	ERS23745091	0.970	0.798	35.501	0.565	0.392	0.974	1020.94	44003	7531.21	2294
ERX4814431	Brain	NA	brain	NA	ERP125923	ERS5474668	0.990	0.779	18.294	0.811	0.792	0.976	837.24	85358	8654.63	1434
ERX4814432	Brain	NA	brain	NA	ERP125923	ERS5474669	0.989	0.777	12.207	0.785	0.618	0.968	887.2	68733	8334.83	1420
ERX4814433	Brain	NA	brain	NA	ERP125923	ERS5474670	0.989	0.786	13.877	0.805	0.755	0.973	848.68	72634	8098.19	1466
ERX4814434	Brain	NA	brain	NA	ERP125923	ERS5474671	0.990	0.781	15.657	0.803	0.766	0.973	836.17	75993	8787.76	1253
SRX1002590	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916544	0.994	0.846	13.467	0.792	0.901	0.907	1002.38	39647	6793.16	2362
SRX1002591	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916543	0.994	0.832	32.489	0.792	0.758	0.932	1025.7	42429	7144.39	2239
SRX1002592	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916542	0.993	0.822	10.504	0.786	0.920	0.903	1038.84	35835	7265.25	1609
SRX1002593	sox10+	NA	sox10+ cells	embryo	SRP057505	SRS916541	0.966	0.858	29.573	0.727	0.722	0.921	980.42	42458	7785.86	1818
SRX1002594	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916540	0.993	0.844	30.299	0.738	0.841	0.927	1030.28	40819	7817.25	1884
SRX1002595	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916539	0.993	0.837	38.379	0.797	0.814	0.934	1085.58	42449	7298.39	2429
SRX1002596	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916538	0.993	0.841	29.500	0.754	0.833	0.925	1029.9	41191	7684.69	1948
SRX1002597	Whole Embryo	NA	whole embryo	embryo	SRP057505	SRS916537	0.997	0.018	25.413	0.728	0.850	0.919	0.0	0	2467976.36	50
SRX1002603	Brain	NA	brain	tissue	SRP057505	SRS916531	0.992	0.775	20.759	0.766	0.913	0.908	947.52	72574	9127.65	1205
SRX11041427	Embryo	NA	embryo	embryo	SRP322195	SRS9110354	0.965	0.734	3.372	0.617	0.619	0.844	1249.9	33233	11328.29	694
SRX11041429	Embryo	NA	embryo	embryo	SRP322195	SRS9110357	0.968	0.820	2.536	0.652	0.855	0.794	1220.04	31020	12677.75	584
SRX11041430	Embryo	NA	embryo	embryo	SRP322195	SRS9110358	0.956	0.225	2.389	0.537	0.592	0.810	0.0	0	0.0	0
SRX11041431	Embryo	NA	embryo	embryo	SRP322195	SRS9110359	0.968	0.812	3.983	0.652	0.715	0.881	1230.52	32806	10760.1	882
SRX11041432	Embryo	NA	embryo	embryo	SRP322195	SRS9110360	0.968	0.107	4.351	0.644	0.633	0.889	0.0	0	21300239.0	1
SRX11041439	Larva Head	NA	larva head	larva	SRP322195	SRS9110367	0.976	0.742	3.582	0.665	0.698	0.880	1327.32	33022	11293.73	644
SRX11041440	Larva Head	NA	larva head	larva	SRP322195	SRS9110368	0.976	0.332	2.701	0.656	0.669	0.837	0.0	0	4438000.0	1
