hsa	Homo sapiens (human)
mmu	Mus musculus (mouse)
rno	Rattus norvegicus (rat)
bta	Bos taurus (cow)
xla	Xenopus laevis (African clawed frog)
dme	Drosophila melanogaster (fruit fly)
cel	Caenorhabditis elegans (nematode)
ath	Arabidopsis thaliana (thale cress)
cme	Cyanidioschyzon merolae
sce	Saccharomyces cerevisiae
cal	Candida albicans
spo	Schizosaccharomyces pombe
cne	Cryptococcus neoformans JEC21
ddi	Dictyostelium discoideum
tcr	Trypanosoma cruzi
lma	Leishmania major
ehi	Entamoeba histolytica
eco	Escherichia coli K-12 MG1655
ecj	Escherichia coli K-12 W3110
ece	Escherichia coli O157 EDL933 (EHEC)
ecs	Escherichia coli O157 Sakai (EHEC)
ecc	Escherichia coli CFT073 (UPEC)
sty	Salmonella enterica serovar Typhi CT18
stt	Salmonella enterica serovar Typhi Ty2
spt	Salmonella enterica serovar Paratyphi A
sec	Salmonella enterica serovar Choleraesuis
stm	Salmonella typhimurium LT2
ype	Yersinia pestis CO92
ypk	Yersinia pestis KIM
ypm	Yersinia pestis Mediaevails
ypa	Yersinia pestis Antiqua
ypn	Yersinia pestis Nepal516
yps	Yersinia pseudotuberculosis
sfl	Shigella flexneri 301
sfx	Shigella flexneri 2457T
ssn	Shigella sonnei
eca	Erwinia carotovora
plu	Photorhabdus luminescens
buc	Buchnera aphidicola APS
bas	Buchnera aphidicola Sg
bab	Buchnera aphidicola Bp
wbr	Wigglesworthia brevipalpis
bfl	Blochmannia floridanus
bpn	Blochmannia pennsylvanicus
sgl	Sodalis glossinidius
hin	Haemophilus influenzae (serotype d)
hit	Haemophilus influenzae 86-028NP (nontypeable)
hdu	Haemophilus ducreyi
pmu	Pasteurella multocida
msu	Mannheimia succiniciproducens
xfa	Xylella fastidiosa 9a5c
xft	Xylella fastidiosa Temecula1
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xcb	Xanthomonas campestris pv. campestris 8004
xcv	Xanthomonas campestris pv. vesicatoria
xac	Xanthomonas axonopodis
xoo	Xanthomonas oryzae KACC10331
vch	Vibrio cholerae
vvu	Vibrio vulnificus CMCP6
vvy	Vibrio vulnificus YJ016
vpa	Vibrio parahaemolyticus
vfi	Vibrio fischeri
ppr	Photobacterium profundum
pae	Pseudomonas aeruginosa
ppu	Pseudomonas putida
pst	Pseudomonas syringae pv. tomato DC3000
psb	Pseudomonas syringae pv. syringae B728a
psp	Pseudomonas syringae pv. phaseolicola 1448A
pfl	Pseudomonas fluorescens Pf-5
pfo	Pseudomonas fluorescens PfO-1
par	Psychrobacter arcticum
aci	Acinetobacter sp. ADP1
son	Shewanella oneidensis
ilo	Idiomarina loihiensis
cps	Colwellia psychrerythraea
pha	Pseudoalteromonas haloplanktis
cbu	Coxiella burnetii
lpn	Legionella pneumophila Philadelphia 1
lpf	Legionella pneumophila Lens
lpp	Legionella pneumophila Paris
mca	Methylococcus capsulatus
ftu	Francisella tularensis subsp. tularensis
ftl	Francisella tularensis subsp. holarctica
tcx	Thiomicrospira crunogena
noc	Nitrosococcus oceani
hch	Hahella chejuensis
nme	Neisseria meningitidis MC58 (serogroup B)
nma	Neisseria meningitidis Z2491 (serogroup A)
ngo	Neisseria gonorrhoeae
cvi	Chromobacterium violaceum
rso	Ralstonia solanacearum
reu	Ralstonia eutropha
bma	Burkholderia mallei
bps	Burkholderia pseudomallei K96243
bpm	Burkholderia pseudomallei 1710b
bur	Burkholderia sp. 383
bpe	Bordetella pertussis
bpa	Bordetella parapertussis
bbr	Bordetella bronchiseptica
neu	Nitrosomonas europaea
nmu	Nitrosospira multiformis
eba	Azoarcus sp. EbN1
dar	Dechloromonas aromatica
tbd	Thiobacillus denitrificans
hpy	Helicobacter pylori 26695
hpj	Helicobacter pylori J99
hhe	Helicobacter hepaticus
wsu	Wolinella succinogenes
tdn	Thiomicrospira denitrificans
cje	Campylobacter jejuni NCTC11168
cjr	Campylobacter jejuni RM1221
gsu	Geobacter sulfurreducens
gme	Geobacter metallireducens
pca	Pelobacter carbinolicus
dvu	Desulfovibrio vulgaris Hildenborough
dde	Desulfovibrio desulfuricans
bba	Bdellovibrio bacteriovorus
dps	Desulfotalea psychrophila
rpr	Rickettsia prowazekii
rty	Rickettsia typhi
rco	Rickettsia conorii
rfe	Rickettsia felis
wol	Wolbachia wMel
wbm	Wolbachia wBm
pub	Pelagibacter ubique
ama	Anaplasma marginale
eru	Ehrlichia ruminantium Welgevonden (South Africa)
erw	Ehrlichia ruminantium Welgevonden (France)
erg	Ehrlichia ruminantium Gardel
ecn	Ehrlichia canis
mlo	Mesorhizobium loti
sme	Sinorhizobium meliloti
atu	Agrobacterium tumefaciens C58 (UWash/Dupont)
atc	Agrobacterium tumefaciens C58 (Cereon)
ret	Rhizobium etli
bme	Brucella melitensis
bms	Brucella suis
bmb	Brucella abortus
bja	Bradyrhizobium japonicum
rpa	Rhodopseudomonas palustris CGA009
rpb	Rhodopseudomonas palustris HaA2
rpc	Rhodopseudomonas palustris BisB18
nwi	Nitrobacter winogradskyi
bhe	Bartonella henselae
bqu	Bartonella quintana
ccr	Caulobacter crescentus
sil	Silicibacter pomeroyi
rsp	Rhodobacter sphaeroides
zmo	Zymomonas mobilis
gox	Gluconobacter oxydans
rru	Rhodospirillum rubrum
bsu	Bacillus subtilis
bha	Bacillus halodurans
ban	Bacillus anthracis Ames
bar	Bacillus anthracis Ames 0581
baa	Bacillus anthracis A2012
bat	Bacillus anthracis Sterne
bce	Bacillus cereus ATCC 14579
bca	Bacillus cereus ATCC 10987
bcz	Bacillus cereus ZK
btk	Bacillus thuringiensis
bli	Bacillus licheniformis ATCC 14580
bld	Bacillus licheniformis DSM13
bcl	Bacillus clausii
oih	Oceanobacillus iheyensis
gka	Geobacillus kaustophilus
sau	Staphylococcus aureus N315
sav	Staphylococcus aureus Mu50
sam	Staphylococcus aureus MW2
sar	Staphylococcus aureus MRSA252
sas	Staphylococcus aureus MSSA476
sac	Staphylococcus aureus COL
sab	Staphylococcus aureus RF122
saa	Staphylococcus aureus USA300
sep	Staphylococcus epidermidis ATCC 12228
ser	Staphylococcus epidermidis RP62A
sha	Staphylococcus haemolyticus
ssp	Staphylococcus saprophyticus
lmo	Listeria monocytogenes EGD-e
lmf	Listeria monocytogenes F2365
lin	Listeria innocua
lla	Lactococcus lactis
spy	Streptococcus pyogenes SF370 (serotype M1)
spz	Streptococcus pyogenes MGAS5005 (serotype M1)
spm	Streptococcus pyogenes MGAS8232 (serotype M18)
spg	Streptococcus pyogenes MGAS315 (serotype M3)
sps	Streptococcus pyogenes SSI-1 (serotype M3)
spa	Streptococcus pyogenes MGAS10394 (serotype M6)
spb	Streptococcus pyogenes MGAS6180 (serotype M28)
spn	Streptococcus pneumoniae TIGR4
spr	Streptococcus pneumoniae R6
sag	Streptococcus agalactiae 2603 (serotype V)
san	Streptococcus agalactiae NEM316 (serotype III)
sak	Streptococcus agalactiae A909 (serotype Ia)
smu	Streptococcus mutans
stc	Streptococcus thermophilus CNRZ1066
stl	Streptococcus thermophilus LMG18311
lpl	Lactobacillus plantarum
ljo	Lactobacillus johnsonii
lac	Lactobacillus acidophilus
lsa	Lactobacillus sakei
efa	Enterococcus faecalis
cac	Clostridium acetobutylicum
cpe	Clostridium perfringens
ctc	Clostridium tetani E88
chy	Carboxydothermus hydrogenoformans
tte	Thermoanaerobacter tengcongensis
mta	Moorella thermoacetica
mge	Mycoplasma genitalium
mpn	Mycoplasma pneumoniae
mpu	Mycoplasma pulmonis
mpe	Mycoplasma penetrans
mga	Mycoplasma gallisepticum
mmy	Mycoplasma mycoides
mmo	Mycoplasma mobile
mhy	Mycoplasma hyopneumoniae 232
mhj	Mycoplasma hyopneumoniae J
mhp	Mycoplasma hyopneumoniae 7448
msy	Mycoplasma synoviae
uur	Ureaplasma urealyticum
poy	Phytoplasma OY
mfl	Mesoplasma florum
mtu	Mycobacterium tuberculosis H37Rv
mtc	Mycobacterium tuberculosis CDC1551
mbo	Mycobacterium bovis
mle	Mycobacterium leprae
mpa	Mycobacterium avium paratuberculosis
cgl	Corynebacterium glutamicum (Kyowa Hakko)
cgb	Corynebacterium glutamicum (Bielefeld)
cef	Corynebacterium efficiens
cjk	Corynebacterium jeikeium
nfa	Nocardia farcinica
cdi	Corynebacterium diphtheriae
sco	Streptomyces coelicolor
sma	Streptomyces avermitilis
twh	Tropheryma whipplei Twist
tws	Tropheryma whipplei TW08/27
lxx	Leifsonia xyli xyli CTCB07
pac	Propionibacterium acnes
tfu	Thermobifida fusca
fra	Frankia sp. CcI3
blo	Bifidobacterium longum
sth	Symbiobacterium thermophilum
fnu	Fusobacterium nucleatum
rba	Rhodopirellula baltica
ctr	Chlamydia trachomatis serovar D
cta	Chlamydia trachomatis serovar A
cmu	Chlamydia muridarum
cpn	Chlamydophila pneumoniae CWL029
cpa	Chlamydophila pneumoniae AR39
cpj	Chlamydophila pneumoniae J138
cpt	Chlamydophila pneumoniae TW183
cca	Chlamydophila caviae
cab	Chlamydophila abortus
pcu	Parachlamydia sp. UWE25
bbu	Borrelia burgdorferi
bga	Borrelia garinii
tpa	Treponema pallidum
tde	Treponema denticola
lil	Leptospira interrogans serovar lai
lic	Leptospira interrogans serovar Copenhageni
syn	Synechocystis sp. PCC6803
syw	Synechococcus sp. WH8102
syc	Synechococcus sp. PCC6301
syf	Synechococcus sp. PCC7942
syd	Synechococcus sp. CC9605
sye	Synechococcus sp. CC9902
tel	Thermosynechococcus elongatus
gvi	Gloeobacter violaceus
ana	Anabaena sp. PCC7120
ava	Anabaena variabilis
pma	Prochlorococcus marinus SS120
pmm	Prochlorococcus marinus MED4
pmt	Prochlorococcus marinus MIT9313
pmn	Prochlorococcus marinus NATL2A
pmi	Prochlorococcus marinus MIT9312
cya	Cyanobacteria Yellowstone A-Prime
cyb	Cyanobacteria Yellowstone B-Prime
bth	Bacteroides thetaiotaomicron
bfr	Bacteroides fragilis YCH46
bfs	Bacteroides fragilis NCTC9343
pgi	Porphyromonas gingivalis
cte	Chlorobium tepidum
cch	Chlorobium chlorochromatii
plt	Pelodictyon luteolum
det	Dehalococcoides ethenogenes
deh	Dehalococcoides CBDB1
dra	Deinococcus radiodurans
tth	Thermus thermophilus HB27
ttj	Thermus thermophilus HB8
aae	Aquifex aeolicus
tma	Thermotoga maritima
mja	Methanococcus jannaschii
mmp	Methanococcus maripaludis
mac	Methanosarcina acetivorans
mba	Methanosarcina barkeri
mma	Methanosarcina mazei
mth	Methanobacterium thermoautotrophicum
mst	Methanosphaera stadtmanae
mka	Methanopyrus kandleri
afu	Archaeoglobus fulgidus
hal	Halobacterium sp. NRC-1
hma	Haloarcula marismortui
nph	Natronomonas pharaonis
tac	Thermoplasma acidophilum
tvo	Thermoplasma volcanium
pto	Picrophilus torridus
pho	Pyrococcus horikoshii
pab	Pyrococcus abyssi
pfu	Pyrococcus furiosus
tko	Thermococcus kodakaraensis
ape	Aeropyrum pernix
sso	Sulfolobus solfataricus
sto	Sulfolobus tokodaii
sai	Sulfolobus acidocaldarius
pai	Pyrobaculum aerophilum
neq	Nanoarchaeum equitans
