CTCF GM12878 wgEncodeBroadHistoneGm12878CtcfStdAlnRep0
CTCF HUVEC wgEncodeBroadHistoneHuvecCtcfStdAlnRep0
CTCF HeLa-S3 wgEncodeBroadHistoneHelas3CtcfStdAlnRep0
CTCF HepG2 wgEncodeBroadHistoneHepg2CtcfStdAlnRep0
CTCF K562 wgEncodeBroadHistoneK562CtcfStdAlnRep0
CTCF NHEK wgEncodeBroadHistoneNhekCtcfStdAlnRep0
CTCF SK-N-SH_RA wgEncodeUwTfbsSknshraCtcfStdAlnRep0
EBF GM12878 wgEncodeSydhTfbsGm12878EbfStdAlnRep0
Egr-1 GM12878 wgEncodeHaibTfbsGm12878Egr1V0416101AlnRep0
Egr-1 H1-hESC wgEncodeHaibTfbsH1hescEgr1V0416102AlnRep0
IRF4_(M-17) GM12878 wgEncodeHaibTfbsGm12878Irf4m17Pcr1xAlnRep0
JunD HepG2 wgEncodeSydhTfbsHepg2JundIggrabAlnRep0
Max K562 wgEncodeSydhTfbsK562MaxStdAlnRep0
NRSF H1-hESC wgEncodeHaibTfbsH1hescNrsfV0416102AlnRep0
Pol2 GM12878 wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep0
Pol2 GM12891 wgEncodeSydhTfbsGm12891Pol2IggmusAlnRep0
Pol2 GM12892 wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0
Pol2 H1-hESC wgEncodeHaibTfbsH1hescPol2V0416102AlnRep0
Pol2 HUVEC wgEncodeSydhTfbsHuvecPol2StdAlnRep0
Pol2 HeLa-S3 wgEncodeSydhTfbsHelas3Pol2StdAlnRep0
Pol2 HepG2 wgEncodeOpenChromChipHepg2Pol2AlnRep0
Pol2 HepG2 wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0
Pol2 K562 wgEncodeSydhTfbsK562Pol2IggmusAlnRep0
Pol2-4H8 GM12892 wgEncodeHaibTfbsGm12892Pol24h8V0416102AlnRep0
Pol2-4H8 H1-hESC wgEncodeHaibTfbsH1hescPol24h8V0416102AlnRep0
Pol2-4H8 K562 wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0
Rad21 GM12878 wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0
Rad21 H1-hESC wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0
Rad21 HepG2 wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0
Rad21 K562 wgEncodeSydhTfbsK562Rad21StdAlnRep0
SRF GM12878 wgEncodeHaibTfbsGm12878SrfV0416101AlnRep0
TAF1 GM12892 wgEncodeHaibTfbsGm12892Taf1V0416102AlnRep0
TAF1 H1-hESC wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep0
TAF1 K562 wgEncodeHaibTfbsK562Taf1V0416101AlnRep0
YY1 K562 wgEncodeHaibTfbsK562Yy1V0416102AlnRep0
ZBTB33 HepG2 wgEncodeHaibTfbsHepg2Zbtb33V0416101AlnRep0
c-Myc HeLa-S3 wgEncodeSydhTfbsHelas3CmycStdAlnRep0
c-Myc K562 wgEncodeSydhTfbsK562CmycStdAlnRep0
p300 HepG2 wgEncodeHaibTfbsHepg2P300V0416101AlnRep0
