# Kept in the kent tree at src/hg/utils/otto/ottoMonitor, beside the monitor
# that reads it.  A dated copy of the survey it came from is in
# /hive/groups/browser/redmineNotes/38101/claude/.
#
# Otto job source URLs, for the #38101 failure monitor's liveness check.
# Surveyed 2026-09-07 from the LIVE copies under /hive/data/outside/otto and
# /hive/data/inside/GenArk, cross-checked against src/hg/utils/otto/otto.crontab.
# Read-only survey.  Nothing here was edited.
#
# class:
#   external        the entry script itself names the source URL
#   externalIndirect the URL is in an aux config file, an extensionless script,
#                   or a build script in the kent tree.  A monitor that greps
#                   the entry script will not find it.
#   localMirror     the source is a local path another job refreshes.  A curl
#                   liveness check does not apply.
#   internal        no external source at all.  Can never be source-unreachable,
#                   so any failure is a real failure with no waiting period.
#
# probeUrl: the cheapest URL that answers "is the source up now".  "-" where
# there is none.  Never the bulk data file where a version stamp exists.
#
# job  class  probeUrl  urlLivesIn  notes  probeCheck
panelApp	external	https://panelapp.genomicsengland.co.uk/api/v1/panels/?format=json	panelApp/doPanelApp.py	two sources; also https://panelapp-aus.org/api/v1/panels/?format=json	HEAD 200
decipher	externalIndirect	file:/hive/data/outside/otto/decipher/curl.config	decipher/curl.config	curl -K supplies an X-Auth-Token header AND the URL; the bare https://www.deciphergenomics.org/files/license-file/3 returns 404 without it, so this is a credential like omim; file is mode 660 group protein	200 with curl -K curl.config; 404 without the X-Auth-Token header
gwas	external	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0?split=false	gwas/checkGwas.sh	bulk download is the only endpoint; probe with --range 0-0	HEAD 200
geneReviews	external	ftp://ftp.ncbi.nih.gov/pub/GeneReviews/	geneReviews/checkGeneReviews.sh	wget --timestamping over an ftp glob; probe the directory listing	ftp listing 226
dbVar	external	https://ftp.ncbi.nlm.nih.gov/pub/dbVar/data/Homo_sapiens/by_study/gvf/	dbVar/checkDbVar.sh	nstd175; also reads https://ftp.ncbi.nlm.nih.gov/pub/dbVar/sandbox/dbvarhub/hub.txt	HEAD 200
orphanet	external	http://www.orphadata.org/data/xml/en_product4.xml	orphanet/checkOrphanet.sh	four en_product*.xml files; http, not https	HEAD 200
clinvar	externalIndirect	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/	clinvar/clinVarToBed	doUpdate.sh has no URL; clinVarToBed is python with no extension	HEAD 200
mane	external	https://ftp.ncbi.nlm.nih.gov/refseq/MANE/MANE_human/	mane/doMane.py	release dir is version-numbered; the parent listing is the probe	HEAD 200
genCC	external	https://thegencc.org/download/action/submissions-export-tsv?format=new	genCC/doGenCC.py	single endpoint, no version stamp	HEAD 200
g2p	external	https://www.ebi.ac.uk/gene2phenotype/api/panel/all/download	g2p/g2pWrapper.sh		301, needs -L; GET -L -r 0-0 200
