10020	GCF_000151885.1	Dord_2.0	Dipodomys ordii	Ord's kangaroo rat;
10029	GCF_000223135.1	CriGri_1.0	Cricetulus griseus	Chinese hamster;Cricetulus barabensis griseus;Chinese hamsters;
10036	GCF_000349665.1	MesAur1.0	Mesocricetus auratus	golden hamster;Golden hamsters;Syrian hamsters;Syrian golden hamster;Syrian golden hamsters;Syrian hamster;
10042	GCF_000500345.1	Pman_1.0	Peromyscus maniculatus bairdii	North American deer mouse;
10090	GCF_000001635.25	GRCm38.p5	Mus musculus	house mouse;mouse;
10116	GCF_000001895.5	Rnor_6.0	Rattus norvegicus	Norway rat;brown rat;rat;rats;
10141	GCF_000151735.1	Cavpor3.0	Cavia porcellus	domestic guinea pig;Cavia aperea porcellus;Cavia cobaya;guinea pig;
10160	GCF_000260255.1	OctDeg1.0	Octodon degus	degu;
10181	GCF_000247695.1	HetGla_female_1.0	Heterocephalus glaber	naked mole-rat;naked mole rat;
1026970	GCF_000622305.1	S.galili_v1.0	Nannospalax galili	Upper Galilee mountains blind mole rat;Nannospalax ehrenbergi galili;Spalax galili;
103944	GCF_001527695.2	P.Mucros_1.0	Protobothrops mucrosquamatus	Trimeresurus mucrosquamatus;Chinese habu;Taiwan habu;
105023	GCF_001465895.1	Nfu_20140520	Nothobranchius furzeri	turquoise killifish;
106582	GCF_000238955.2	M_zebra_UMD1	Maylandia zebra	zebra mbuna;Metriaclima zebra;Pseudotropheus sp. 'Pseudotropheus zebra complex';Pseudotropheus zebra;
109280	GCF_001891065.1	H_comes_QL1_v1	Hippocampus comes	tiger tail seahorse;
109478	GCF_000412655.1	ASM41265v1	Myotis brandtii	Brandt's bat;
113540	GCF_001624265.1	ASM162426v1	Scleropages formosus	Asian bonytongue;Osteoglossum formosum;Asian arowana;golden arowana;golden dragon fish;
118200	GCF_000699005.1	ASM69900v1	Picoides pubescens	downy woodpecker;
118797	GCF_000442215.1	Lipotes_vexillifer_v1	Lipotes vexillifer	Yangtze River dolphin;baiji;
121530	GCF_000709365.1	ASM70936v1	Tauraco erythrolophus	red-crested turaco;
125878	GCF_000935625.1	ASM93562v1	Nanorana parkeri	Altirana parkeri;
128390	GCF_000708225.1	ASM70822v1	Nipponia nippon	crested ibis;Ibis nippon;
13146	GCF_000238935.1	Melopsittacus_undulatus_6.3	Melopsittacus undulatus	budgerigar;
132908	GCF_000151845.1	Pvam_2.0	Pteropus vampyrus	large flying fox;
13616	GCF_000002295.2	MonDom5	Monodelphis domestica	gray short-tailed opossum;
13735	GCF_000230535.1	PelSin_1.0	Pelodiscus sinensis	Chinese soft-shelled turtle;Trionyx sinensis;Chinese softshell turtle;
143302	GCF_000260355.1	ConCri1.0	Condylura cristata	star-nosed mole;
144197	GCF_000690725.1	Stegastes_partitus-1.0.2	Stegastes partitus	bicolor damselfish;
146911	GCF_001447785.1	Gekko_japonicus_V1.1	Gekko japonicus	
1608454	GCF_001515605.1	SAMN03320099.WGS_v1.1	Sinocyclocheilus anshuiensis	
175835	GCF_000710305.1	ASM71030v1	Buceros rhinoceros silvestris	Rhinoceros hornbill;
176057	GCF_000696875.1	ASM69687v1	Nestor notabilis	Kea;Nestor notabilis notabilis;
176946	GCF_000186305.1	Python_molurus_bivittatus-5.0.2	Python bivittatus	Burmese python;Python molurus bivittatus;
181096	GCF_000738735.1	Hooded_Crow_genome	Corvus cornix cornix	hooded crow;Corvus corone cornix;Nebelkraehe;hoodiecrow;
181119	GCF_000331425.1	PseHum1.0	Pseudopodoces humilis	Tibetan ground-tit;Parus humilis;Podoces humilis;Pseudopoces humilis;Tibetan ground-jay;
185453	GCF_000296735.1	ChrAsi1.0	Chrysochloris asiatica	Cape golden mole;
1868482	GCF_000164805.1	Tarsius_syrichta-2.0.1	Carlito syrichta	Philippine tarsier;Tarsius syrichta;
186990	GCF_001890085.1	ASM189008v1	Hipposideros armiger	great roundleaf bat;great Himalayan leaf-nosed bat;great leaf-nosed bat;
187382	GCF_000695195.1	ASM69519v1	Chlamydotis macqueenii	Macqueen's bustard;Chlamydotis macqueenii macqueeni;Chlamydotis macqueenii macqueenii;Chlamydotis undulata macqueenii;
188344	GCF_000691785.1	ASM69178v1	Leptosomus discolor	cuckoo roller;
188379	GCF_000687185.1	ASM68718v1	Egretta garzetta	little egret;
198806	GCF_001431845.1	ASM143184v1	Calidris pugnax	ruff;Machetes pugnax;Pavoncella pugnax;Philomachus pugnax;
215358	GCF_000972845.1	L_crocea_1.0	Larimichthys crocea	large yellow croaker;Pseudosciaena amblyceps;Pseudosciaena crocea;Sciaena crocea;croceine croaker;
225400	GCF_000327345.1	ASM32734v1	Myotis davidii	
240206	GCF_000699245.1	ASM69924v1	Pterocles gutturalis	yellow-throated sandgrouse;
244447	GCF_000523025.1	Cse_v1.0	Cynoglossus semilaevis	tongue sole;Cynoglossus (Arelia) semilaevis;
246437	GCF_000334495.1	TupChi_1.0	Tupaia chinensis	Chinese tree shrew;Tupaia belangeri chinensis;
27679	GCF_000235385.1	SaiBol1.0	Saimiri boliviensis boliviensis	Bolivian squirrel monkey;
279965	GCF_000700745.1	ASM70074v1	Caprimulgus carolinensis	chuck-will's-widow;Antrostomus carolinensis;
28377	GCF_000090745.1	AnoCar2.0	Anolis carolinensis	green anole;Carolina anole;
28737	GCF_000299155.1	EleEdw1.0	Elephantulus edwardii	Cape elephant shrew;Cape long-eared elephant shrew;
28743	GCF_000732505.1	C_variegatus-1.0	Cyprinodon variegatus	sheepshead minnow;
29073	GCF_000687225.1	UrsMar_1.0	Ursus maritimus	polar bear;Thalarctos maritimus;white bear;
29078	GCF_000308155.1	EptFus1.0	Eptesicus fuscus	big brown bat;
291302	GCF_001595765.1	Mnat.v1	Miniopterus natalensis	Miniopterus schreibersii natalensis;
303518	GCF_000239375.1	PunNye1.0	Pundamilia nyererei	Haplochromis nyererei;
30419	GCF_000692075.1	ASM69207v1	Opisthocomus hoazin	Opisthocomus hoazin hoazin;hoatzin;
30455	GCF_000690835.1	ASM69083v1	Fulmarus glacialis	northern fulmar;Fulmaris glacialis;
30538	GCF_000164845.2	Vicugna_pacos-2.0.2	Vicugna pacos	alpaca;Lama guanicoe pacos;Lama pacos;
30608	GCF_000165445.1	Mmur_2.0	Microcebus murinus	gray mouse lemur;grey mouse lemur;
30611	GCF_000181295.1	OtoGar3	Otolemur garnettii	small-eared galago;Galago garnetti;Galago garnettii;
307959	GCF_001515625.1	SAMN03320098_v1.1	Sinocyclocheilus rhinocerous	
31033	GCF_000180615.1	FUGU5	Takifugu rubripes	torafugu;Fugu rubripes;Sphaeroides rubripes;Tetraodon rubripes;tiger puffer;
321398	GCF_001604755.1	Lepidothrix_coronata-1.0	Lepidothrix coronata	blue-crowned manakin;Pipra coronata;
32507	GCF_000239395.1	NeoBri1.0	Neolamprologus brichardi	Lamprologus brichardi;lyretail cichlid;
32536	GCF_001443585.1	aciJub1	Acinonyx jubatus	cheetah;
328815	GCF_000692015.1	ASM69201v2	Manacus vitellinus	golden-collared manakin;
345164	GCF_000337975.1	F_cherrug_v1.0	Falco cherrug	Saker falcon;
34839	GCF_000276665.1	ChiLan1.0	Chinchilla lanigera	long-tailed chinchilla;Chinchilla velligera;Mus laniger Molina, 1782.;
35019	GCF_001077635.1	Thamnophis_sirtalis-6.0	Thamnophis sirtalis	
36300	GCF_000687375.1	ASM68737v1	Pelecanus crispus	Dalmatian pelican;Pelecanus philippensis crispus;
37003	GCF_001649575.1	ASM164957v1	Kryptolebias marmoratus	mangrove rivulus;Rivulus marmoratus;matanzas rivulus;
37040	GCF_000690875.1	ASM69087v1	Gavia stellata	red-throated loon;
37293	GCF_000952055.1	Anan_1.0	Aotus nancymaae	Ma's night monkey;Aotus nancymai;
379532	GCF_000956105.1	Pcoq_1.0	Propithecus coquereli	Coquerel's sifaka;Propithecus verreauxi coquereli;
38654	GCF_000455745.1	ASM45574v1	Alligator sinensis	Chinese alligator;
419612	GCF_000311805.1	CB1	Camelus ferus	Wild Bactrian camel;Camelus bactrianus ferus;
42254	GCF_000181275.1	SorAra2.0	Sorex araneus	European shrew;Eurasian shrew;
42514	GCF_001682695.1	Pygocentrus_nattereri-1.0.2	Pygocentrus nattereri	red-bellied piranha;Serrasalmus nattereri;red piranha;
43179	GCF_000236235.1	SpeTri2.0	Ictidomys tridecemlineatus	thirteen-lined ground squirrel;Citellus tridecemlineatus;Spermophilus tridecemlineatus;
44394	GCF_000385455.1	Zonotrichia_albicollis-1.0.1	Zonotrichia albicollis	white-throated sparrow;
482537	GCF_000696425.1	G_variegatus-3.0.2	Galeopterus variegatus	Sunda flying lemur;Cynocephalus variegatus;Malayan flying lemur;
48698	GCF_000485575.1	Poecilia_formosa-5.1.2	Poecilia formosa	Amazon molly;Limia formosa;Mollienesia formosa;
48699	GCF_001443285.1	P_latipinna-1.0	Poecilia latipinna	sailfin molly;Mollienesia latipinna;
48701	GCF_001443325.1	P_mexicana-1.0	Poecilia mexicana	shortfin molly;
48883	GCF_000277835.1	GeoFor_1.0	Geospiza fortis	medium ground-finch;
50402	GCF_000708025.1	ASM70802v2	Charadrius vociferus	killdeer;Aegialitis vocifera;Charadrius vociferous;Oxyechus vociferus;
51337	GCF_000280705.1	JacJac1.0	Jaculus jaculus	lesser Egyptian jerboa;
52644	GCF_000737465.1	Haliaeetus_leucocephalus-4.0	Haliaeetus leucocephalus	bald eagle;
52670	GCF_001266775.1	Austrofundulus_limnaeus-1.0	Austrofundulus limnaeus	
54131	GCF_000951035.1	Cang.pa_1.0	Colobus angolensis palliatus	Angolan colobus;Angola colobus;
54374	GCF_000695765.1	ASM69576v1	Mesitornis unicolor	brown roatelo;
54380	GCF_000690535.1	ASM69053v1	Cariama cristata	red-legged seriema;
54383	GCF_000690775.1	ASM69077v1	Eurypyga helias	sunbittern;
55661	GCF_000709325.1	ASM70932v1	Cuculus canorus	common cuckoo;
56313	GCF_000687205.1	ASM68720v1	Tyto alba	barn owl;Strix alba;Schleiereule;
57068	GCF_000695815.1	ASM69581v1	Acanthisitta chloris	rifleman;
57397	GCF_000703405.1	ASM70340v1	Apaloderma vittatum	bar-tailed trogon;Apaloderma francisci;Heterotrogon vittatus;
57412	GCF_000690715.1	ASM69071v1	Colius striatus	speckled mousebird;
57421	GCF_000691845.1	ASM69184v1	Merops nubicus	carmine bee-eater;
59463	GCF_000147115.1	Myoluc2.0	Myotis lucifugus	little brown bat;Myotis occultus;
59538	GCF_000400835.1	PHO1.0	Pantholops hodgsonii	chiru;Pantholops hodgsoni;
59729	GCF_000151805.1	Taeniopygia_guttata-3.2.4	Taeniopygia guttata	zebra finch;Poephila guttata;Taenopygia guttata;
59894	GCF_000247815.1	FicAlb1.5	Ficedula albicollis	collared flycatcher;
60711	GCF_000409795.2	Chlorocebus_sabeus_1.1	Chlorocebus sabaeus	green monkey;Cercopithecus sabaeus;Cercopithecus aethiops sabaeus;Cercopithecus sabeus;Chlorocebus aethiops sabaeus;Chlorocebus aethiops sabeus;Chlorocebus sabeus;
61621	GCF_001698545.1	ASM169854v1	Rhinopithecus bieti	black snub-nosed monkey;Pygathrix bieti;
61622	GCF_000769185.1	Rrox_v1	Rhinopithecus roxellana	golden snub-nosed monkey;Pygathrix roxellana;
61853	GCF_000146795.2	Nleu_3.0	Nomascus leucogenys	northern white-cheeked gibbon;Hylobates concolor leucogenys;Hylobates concolor leucogyneus;Hylobates leucogenys;Hylobates leucogenys leucogenys;Nomascus leucogenys leucogenys;Nomascus leukogenys;White-cheeked Gibbon;
72004	GCF_000298355.1	BosGru_v2.0	Bos mutus	wild yak;Bos grunniens mutus;Poephagus mutus;
75366	GCF_001515645.1	SAMN03320097.WGS_v1.1	Sinocyclocheilus grahami	
7868	GCF_000165045.1	Callorhinchus_milii-6.1.3	Callorhinchus milii	elephant shark;Australian ghost shark;elephant fish;ghost shark;makorepe;plownose chimaera;reperepe;
7897	GCF_000225785.1	LatCha1	Latimeria chalumnae	coelacanth;
7918	GCF_000242695.1	LepOcu1	Lepisosteus oculatus	spotted gar;
7950	GCF_000966335.1	ASM96633v1	Clupea harengus	Atlantic herring;Clupea harengus harengus;
7955	GCF_000002035.5	GRCz10	Danio rerio	zebrafish;Brachydanio rerio;Brachydanio rerio frankei;Cyprinus rerio;Danio frankei;Danio rerio frankei;leopard danio;zebra danio;zebra fish;
7962	GCF_000951615.1	common_carp_genome	Cyprinus carpio	common carp;carp;fancy carp;koi;mirror carp;
79684	GCF_000317375.1	MicOch1.0	Microtus ochrogaster	prairie vole;prairie voles;
7994	GCF_000372685.1	Astyanax_mexicanus-1.0.2	Astyanax mexicanus	Mexican tetra;blind cave fish;
7998	GCF_001660625.1	IpCoco_1.2	Ictalurus punctatus	channel catfish;Silurus punctatus;
8010	GCF_000721915.3	Eluc_V3	Esox lucius	northern pike;
8030	GCF_000233375.1	ICSASG_v2	Salmo salar	Atlantic salmon;
8078	GCF_000826765.1	Fundulus_heteroclitus-3.0.2	Fundulus heteroclitus	mummichog;Atlantic killifish;killifish;
8081	GCF_000633615.1	Guppy_female_1.0+MT	Poecilia reticulata	guppy;Acanthophacelus reticulata;Poecilia (Acanthophacelus) reticulata;Poecilia latipinna reticulata;
8083	GCF_000241075.1	Xiphophorus_maculatus-4.4.2	Xiphophorus maculatus	southern platyfish;Platypoecilus maculatus;
8090	GCF_000313675.1	ASM31367v1	Oryzias latipes	Japanese medaka;Poecilia latipes;Japanese rice fish;medaka;
8128	GCF_001858045.1	ASM185804v2	Oreochromis niloticus	Nile tilapia;Oreochromis nilotica;Tilapia nilotica;
8153	GCF_000239415.1	AstBur1.0	Haplochromis burtoni	Burton's mouthbrooder;Astatotilapia burtoni;Chromis burtoni;
8187	GCF_001640805.1	ASM164080v1	Lates calcarifer	barramundi perch;Holocentrus calcarifer;Asian seabass;barramundi;
8208	GCF_000735185.1	NC01	Notothenia coriiceps	black rockcod;yellowbelly rockcod;
8355	GCF_001663975.1	Xenopus_laevis_v2	Xenopus laevis	African clawed frog;Bufo laevis;clawed frog;common platanna;platanna;
8364	GCF_000004195.3	Xenopus_tropicalis_v9.1	Xenopus tropicalis	tropical clawed frog;Silurana tropicalis;Xenopus (Silurana) tropicalis;Xenopus laevis tropicalis;western clawed frog;
8469	GCF_000344595.1	CheMyd_1.0	Chelonia mydas	green sea turtle;Chelonia agassizi;Chelonia midas;Testudo mydas;green seaturtle;
8479	GCF_000241765.3	Chrysemys_picta_bellii-3.0.3	Chrysemys picta bellii	painted turtle;Testudo picta;Trachemys picta;
8496	GCF_000281125.3	ASM28112v4	Alligator mississippiensis	American alligator;
8502	GCF_001723895.1	CroPor_comp1	Crocodylus porosus	Australian saltwater crocodile;estuarine crocodile;
85066	GCF_000691975.1	ASM69197v1	Corvus brachyrhynchos	American crow;
8801	GCF_000698965.1	ASM69896v1	Struthio camelus australis	African ostrich;Struthio camelus domesticus;ostrich;
8822	GCF_001039765.1	AptMant0	Apteryx australis mantelli	brown kiwi;
8839	GCF_000355885.1	BGI_duck_1.0	Anas platyrhynchos	mallard;Anas boschas;Anas domesticus;Anas platyrhynchos f. domestica;duck;mallard duck;mallard ducks;
8845	GCF_000971095.1	AnsCyg_PRJNA183603_v1.0	Anser cygnoides domesticus	swan goose;Chinese goose;white Chinese goose;
885580	GCF_000743615.1	DMR_v1.0	Fukomys damarensis	Damara mole-rat;Coetomys damarensis;Cryptomys damarensis;Damara mole rat;
8897	GCF_000747805.1	ChaPel_1.0	Chaetura pelagica	chimney swift;
8932	GCF_000337935.1	Cliv_1.0	Columba livia	rock pigeon;Columba livia domestica;carrier pigeon;domestic pigeon;rock dove;
89399	GCF_001888835.1	ASM188883v1	Rhinolophus sinicus	Chinese rufous horseshoe bat;Rhinolophus rouxii sinicus;
89462	GCF_000471725.1	UMD_CASPUR_WB_2.0	Bubalus bubalis	water buffalo;Bubalus arnee;Bubalus arnee bubalis;domestic water buffalo;river buffalo;
8954	GCF_000337955.1	F_peregrinus_v1.0	Falco peregrinus	peregrine falcon;Wanderfalke;peregrine;
8962	GCF_000766835.1	Aquila_chrysaetos-1.0.2	Aquila chrysaetos canadensis	golden eagle;
8969	GCF_000691405.1	ASM69140v1	Haliaeetus albicilla	white-tailed eagle;Falco albicilla;
9031	GCF_000002315.4	Gallus_gallus-5.0	Gallus gallus	chicken;bantam;chickens;
9103	GCF_000146605.2	Turkey_5.0	Meleagris gallopavo	turkey;common turkey;wild turkey;
9135	GCF_000534875.1	SCA1	Serinus canaria	common canary;Serinus canarius;canary;
9157	GCF_001522545.2	Parus_major1.1	Parus major	Great Tit;Kohlmeise;
9172	GCF_001447265.1	Sturnus_vulgaris-1.0	Sturnus vulgaris	common starling;starling;
9209	GCF_000708925.1	ASM70892v1	Phalacrocorax carbo	great cormorant;common cormorant;cormorant;
9233	GCF_000699145.1	ASM69914v1	Aptenodytes forsteri	emperor penguin;
9238	GCF_000699105.1	ASM69910v1	Pygoscelis adeliae	Adelie penguin;Pygoscelis adelia;
9244	GCF_000699085.1	ASM69908v1	Calypte anna	Anna's hummingbird;
925459	GCF_000709895.1	ASM70989v1	Balearica regulorum gibbericeps	grey crowned-crane;Balearica pavonina regulorum;South African crowned crane;grey crowned crane;royal crane;
9258	GCF_000002275.2	Ornithorhynchus_anatinus-5.0.1	Ornithorhynchus anatinus	platypus;duck-billed platypus;duckbill platypus;
9305	GCF_000189315.1	Devil_ref_v7.0	Sarcophilus harrisii	Tasmanian devil;Sarcophilus laniarius;
9361	GCF_000208655.1	Dasnov3.0	Dasypus novemcinctus	nine-banded armadillo;
9365	GCF_000296755.1	EriEur2.0	Erinaceus europaeus	western European hedgehog;European hedgehog;common hedgehog;
9371	GCF_000313985.1	EchTel2.0	Echinops telfairi	small Madagascar hedgehog;Echinops telfairii;lesser hedgehog tenrec;
93934	GCF_001577835.1	Coturnix_japonica_2.0	Coturnix japonica	Japanese quail;Coturnix coturnix Japonicus;Coturnix coturnix japanica;Coturnix coturnix japonica;Coturnix japonica japonica;
9402	GCF_000325575.1	ASM32557v1	Pteropus alecto	black flying fox;
9407	GCF_001466805.2	Raegyp2.0	Rousettus aegyptiacus	Egyptian rousette;Rousettus aegypticus;Rousettus egyptiacus;
94827	GCF_000705375.1	ASM70537v2	Tinamus guttatus	white-throated tinamou;
9483	GCF_000004665.1	Callithrix_jacchus-3.2	Callithrix jacchus	white-tufted-ear marmoset;Callithrix jacchus jacchus;common marmoset;white ear-tufted marmoset;
94835	GCF_001723915.1	GavGan_comp1	Gavialis gangeticus	Gharial;true gharial;
9516	GCF_001604975.1	Cebus_imitator-1.0	Cebus capucinus imitator	white-faced sapajou;white-faced capuchin;white-throated capuchin;
9531	GCF_000955945.1	Caty_1.0	Cercocebus atys	sooty mangabey;Cercocebus torquatus atys;
9541	GCF_000364345.1	Macaca_fascicularis_5.0	Macaca fascicularis	crab-eating macaque;Macaca cynomolgus;Macaca irus;cynomolgus macaque;crab eating macaque;cynomolgus monkey;cynomolgus monkeys;long-tailed macaque;
9544	GCF_000772875.2	Mmul_8.0.1	Macaca mulatta	Rhesus monkey;rhesus macaque;rhesus macaques;rhesus monkeys;
9545	GCF_000956065.1	Mnem_1.0	Macaca nemestrina	pig-tailed macaque;pigtail macaque;pigtail monkey;
9555	GCF_000264685.2	Panu_2.0	Papio anubis	olive baboon;Anubis baboon;Papio cynocephalus anubis;Papio doguera;Papio hamadryas anubis;Papio hamadryas doguera;Doguera baboon;Kenya baboon;baboon;
9568	GCF_000951045.1	Mleu.le_1.0	Mandrillus leucophaeus	drill;Papio leucophaeus;
9593	GCF_000151905.2	gorGor4	Gorilla gorilla gorilla	western gorilla;Troglodytes gorilla;gorilla;
9597	GCF_000258655.2	panpan1.1	Pan paniscus	pygmy chimpanzee;bonobo;
9598	GCF_000001515.7	Pan_tro_3.0	Pan troglodytes	chimpanzee;
9601	GCF_000001545.4	P_pygmaeus_2.0.2	Pongo abelii	Sumatran orangutan;Pongo pygmaeus abeli;Pongo pygmaeus abelii;Orang-utan;Orangutan;orang utan;
9606	GCF_000001405.36	GRCh38.p10	Homo sapiens	human;humans;man;
9612	GCF_000002285.3	CanFam3.1	Canis lupus familiaris	gray wolf;grey wolf;
