rd1	rd1_monOrder	rd1Ori	rd2	rd2_monOrder	rd2Ori	insSizeEstimate	insVector
969956459	m9v4,m10v3,m11v8	F	969987505	m1v2,m2v4,m3v2	R	10201	lgPlasmid
1736635719	m34v3,m1v2,m2v4	F	1736643648	m4v4,m5v6	R	45000	Fosmid
966159712	m8v6,m9v4	F	966124747	m15v4	R	1925	smPlasmid
970612835	m3v2	F	970598910	m33v2,m34v3	R	10201	lgPlasmid
953034569	m32v4,m33v2	R	953044188	m23v1,m24v7	F	1925	smPlasmid
953091289	m641v1,m26v7	R	952431362	m17v3,m18v2	F	1925	smPlasmid
1737439870	m2v2,m3v2,m4v4	R	1737451925	m19v2,m20v3,m21v6	F	40000	Fosmid
1748555548	m14v3,m15v4,m16v1,m17v3	R	1746113930	m31v1,m32v4,m33v2,m34v3	F	12500	lgPlasmid
1734972141	m11v6,m12v1,m13v3	F	1734983035	m17v3,m18v2	R	12000	lgPlasmid
1745940269	m7v4,m8v6,m9v4,m10v3	R	1746657393	m26v7,m27v4,m28v4,m29v2	F	12500	lgPlasmid
1738370954	m10v3,m11v7,m12v1,m13v3	F	1738361763	m26v7,m27v4,m28v4,m29v2	R	11000	lgPlasmid
1744431147	m18v4,m20v3,m21v6	R	1743915166	m19v1,m20v3,m21v6,m22v2	F	10000	lgPlasmid
1743877503	m27v4,m28v4,m29v1,m30v2	R	1744104027	m12v1,m13v3,m14v3,m15v4	F	10000	lgPlasmid
1741837776	m27v4,m28v4,m29v1,m30v2	F	1742719832	m8v6,m9v4,m10v3,m11v7	R	9500	lgPlasmid
939979181	m9v4,m10v3	R	939948957	m16v1,m17v3	F	10201	lgPlasmid
1734921410	m34v3,m1v2,m2v2,m3v2	R	1734915630	m6v1,m7v4,m8v6,m9v4	F	12000	lgPlasmid
1745328939	m17v3,m18v7,m19v2	R	1748552463	m6v1,m7v4	F	12500	lgPlasmid
950825146	m15v4	R	950821574	m5v6,m6v1	F	1925	smPlasmid
950974212	m21v6	R	950994842	m12v5,m13v3	F	1925	smPlasmid
1742538481	m23v1,m24v7,m25v1,m26v2	F	1741482802	m22v3,m23v1,m24v7	R	9500	lgPlasmid
1743247105	m26v7,m27v4,m28v4	F	1744487118	m20v3,m21v6,m22v3	R	10000	lgPlasmid
1736442872	m12v5,m13v3,m14v3	F	1736452037	m1v2,m2v4,m3v2	R	45000	Fosmid
1743964266	m8v6,m9v4,m10v3,m11v7	R	1744491279	m2v4,m3v2,m4v4,m5v6	F	10000	lgPlasmid
1742126583	m3v2,m4v4,m5v6,m6v1	F	1741711509	m32v4,m33v2,m34v3,m1v2	R	9500	lgPlasmid
1746586117	m33v2,m34v3,m1v2,m2v4	F	1748116977	m14v3,m15v4,m16v1	R	12500	lgPlasmid
1737069994	m1v3,m2v4,m3v2,m4v4	R	1737073329	m27v4,m28v4,m29v2,m30v2	F	44000	Fosmid
953829641	m33v2	F	953829330	m8v6,m9v4	R	1925	smPlasmid
1738447339	m18v2,m19v2,m20v3	F	1738439037	m28v4,m29v1,m30v2,m31v1,m32v4	R	11000	lgPlasmid
1734424149	m22v3,m23v1,m24v7,m25v1	R	1734411941	m5v6,m6v1,m7v4,m8v6	F	12000	lgPlasmid
1746884951	m24v7,m25v1,m26v7,m27v4	R	1745545387	m6v1,m7v4,m8v6,m9v4	F	12500	lgPlasmid
1748324855	m34v3,m1v2,m2v2	F	1745778238	m15v4,m16v1,m17v3	R	12500	lgPlasmid
1741894862	m17v3,m18v2,m19v2	R	1745192523	m4v4,m5v6,m6v1	F	9500	lgPlasmid
1743942612	m18v2,m19v2,m20v3	R	1744042723	m15v4,m16v1,m17v3,m18v2	F	10000	lgPlasmid
965959649	m19v2	F	965939042	m27v4	R	1925	smPlasmid
953408746	m21v6	F	953383713	m29v1,m30v2,m31v1	R	1925	smPlasmid
954215634	m1v2	F	954221509	m9v4,m10v3	R	1925	smPlasmid
1745473601	m14v3,m15v4,m16v1,m17v2	R	1748157553	m31v1,m32v4,m33v2,m34v3	F	12500	lgPlasmid
954677808	m19v2,m20v3	F	954697339	m27v4,m28v4	R	1925	smPlasmid
1735323366	m14v3,m15v4,m16v1,m17v3	R	1735327203	m11v6,m12v1,m13v3,m14v3	F	10000	lgPlasmid
1736133322	m9v4,m10v3,m11v6,m12v1	R	1736124932	m1v2,m2v4,m3v2	F	10000	lgPlasmid
1745382171	m13v3,m14v3,m15v4,m16v1	F	1746361636	m32v4,m33v2,m34v3	R	12500	lgPlasmid
1741504778	m6v1,m7v4	R	1741970915	m12v1,m13v3,m14v3,m15v4	F	9500	lgPlasmid
1737750866	m3v2,m4v4,m5v5,m6v1	R	1737746038	m5v6,m6v1,m7v4	F	40000	Fosmid
1744469492	m34v3,m1v2,m2v2,m3v2	R	1744616771	m12v1,m13v3,m14v3,m15v4	F	10000	lgPlasmid
1742353985	m22v3,m23v1,m24v7	R	1742418642	m32v4,m33v2,m34v3	F	9500	lgPlasmid
941153452	m24v7,m25v1	R	941133939	m33v2	F	10201	lgPlasmid
1741373340	m2v4,m3v2,m4v4	R	1741373724	m8v6,m9v4,m62040v1,m11v6	F	9500	lgPlasmid
940426655	m26v6,m27v4,m28v4	R	940458316	m6v1	F	10201	lgPlasmid
1746166321	m5v6,m6v1,m7v4	R	1747226694	m24v7,m25v1,m26v7,m27v4	F	12500	lgPlasmid
1744108736	m28v4,m29v2,m30v2	F	1744524654	m14v3,m15v4,m16v1	R	10000	lgPlasmid
1733603641	m34v3,m1v2,m2v4	R	1733589156	m18v2,m19v2,m20v3	F	43000	Fosmid
1741998595	m34v3,m1v2,m2v2,m3v2	R	1741962899	m8v6,m9v4,m10v3,m11v7	F	9500	lgPlasmid
1734931973	m29v3,m30v2,m31v1	R	1734942848	m3v2,m4v4,m5v6	F	12000	lgPlasmid
1732185436	m8v3	F	1732198096	m12v1,m13v3	R	120000	BAC
1737748494	m31v1,m32v4,m33v2	F	1737744667	m28v4,m29v2,m30v2,m31v1	R	40000	Fosmid
961512337	m14v3,m15v4	R	961479918	m5v6,m6v1,m7v1	F	1925	smPlasmid
1741554503	m3v2,m4v4,m5v6	F	1741965488	m21v6,m22v3,m23v1,m24v7	R	9500	lgPlasmid
1744605842	m19v1,m20v3,m21v6,m22v3	F	1743477554	m15v4,m16v1,m17v3	R	10000	lgPlasmid
1746362210	m34v3,m1v2,m2v2,m3v2	R	1745496408	m26v7,m27v4,m28v4	F	12500	lgPlasmid
954062639	m9v4,m10v3	F	953969647	m18v2,m499v1	R	1925	smPlasmid
1737370464	m14v3,m15v4,m16v1	R	1737354900	m21v6,m22v3,m23v1	F	40000	Fosmid
1741945939	m7v4,m8v6,m9v4	R	1742132736	m16v1,m17v3,m18v2,m19v2	F	9500	lgPlasmid
1738965631	m30v2	F	1738960621	m11v7,m12v1,m13v3,m14v3	R	11000	lgPlasmid
1747168300	m21v6,m22v3	F	1747169832	m1v2,m2v2,m3v2	R	12500	lgPlasmid
1738481815	m30v2,m31v1,m32v4,m33v2	R	1738492816	m19v2,m20v3,m21v6	F	11000	lgPlasmid
1748269141	m5v6,m6v1,m7v4,m8v6	R	1747376238	m24v7,m25v1,m26v7	F	12500	lgPlasmid
1738733965	m6v1,m7v4,m8v6,m9v4	R	1738719510	m18v2,m19v2,m20v3,m21v6	F	11000	lgPlasmid
961179781	m24v7	R	961210695	m15v4,m16v1	F	1925	smPlasmid
1743485926	m22v3,m23v1,m24v7,m25v1	F	1744637561	m19v2,m20v3	R	10000	lgPlasmid
1734872108	m34v3,m1v2,m2v4	R	1734874315	m8v6,m9v4,m10v3,m11v7	F	12000	lgPlasmid
1733419574	m15v4,m16v1,m17v3,m18v2	F	1733434582	m16v1,m17v2,m18v2,m19v2	R	43000	Fosmid
1734349279	m25v1,m26v7,m27v4,m28v4	F	1734357024	m13v3,m14v3,m15v4	R	42000	Fosmid
948436025	m23v1,m24v7	R	948442828	m34v3	F	10201	lgPlasmid
1737354900	m21v6,m22v3,m23v1	F	1737370464	m14v3,m15v4,m16v1	R	40000	Fosmid
1743915166	m19v1,m20v3,m21v6,m22v2	F	1744431147	m18v4,m20v3,m21v6	R	10000	lgPlasmid
1748241548	m23v1,m24v7,m25v2	R	1745266765	m11v6,m12v1,m13v3,m14v3	F	12500	lgPlasmid
1734637200	m20v3,m21v6,m22v3	F	1734631766	m19v2,m20v3,m21v6,m22v3	R	12000	lgPlasmid
